player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Henrik Sedin (C),Vancouver Canucks,82,29,83,112,1.37,48,35,https://www.eliteprospects.com/player/738/henrik-sedin,2009-2010,nhl,Henrik Sedin,C,FW
Sidney Crosby (C),Pittsburgh Penguins,81,51,58,109,1.35,71,15,https://www.eliteprospects.com/player/6146/sidney-crosby,2009-2010,nhl,Sidney Crosby,C,FW
Alexander Ovechkin (LW),Washington Capitals,72,50,59,109,1.51,89,45,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2009-2010,nhl,Alexander Ovechkin,LW,FW
Nicklas Bäckström (C),Washington Capitals,82,33,68,101,1.23,50,37,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2009-2010,nhl,Nicklas Bäckström,C,FW
Steven Stamkos (C/W),Tampa Bay Lightning,82,51,44,95,1.16,38,-2,https://www.eliteprospects.com/player/11113/steven-stamkos,2009-2010,nhl,Steven Stamkos,C/W,FW
Martin St-Louis (RW),Tampa Bay Lightning,82,29,65,94,1.15,12,-8,https://www.eliteprospects.com/player/8772/martin-st-louis,2009-2010,nhl,Martin St-Louis,RW,FW
Brad Richards (C),Dallas Stars,80,24,67,91,1.14,14,-12,https://www.eliteprospects.com/player/4723/brad-richards,2009-2010,nhl,Brad Richards,C,FW
Joe Thornton (C),San Jose Sharks,79,20,69,89,1.13,54,17,https://www.eliteprospects.com/player/3670/joe-thornton,2009-2010,nhl,Joe Thornton,C,FW
Patrick Kane (RW/LW),Chicago Blackhawks,82,30,58,88,1.07,20,16,https://www.eliteprospects.com/player/9326/patrick-kane,2009-2010,nhl,Patrick Kane,RW/LW,FW
Marián Gáborík (RW),New York Rangers,76,42,44,86,1.13,37,15,https://www.eliteprospects.com/player/3665/marian-gaborik,2009-2010,nhl,Marián Gáborík,RW,FW
Ilya Kovalchuk (LW),totals,76,41,44,85,1.12,53,10,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2009-2010,nhl,Ilya Kovalchuk,LW,FW
Daniel Sedin (LW),Vancouver Canucks,63,29,56,85,1.35,28,36,https://www.eliteprospects.com/player/737/daniel-sedin,2009-2010,nhl,Daniel Sedin,LW,FW
Alexander Syomin (LW),Washington Capitals,73,40,44,84,1.15,66,36,https://www.eliteprospects.com/player/8633/alexander-syomin,2009-2010,nhl,Alexander Syomin,LW,FW
Patrick Marleau (LW),San Jose Sharks,82,44,39,83,1.01,22,21,https://www.eliteprospects.com/player/3671/patrick-marleau,2009-2010,nhl,Patrick Marleau,LW,FW
Dany Heatley (LW/RW),San Jose Sharks,82,39,43,82,1.00,54,14,https://www.eliteprospects.com/player/3664/dany-heatley,2009-2010,nhl,Dany Heatley,LW/RW,FW
Zach Parise (LW/RW),New Jersey Devils,81,38,44,82,1.01,32,24,https://www.eliteprospects.com/player/8903/zach-parise,2009-2010,nhl,Zach Parise,LW/RW,FW
Anze Kopitar (C),Los Angeles Kings,82,34,47,81,0.99,16,6,https://www.eliteprospects.com/player/4233/anze-kopitar,2009-2010,nhl,Anze Kopitar,C,FW
Paul Stastny (C),Colorado Avalanche,81,20,59,79,0.98,50,2,https://www.eliteprospects.com/player/10212/paul-stastny,2009-2010,nhl,Paul Stastny,C,FW
Yevgeni Malkin (C),Pittsburgh Penguins,67,28,49,77,1.15,100,-6,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2009-2010,nhl,Yevgeni Malkin,C,FW
Corey Perry (RW/LW),Anaheim Ducks,82,27,49,76,0.93,111,0,https://www.eliteprospects.com/player/8541/corey-perry,2009-2010,nhl,Corey Perry,RW/LW,FW
Mike Green (D),Washington Capitals,75,19,57,76,1.01,54,39,https://www.eliteprospects.com/player/9476/mike-green,2009-2010,nhl,Mike Green,D,DEF
Ryan Kesler (C),Vancouver Canucks,82,25,50,75,0.91,104,1,https://www.eliteprospects.com/player/9014/ryan-kesler,2009-2010,nhl,Ryan Kesler,C,FW
Loui Eriksson (LW),Dallas Stars,82,29,42,71,0.87,26,-4,https://www.eliteprospects.com/player/683/loui-eriksson,2009-2010,nhl,Loui Eriksson,LW,FW
Mikko Koivu (C),Minnesota Wild,80,22,49,71,0.89,50,-2,https://www.eliteprospects.com/player/2696/mikko-koivu,2009-2010,nhl,Mikko Koivu,C,FW
Daniel Alfredsson (RW),Ottawa Senators,70,20,51,71,1.01,22,8,https://www.eliteprospects.com/player/702/daniel-alfredsson,2009-2010,nhl,Daniel Alfredsson,RW,FW
Eric Staal (C),Carolina Hurricanes,70,29,41,70,1.00,68,4,https://www.eliteprospects.com/player/3656/eric-staal,2009-2010,nhl,Eric Staal,C,FW
Pavel Datsyuk (C),Detroit Red Wings,80,27,43,70,0.88,18,17,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2009-2010,nhl,Pavel Datsyuk,C,FW
Tomas Plekanec (C),Montréal Canadiens,82,25,45,70,0.85,50,5,https://www.eliteprospects.com/player/8668/tomas-plekanec,2009-2010,nhl,Tomas Plekanec,C,FW
Vincent Lecavalier (C),Tampa Bay Lightning,82,24,46,70,0.85,63,-16,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2009-2010,nhl,Vincent Lecavalier,C,FW
Henrik Zetterberg (C),Detroit Red Wings,74,23,47,70,0.95,26,12,https://www.eliteprospects.com/player/285/henrik-zetterberg,2009-2010,nhl,Henrik Zetterberg,C,FW
Jarome Iginla (RW),Calgary Flames,82,32,37,69,0.84,58,-2,https://www.eliteprospects.com/player/9036/jarome-iginla,2009-2010,nhl,Jarome Iginla,RW,FW
Derek Roy (C),Buffalo Sabres,80,26,43,69,0.86,48,9,https://www.eliteprospects.com/player/8810/derek-roy,2009-2010,nhl,Derek Roy,C,FW
Ryan Getzlaf (C),Anaheim Ducks,66,19,50,69,1.05,79,4,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2009-2010,nhl,Ryan Getzlaf,C,FW
Duncan Keith (D),Chicago Blackhawks,82,14,55,69,0.84,51,21,https://www.eliteprospects.com/player/9012/duncan-keith,2009-2010,nhl,Duncan Keith,D,DEF
Jonathan Toews (C),Chicago Blackhawks,76,25,43,68,0.89,47,22,https://www.eliteprospects.com/player/8792/jonathan-toews,2009-2010,nhl,Jonathan Toews,C,FW
Alexandre Burrows (RW/LW),Vancouver Canucks,82,35,32,67,0.82,121,34,https://www.eliteprospects.com/player/10224/alexandre-burrows,2009-2010,nhl,Alexandre Burrows,RW/LW,FW
Rick Nash (LW/RW),Columbus Blue Jackets,76,33,34,67,0.88,58,-2,https://www.eliteprospects.com/player/3658/rick-nash,2009-2010,nhl,Rick Nash,LW/RW,FW
Travis Zajac (C/RW),New Jersey Devils,82,25,42,67,0.82,24,22,https://www.eliteprospects.com/player/10232/travis-zajac,2009-2010,nhl,Travis Zajac,C/RW,FW
Nikolai Antropov (C/W),Atlanta Thrashers,76,24,43,67,0.88,44,13,https://www.eliteprospects.com/player/8657/nikolai-antropov,2009-2010,nhl,Nikolai Antropov,C/W,FW
Patrick Sharp (LW/RW),Chicago Blackhawks,82,25,41,66,0.80,28,24,https://www.eliteprospects.com/player/8880/patrick-sharp,2009-2010,nhl,Patrick Sharp,LW/RW,FW
Jussi Jokinen (W/C),Carolina Hurricanes,81,30,35,65,0.80,36,3,https://www.eliteprospects.com/player/2716/jussi-jokinen,2009-2010,nhl,Jussi Jokinen,W/C,FW
Antoine Vermette (C),Columbus Blue Jackets,82,27,38,65,0.79,32,2,https://www.eliteprospects.com/player/8840/antoine-vermette,2009-2010,nhl,Antoine Vermette,C,FW
Wojtek Wolski (LW/RW),totals,80,23,42,65,0.81,27,21,https://www.eliteprospects.com/player/8832/wojtek-wolski,2009-2010,nhl,Wojtek Wolski,LW/RW,FW
Tim Connolly (C),Buffalo Sabres,73,17,48,65,0.89,28,10,https://www.eliteprospects.com/player/8775/tim-connolly,2009-2010,nhl,Tim Connolly,C,FW
Bobby Ryan (RW/LW),Anaheim Ducks,81,35,29,64,0.79,81,9,https://www.eliteprospects.com/player/9210/bobby-ryan,2009-2010,nhl,Bobby Ryan,RW/LW,FW
Chris Stewart (RW/LW),Colorado Avalanche,77,28,36,64,0.83,73,4,https://www.eliteprospects.com/player/10442/chris-stewart,2009-2010,nhl,Chris Stewart,RW/LW,FW
Dustin Penner (LW),Edmonton Oilers,82,32,31,63,0.77,38,6,https://www.eliteprospects.com/player/8540/dustin-penner,2009-2010,nhl,Dustin Penner,LW,FW
Kristian Huselius (LW),Columbus Blue Jackets,74,23,40,63,0.85,36,-4,https://www.eliteprospects.com/player/691/kristian-huselius,2009-2010,nhl,Kristian Huselius,LW,FW
Mike Richards (C),Philadelphia Flyers,82,31,31,62,0.76,79,-2,https://www.eliteprospects.com/player/8816/mike-richards,2009-2010,nhl,Mike Richards,C,FW
Jason Pominville (RW),Buffalo Sabres,82,24,38,62,0.76,22,13,https://www.eliteprospects.com/player/8809/jason-pominville,2009-2010,nhl,Jason Pominville,RW,FW
Jeff Carter (C),Philadelphia Flyers,74,33,28,61,0.82,38,2,https://www.eliteprospects.com/player/8813/jeff-carter,2009-2010,nhl,Jeff Carter,C,FW
Andrew Brunette (LW),Minnesota Wild,82,25,36,61,0.74,12,-5,https://www.eliteprospects.com/player/9101/andrew-brunette,2009-2010,nhl,Andrew Brunette,LW,FW
Maxim Afinogenov (RW/LW),Atlanta Thrashers,82,24,37,61,0.74,46,-17,https://www.eliteprospects.com/player/8672/maxim-afinogenov,2009-2010,nhl,Maxim Afinogenov,RW/LW,FW
Jamie Langenbrunner (RW),New Jersey Devils,81,19,42,61,0.75,44,6,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2009-2010,nhl,Jamie Langenbrunner,RW,FW
Stephen Weiss (C),Florida Panthers,80,28,32,60,0.75,40,-7,https://www.eliteprospects.com/player/8817/stephen-weiss,2009-2010,nhl,Stephen Weiss,C,FW
Brooks Laich (C/LW),Washington Capitals,78,25,34,59,0.76,34,16,https://www.eliteprospects.com/player/9518/brooks-laich,2009-2010,nhl,Brooks Laich,C/LW,FW
Drew Doughty (D),Los Angeles Kings,82,16,43,59,0.72,54,20,https://www.eliteprospects.com/player/10430/drew-doughty,2009-2010,nhl,Drew Doughty,D,DEF
Scott Gomez (C),Montréal Canadiens,78,12,47,59,0.76,60,1,https://www.eliteprospects.com/player/9050/scott-gomez,2009-2010,nhl,Scott Gomez,C,FW
René Bourque (LW/RW),Calgary Flames,73,27,31,58,0.79,88,7,https://www.eliteprospects.com/player/9089/rene-bourque,2009-2010,nhl,René Bourque,LW/RW,FW
Ray Whitney (LW/RW),Carolina Hurricanes,80,21,37,58,0.73,26,-6,https://www.eliteprospects.com/player/8824/ray-whitney,2009-2010,nhl,Ray Whitney,LW/RW,FW
Václav Prospal (LW/C),New York Rangers,75,20,38,58,0.77,32,8,https://www.eliteprospects.com/player/8641/vaclav-prospal,2009-2010,nhl,Václav Prospal,LW/C,FW
Dan Boyle (D),San Jose Sharks,76,15,43,58,0.76,70,6,https://www.eliteprospects.com/player/5369/dan-boyle,2009-2010,nhl,Dan Boyle,D,DEF
Andy McDonald (C),St. Louis Blues,79,24,33,57,0.72,18,-9,https://www.eliteprospects.com/player/8527/andy-mcdonald,2009-2010,nhl,Andy McDonald,C,FW
Jason Spezza (C),Ottawa Senators,60,23,34,57,0.95,20,0,https://www.eliteprospects.com/player/3661/jason-spezza,2009-2010,nhl,Jason Spezza,C,FW
Nathan Horton (RW),Florida Panthers,65,20,37,57,0.88,42,-1,https://www.eliteprospects.com/player/3657/nathan-horton,2009-2010,nhl,Nathan Horton,RW,FW
Matt Stajan (C),totals,82,19,38,57,0.70,32,-6,https://www.eliteprospects.com/player/8889/matt-stajan,2009-2010,nhl,Matt Stajan,C,FW
Ryane Clowe (LW),San Jose Sharks,82,19,38,57,0.70,131,0,https://www.eliteprospects.com/player/9116/ryane-clowe,2009-2010,nhl,Ryane Clowe,LW,FW
Dustin Brown (RW/LW),Los Angeles Kings,82,24,32,56,0.68,41,-6,https://www.eliteprospects.com/player/9099/dustin-brown,2009-2010,nhl,Dustin Brown,RW/LW,FW
Phil Kessel (RW),Toronto Maple Leafs,70,30,25,55,0.79,21,-8,https://www.eliteprospects.com/player/8793/phil-kessel,2009-2010,nhl,Phil Kessel,RW,FW
James Neal (LW/RW),Dallas Stars,78,27,28,55,0.71,64,-5,https://www.eliteprospects.com/player/9362/james-neal,2009-2010,nhl,James Neal,LW/RW,FW
Matt Duchene (C/LW),Colorado Avalanche,81,24,31,55,0.68,16,1,https://www.eliteprospects.com/player/12571/matt-duchene,2009-2010,nhl,Matt Duchene,C/LW,FW
R.J. Umberger (C/W),Columbus Blue Jackets,82,23,32,55,0.67,40,-16,https://www.eliteprospects.com/player/8820/r.j.-umberger,2009-2010,nhl,R.J. Umberger,C/W,FW
Rich Peverley (C),Atlanta Thrashers,82,22,33,55,0.67,36,-14,https://www.eliteprospects.com/player/11017/rich-peverley,2009-2010,nhl,Rich Peverley,C,FW
Shane Doan (RW),Phoenix Coyotes,82,18,37,55,0.67,41,3,https://www.eliteprospects.com/player/9137/shane-doan,2009-2010,nhl,Shane Doan,RW,FW
Chris Pronger (D),Philadelphia Flyers,82,10,45,55,0.67,79,22,https://www.eliteprospects.com/player/8538/chris-pronger,2009-2010,nhl,Chris Pronger,D,DEF
John Tavares (C/LW),New York Islanders,82,24,30,54,0.66,22,-15,https://www.eliteprospects.com/player/9223/john-tavares,2009-2010,nhl,John Tavares,C/LW,FW
Martin Havlát (RW/LW),Minnesota Wild,73,18,36,54,0.74,34,-19,https://www.eliteprospects.com/player/8624/martin-havlat,2009-2010,nhl,Martin Havlát,RW/LW,FW
Mikael Samuelsson (RW),Vancouver Canucks,74,30,23,53,0.72,64,10,https://www.eliteprospects.com/player/736/mikael-samuelsson,2009-2010,nhl,Mikael Samuelsson,RW,FW
Mike Knuble (RW),Washington Capitals,69,29,24,53,0.77,59,23,https://www.eliteprospects.com/player/4322/mike-knuble,2009-2010,nhl,Mike Knuble,RW,FW
Thomas Vanek (LW/RW),Buffalo Sabres,71,28,25,53,0.75,42,9,https://www.eliteprospects.com/player/8493/thomas-vanek,2009-2010,nhl,Thomas Vanek,LW/RW,FW
Daniel Brière (C),Philadelphia Flyers,75,26,27,53,0.71,71,-2,https://www.eliteprospects.com/player/8770/daniel-briere,2009-2010,nhl,Daniel Brière,C,FW
Mike Fisher (C),Ottawa Senators,79,25,28,53,0.67,59,1,https://www.eliteprospects.com/player/8771/mike-fisher,2009-2010,nhl,Mike Fisher,C,FW
Mason Raymond (LW/RW),Vancouver Canucks,82,25,28,53,0.65,48,0,https://www.eliteprospects.com/player/11354/mason-raymond,2009-2010,nhl,Mason Raymond,LW/RW,FW
Ryan Smyth (LW),Los Angeles Kings,67,22,31,53,0.79,42,8,https://www.eliteprospects.com/player/8888/ryan-smyth,2009-2010,nhl,Ryan Smyth,LW,FW
Mike Ribeiro (C),Dallas Stars,66,19,34,53,0.80,38,-5,https://www.eliteprospects.com/player/8715/mike-ribeiro,2009-2010,nhl,Mike Ribeiro,C,FW
Matthew Lombardi (C),Phoenix Coyotes,78,19,34,53,0.68,36,8,https://www.eliteprospects.com/player/8999/matthew-lombardi,2009-2010,nhl,Matthew Lombardi,C,FW
Saku Koivu (C),Anaheim Ducks,71,19,33,52,0.73,36,14,https://www.eliteprospects.com/player/2669/saku-koivu,2009-2010,nhl,Saku Koivu,C,FW
Patrice Bergeron (C),Boston Bruins,73,19,33,52,0.71,28,6,https://www.eliteprospects.com/player/9079/patrice-bergeron,2009-2010,nhl,Patrice Bergeron,C,FW
