player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Daniel Sedin (LW),Vancouver Canucks,82,41,63,104,1.27,32,30,https://www.eliteprospects.com/player/737/daniel-sedin,2010-2011,nhl,Daniel Sedin,LW,FW
Martin St-Louis (RW),Tampa Bay Lightning,82,31,68,99,1.21,12,0,https://www.eliteprospects.com/player/8772/martin-st-louis,2010-2011,nhl,Martin St-Louis,RW,FW
Corey Perry (RW/LW),Anaheim Ducks,82,50,48,98,1.2,104,9,https://www.eliteprospects.com/player/8541/corey-perry,2010-2011,nhl,Corey Perry,RW/LW,FW
Henrik Sedin (C),Vancouver Canucks,82,19,75,94,1.15,40,26,https://www.eliteprospects.com/player/738/henrik-sedin,2010-2011,nhl,Henrik Sedin,C,FW
Steven Stamkos (C/W),Tampa Bay Lightning,82,45,46,91,1.11,74,3,https://www.eliteprospects.com/player/11113/steven-stamkos,2010-2011,nhl,Steven Stamkos,C/W,FW
Jarome Iginla (RW),Calgary Flames,82,43,43,86,1.05,40,0,https://www.eliteprospects.com/player/9036/jarome-iginla,2010-2011,nhl,Jarome Iginla,RW,FW
Alexander Ovechkin (LW),Washington Capitals,79,32,53,85,1.08,41,24,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2010-2011,nhl,Alexander Ovechkin,LW,FW
Teemu Selänne (RW),Anaheim Ducks,73,31,49,80,1.1,49,6,https://www.eliteprospects.com/player/2683/teemu-selanne,2010-2011,nhl,Teemu Selänne,RW,FW
Henrik Zetterberg (C),Detroit Red Wings,80,24,56,80,1,40,-1,https://www.eliteprospects.com/player/285/henrik-zetterberg,2010-2011,nhl,Henrik Zetterberg,C,FW
Brad Richards (C),Dallas Stars,72,28,49,77,1.07,24,1,https://www.eliteprospects.com/player/4723/brad-richards,2010-2011,nhl,Brad Richards,C,FW
Eric Staal (C),Carolina Hurricanes,81,33,43,76,0.94,72,-10,https://www.eliteprospects.com/player/3656/eric-staal,2010-2011,nhl,Eric Staal,C,FW
Jonathan Toews (C),Chicago Blackhawks,80,32,44,76,0.95,26,25,https://www.eliteprospects.com/player/8792/jonathan-toews,2010-2011,nhl,Jonathan Toews,C,FW
Claude Giroux (W/C),Philadelphia Flyers,82,25,51,76,0.93,47,20,https://www.eliteprospects.com/player/10437/claude-giroux,2010-2011,nhl,Claude Giroux,W/C,FW
Ryan Getzlaf (C),Anaheim Ducks,67,19,57,76,1.13,35,14,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2010-2011,nhl,Ryan Getzlaf,C,FW
Ryan Kesler (C),Vancouver Canucks,82,41,32,73,0.89,66,24,https://www.eliteprospects.com/player/9014/ryan-kesler,2010-2011,nhl,Ryan Kesler,C,FW
Patrick Marleau (LW),San Jose Sharks,82,37,36,73,0.89,16,-3,https://www.eliteprospects.com/player/3671/patrick-marleau,2010-2011,nhl,Patrick Marleau,LW,FW
Thomas Vanek (LW/RW),Buffalo Sabres,80,32,41,73,0.91,24,2,https://www.eliteprospects.com/player/8493/thomas-vanek,2010-2011,nhl,Thomas Vanek,LW/RW,FW
Patrick Kane (RW/LW),Chicago Blackhawks,73,27,46,73,1,28,7,https://www.eliteprospects.com/player/9326/patrick-kane,2010-2011,nhl,Patrick Kane,RW/LW,FW
Loui Eriksson (LW),Dallas Stars,79,27,46,73,0.92,8,10,https://www.eliteprospects.com/player/683/loui-eriksson,2010-2011,nhl,Loui Eriksson,LW,FW
Anze Kopitar (C),Los Angeles Kings,75,25,48,73,0.97,20,25,https://www.eliteprospects.com/player/4233/anze-kopitar,2010-2011,nhl,Anze Kopitar,C,FW
Patrick Sharp (LW/RW),Chicago Blackhawks,74,34,37,71,0.96,38,-1,https://www.eliteprospects.com/player/8880/patrick-sharp,2010-2011,nhl,Patrick Sharp,LW/RW,FW
Bobby Ryan (RW/LW),Anaheim Ducks,82,34,37,71,0.87,61,15,https://www.eliteprospects.com/player/9210/bobby-ryan,2010-2011,nhl,Bobby Ryan,RW/LW,FW
Mike Ribeiro (C),Dallas Stars,82,19,52,71,0.87,28,-4,https://www.eliteprospects.com/player/8715/mike-ribeiro,2010-2011,nhl,Mike Ribeiro,C,FW
Joe Thornton (C),San Jose Sharks,80,21,49,70,0.88,47,4,https://www.eliteprospects.com/player/3670/joe-thornton,2010-2011,nhl,Joe Thornton,C,FW
Alex Tanguay (LW),Calgary Flames,79,22,47,69,0.87,24,0,https://www.eliteprospects.com/player/8779/alex-tanguay,2010-2011,nhl,Alex Tanguay,LW,FW
Daniel Brière (C),Philadelphia Flyers,77,34,34,68,0.88,87,20,https://www.eliteprospects.com/player/8770/daniel-briere,2010-2011,nhl,Daniel Brière,C,FW
Lubomir Visnovsky (D),Anaheim Ducks,81,18,50,68,0.84,24,18,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2010-2011,nhl,Lubomir Visnovsky,D,DEF
John Tavares (C/LW),New York Islanders,79,29,38,67,0.85,53,-16,https://www.eliteprospects.com/player/9223/john-tavares,2010-2011,nhl,John Tavares,C/LW,FW
Matt Duchene (C/LW),Colorado Avalanche,80,27,40,67,0.84,33,-8,https://www.eliteprospects.com/player/12571/matt-duchene,2010-2011,nhl,Matt Duchene,C/LW,FW
Jeff Carter (C),Philadelphia Flyers,80,36,30,66,0.83,39,27,https://www.eliteprospects.com/player/8813/jeff-carter,2010-2011,nhl,Jeff Carter,C,FW
Sidney Crosby (C),Pittsburgh Penguins,41,32,34,66,1.61,31,20,https://www.eliteprospects.com/player/6146/sidney-crosby,2010-2011,nhl,Sidney Crosby,C,FW
Rick Nash (LW/RW),Columbus Blue Jackets,75,32,34,66,0.88,34,2,https://www.eliteprospects.com/player/3658/rick-nash,2010-2011,nhl,Rick Nash,LW/RW,FW
Mike Richards (C),Philadelphia Flyers,81,23,43,66,0.81,62,11,https://www.eliteprospects.com/player/8816/mike-richards,2010-2011,nhl,Mike Richards,C,FW
Joe Pavelski (C/RW),San Jose Sharks,74,20,46,66,0.89,24,10,https://www.eliteprospects.com/player/10372/joe-pavelski,2010-2011,nhl,Joe Pavelski,C/RW,FW
Nicklas Bäckström (C),Washington Capitals,77,18,47,65,0.84,40,24,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2010-2011,nhl,Nicklas Bäckström,C,FW
Phil Kessel (RW),Toronto Maple Leafs,82,32,32,64,0.78,24,-20,https://www.eliteprospects.com/player/8793/phil-kessel,2010-2011,nhl,Phil Kessel,RW,FW
Dany Heatley (LW/RW),San Jose Sharks,80,26,38,64,0.8,56,8,https://www.eliteprospects.com/player/3664/dany-heatley,2010-2011,nhl,Dany Heatley,LW/RW,FW
Jeff Skinner (C/LW),Carolina Hurricanes,82,31,32,63,0.77,46,3,https://www.eliteprospects.com/player/23668/jeff-skinner,2010-2011,nhl,Jeff Skinner,C/LW,FW
David Backes (RW/C),St. Louis Blues,82,31,31,62,0.76,93,32,https://www.eliteprospects.com/player/11435/david-backes,2010-2011,nhl,David Backes,RW/C,FW
Milan Lucic (LW),Boston Bruins,79,30,32,62,0.78,121,28,https://www.eliteprospects.com/player/11104/milan-lucic,2010-2011,nhl,Milan Lucic,LW,FW
Ryane Clowe (LW),San Jose Sharks,75,24,38,62,0.83,100,13,https://www.eliteprospects.com/player/9116/ryane-clowe,2010-2011,nhl,Ryane Clowe,LW,FW
Martin Havlát (RW/LW),Minnesota Wild,78,22,40,62,0.79,52,-10,https://www.eliteprospects.com/player/8624/martin-havlat,2010-2011,nhl,Martin Havlát,RW/LW,FW
Patrik Elias (LW),New Jersey Devils,81,21,41,62,0.77,16,-4,https://www.eliteprospects.com/player/8698/patrik-elias,2010-2011,nhl,Patrik Elias,LW,FW
Clarke MacArthur (LW),Toronto Maple Leafs,82,21,41,62,0.76,37,-3,https://www.eliteprospects.com/player/8951/clarke-macarthur,2010-2011,nhl,Clarke MacArthur,LW,FW
Mikko Koivu (C),Minnesota Wild,71,17,45,62,0.87,50,4,https://www.eliteprospects.com/player/2696/mikko-koivu,2010-2011,nhl,Mikko Koivu,C,FW
Nicklas Lidström (D),Detroit Red Wings,82,16,46,62,0.76,20,-2,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2010-2011,nhl,Nicklas Lidström,D,DEF
David Krejčí (C),Boston Bruins,75,13,49,62,0.83,28,23,https://www.eliteprospects.com/player/9226/david-krejci,2010-2011,nhl,David Krejčí,C,FW
Ilya Kovalchuk (LW),New Jersey Devils,81,31,29,60,0.74,28,-26,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2010-2011,nhl,Ilya Kovalchuk,LW,FW
Shane Doan (RW),Phoenix Coyotes,72,20,40,60,0.83,67,5,https://www.eliteprospects.com/player/9137/shane-doan,2010-2011,nhl,Shane Doan,RW,FW
Andrew Ladd (LW),Atlanta Thrashers,81,29,30,59,0.73,39,-10,https://www.eliteprospects.com/player/6668/andrew-ladd,2010-2011,nhl,Andrew Ladd,LW,FW
Pavel Datsyuk (C),Detroit Red Wings,56,23,36,59,1.05,15,11,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2010-2011,nhl,Pavel Datsyuk,C,FW
Keith Yandle (D),Phoenix Coyotes,82,11,48,59,0.72,68,12,https://www.eliteprospects.com/player/10247/keith-yandle,2010-2011,nhl,Keith Yandle,D,DEF
Mikhail Grabovski (C),Toronto Maple Leafs,81,29,29,58,0.72,60,14,https://www.eliteprospects.com/player/9351/mikhail-grabovski,2010-2011,nhl,Mikhail Grabovski,C,FW
Nikolai Kulyomin (LW/RW),Toronto Maple Leafs,82,30,27,57,0.7,26,7,https://www.eliteprospects.com/player/9258/nikolai-kulyomin,2010-2011,nhl,Nikolai Kulyomin,LW/RW,FW
Dustin Brown (RW/LW),Los Angeles Kings,82,28,29,57,0.7,67,17,https://www.eliteprospects.com/player/9099/dustin-brown,2010-2011,nhl,Dustin Brown,RW/LW,FW
Marián Hossa (RW),Chicago Blackhawks,65,25,32,57,0.88,32,9,https://www.eliteprospects.com/player/4720/marian-hossa,2010-2011,nhl,Marián Hossa,RW,FW
R.J. Umberger (C/W),Columbus Blue Jackets,82,25,32,57,0.7,38,3,https://www.eliteprospects.com/player/8820/r.j.-umberger,2010-2011,nhl,R.J. Umberger,C/W,FW
Justin Williams (RW),Los Angeles Kings,73,22,35,57,0.78,59,14,https://www.eliteprospects.com/player/4506/justin-williams,2010-2011,nhl,Justin Williams,RW,FW
Paul Stastny (C),Colorado Avalanche,74,22,35,57,0.77,56,-7,https://www.eliteprospects.com/player/10212/paul-stastny,2010-2011,nhl,Paul Stastny,C,FW
Tomas Plekanec (C),Montréal Canadiens,77,22,35,57,0.74,60,8,https://www.eliteprospects.com/player/8668/tomas-plekanec,2010-2011,nhl,Tomas Plekanec,C,FW
Patrice Bergeron (C),Boston Bruins,80,22,35,57,0.71,26,20,https://www.eliteprospects.com/player/9079/patrice-bergeron,2010-2011,nhl,Patrice Bergeron,C,FW
Jason Spezza (C),Ottawa Senators,62,21,36,57,0.92,28,-7,https://www.eliteprospects.com/player/3661/jason-spezza,2010-2011,nhl,Jason Spezza,C,FW
Tuomo Ruutu (W/C),Carolina Hurricanes,82,19,38,57,0.7,54,1,https://www.eliteprospects.com/player/2695/tuomo-ruutu,2010-2011,nhl,Tuomo Ruutu,W/C,FW
Ray Whitney (LW/RW),Phoenix Coyotes,75,17,40,57,0.76,24,0,https://www.eliteprospects.com/player/8824/ray-whitney,2010-2011,nhl,Ray Whitney,LW/RW,FW
Brenden Morrow (LW),Dallas Stars,82,33,23,56,0.68,76,-3,https://www.eliteprospects.com/player/8960/brenden-morrow,2010-2011,nhl,Brenden Morrow,LW,FW
Logan Couture (C/LW),San Jose Sharks,79,32,24,56,0.71,41,18,https://www.eliteprospects.com/player/11109/logan-couture,2010-2011,nhl,Logan Couture,C/LW,FW
Jamie Benn (LW/C),Dallas Stars,69,22,34,56,0.81,52,-5,https://www.eliteprospects.com/player/15399/jamie-benn,2010-2011,nhl,Jamie Benn,LW/C,FW
Milan Hejduk (RW),Colorado Avalanche,71,22,34,56,0.79,18,-23,https://www.eliteprospects.com/player/8603/milan-hejduk,2010-2011,nhl,Milan Hejduk,RW,FW
Johan Franzén (W/C),Detroit Red Wings,76,28,27,55,0.72,58,5,https://www.eliteprospects.com/player/158/johan-franzen,2010-2011,nhl,Johan Franzén,W/C,FW
Brad Boyes (RW),totals,83,17,38,55,0.66,36,13,https://www.eliteprospects.com/player/9092/brad-boyes,2010-2011,nhl,Brad Boyes,RW,FW
Alexander Syomin (LW),Washington Capitals,65,28,26,54,0.83,71,22,https://www.eliteprospects.com/player/8633/alexander-syomin,2010-2011,nhl,Alexander Syomin,LW,FW
Vincent Lecavalier (C),Tampa Bay Lightning,65,25,29,54,0.83,43,-5,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2010-2011,nhl,Vincent Lecavalier,C,FW
Brandon Dubinsky (C/LW),New York Rangers,77,24,30,54,0.7,100,-3,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2010-2011,nhl,Brandon Dubinsky,C/LW,FW
Olli Jokinen (C),Calgary Flames,79,17,37,54,0.68,44,-17,https://www.eliteprospects.com/player/2679/olli-jokinen,2010-2011,nhl,Olli Jokinen,C,FW
Matt Moulson (LW/RW),New York Islanders,82,31,22,53,0.65,24,-10,https://www.eliteprospects.com/player/9744/matt-moulson,2010-2011,nhl,Matt Moulson,LW/RW,FW
Chris Stewart (RW/LW),totals,62,28,25,53,0.85,53,-6,https://www.eliteprospects.com/player/10442/chris-stewart,2010-2011,nhl,Chris Stewart,RW/LW,FW
Nathan Horton (RW),Boston Bruins,80,26,27,53,0.66,85,29,https://www.eliteprospects.com/player/3657/nathan-horton,2010-2011,nhl,Nathan Horton,RW,FW
Pierre-Alexandre Parenteau (RW),New York Islanders,81,20,33,53,0.65,46,-8,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2010-2011,nhl,Pierre-Alexandre Parenteau,RW,FW
Dustin Byfuglien (D),Atlanta Thrashers,81,20,33,53,0.65,93,-2,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2010-2011,nhl,Dustin Byfuglien,D,DEF
Ville Leino (LW/RW),Philadelphia Flyers,81,19,34,53,0.65,22,14,https://www.eliteprospects.com/player/7418/ville-leino,2010-2011,nhl,Ville Leino,LW/RW,FW
Michael Grabner (LW/RW),New York Islanders,76,34,18,52,0.68,10,13,https://www.eliteprospects.com/player/8494/michael-grabner,2010-2011,nhl,Michael Grabner,LW/RW,FW
Drew Stafford (RW),Buffalo Sabres,62,31,21,52,0.84,34,13,https://www.eliteprospects.com/player/9180/drew-stafford,2010-2011,nhl,Drew Stafford,RW,FW
Erik Cole (LW),Carolina Hurricanes,82,26,26,52,0.63,49,-1,https://www.eliteprospects.com/player/8732/erik-cole,2010-2011,nhl,Erik Cole,LW,FW
Jason Pominville (RW),Buffalo Sabres,73,22,30,52,0.71,15,1,https://www.eliteprospects.com/player/8809/jason-pominville,2010-2011,nhl,Jason Pominville,RW,FW
Patrik Berglund (C),St. Louis Blues,81,22,30,52,0.64,26,-3,https://www.eliteprospects.com/player/3637/patrik-berglund,2010-2011,nhl,Patrik Berglund,C,FW
Jussi Jokinen (W/C),Carolina Hurricanes,70,19,33,52,0.74,24,3,https://www.eliteprospects.com/player/2716/jussi-jokinen,2010-2011,nhl,Jussi Jokinen,W/C,FW
Alexander Steen (C),St. Louis Blues,72,20,31,51,0.71,26,-3,https://www.eliteprospects.com/player/460/alexander-steen,2010-2011,nhl,Alexander Steen,C,FW
Teddy Purcell (LW/RW),Tampa Bay Lightning,81,17,34,51,0.63,10,5,https://www.eliteprospects.com/player/14179/teddy-purcell,2010-2011,nhl,Teddy Purcell,LW/RW,FW
Tobias Enström (D),Atlanta Thrashers,72,10,41,51,0.71,54,-10,https://www.eliteprospects.com/player/594/tobias-enstrom,2010-2011,nhl,Tobias Enström,D,DEF
James Wisniewski (D),totals,75,10,41,51,0.68,38,-14,https://www.eliteprospects.com/player/9407/james-wisniewski,2010-2011,nhl,James Wisniewski,D,DEF
René Bourque (LW/RW),Calgary Flames,80,27,23,50,0.63,42,-17,https://www.eliteprospects.com/player/9089/rene-bourque,2010-2011,nhl,René Bourque,LW/RW,FW
Sergei Kostitsyn (RW/LW),Nashville Predators,77,23,27,50,0.65,20,10,https://www.eliteprospects.com/player/9653/sergei-kostitsyn,2010-2011,nhl,Sergei Kostitsyn,RW/LW,FW
Andy McDonald (C),St. Louis Blues,58,20,30,50,0.86,26,18,https://www.eliteprospects.com/player/8527/andy-mcdonald,2010-2011,nhl,Andy McDonald,C,FW
Mikael Samuelsson (RW),Vancouver Canucks,75,18,32,50,0.67,36,8,https://www.eliteprospects.com/player/736/mikael-samuelsson,2010-2011,nhl,Mikael Samuelsson,RW,FW
Martin Erat (RW/LW),Nashville Predators,64,17,33,50,0.78,22,14,https://www.eliteprospects.com/player/8611/martin-erat,2010-2011,nhl,Martin Erat,RW/LW,FW
Christian Ehrhoff (D),Vancouver Canucks,79,14,36,50,0.63,52,19,https://www.eliteprospects.com/player/8581/christian-ehrhoff,2010-2011,nhl,Christian Ehrhoff,D,DEF
Dan Boyle (D),San Jose Sharks,76,9,41,50,0.66,67,2,https://www.eliteprospects.com/player/5369/dan-boyle,2010-2011,nhl,Dan Boyle,D,DEF
Kris Letang (D),Pittsburgh Penguins,82,8,42,50,0.61,101,15,https://www.eliteprospects.com/player/9189/kris-letang,2010-2011,nhl,Kris Letang,D,DEF
Scott Hartnell (LW),Philadelphia Flyers,82,24,25,49,0.6,142,14,https://www.eliteprospects.com/player/8764/scott-hartnell,2010-2011,nhl,Scott Hartnell,LW,FW
Stephen Weiss (C),Florida Panthers,76,21,28,49,0.64,49,-9,https://www.eliteprospects.com/player/8817/stephen-weiss,2010-2011,nhl,Stephen Weiss,C,FW
Tyler Ennis (RW/LW),Buffalo Sabres,82,20,29,49,0.6,30,0,https://www.eliteprospects.com/player/11667/tyler-ennis,2010-2011,nhl,Tyler Ennis,RW/LW,FW
Alexandre Burrows (RW/LW),Vancouver Canucks,72,26,22,48,0.67,77,26,https://www.eliteprospects.com/player/10224/alexandre-burrows,2010-2011,nhl,Alexandre Burrows,RW/LW,FW
Ryan Callahan (RW),New York Rangers,60,23,25,48,0.8,46,-7,https://www.eliteprospects.com/player/9437/ryan-callahan,2010-2011,nhl,Ryan Callahan,RW,FW
Chris Kunitz (LW),Pittsburgh Penguins,66,23,25,48,0.73,47,18,https://www.eliteprospects.com/player/8523/chris-kunitz,2010-2011,nhl,Chris Kunitz,LW,FW
Marián Gáborík (RW),New York Rangers,62,22,26,48,0.77,18,8,https://www.eliteprospects.com/player/3665/marian-gaborik,2010-2011,nhl,Marián Gáborík,RW,FW
Patric Hörnqvist (RW),Nashville Predators,79,21,27,48,0.61,47,11,https://www.eliteprospects.com/player/3683/patric-hornqvist,2010-2011,nhl,Patric Hörnqvist,RW,FW
