player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Joe Thornton (C),totals,81,29,96,125,1.54,61,31,https://www.eliteprospects.com/player/3670/joe-thornton,2005-2006,nhl,Joe Thornton,C,FW
Jaromír Jágr (RW),New York Rangers,82,54,69,123,1.5,72,34,https://www.eliteprospects.com/player/8627/jaromir-jagr,2005-2006,nhl,Jaromír Jágr,RW,FW
Alexander Ovechkin (LW),Washington Capitals,81,52,54,106,1.31,52,2,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2005-2006,nhl,Alexander Ovechkin,LW,FW
Dany Heatley (LW/RW),Ottawa Senators,82,50,53,103,1.26,86,29,https://www.eliteprospects.com/player/3664/dany-heatley,2005-2006,nhl,Dany Heatley,LW/RW,FW
Daniel Alfredsson (RW),Ottawa Senators,77,43,60,103,1.34,50,29,https://www.eliteprospects.com/player/702/daniel-alfredsson,2005-2006,nhl,Daniel Alfredsson,RW,FW
Sidney Crosby (C),Pittsburgh Penguins,81,39,63,102,1.26,110,-1,https://www.eliteprospects.com/player/6146/sidney-crosby,2005-2006,nhl,Sidney Crosby,C,FW
Eric Staal (C),Carolina Hurricanes,82,45,55,100,1.22,81,-8,https://www.eliteprospects.com/player/3656/eric-staal,2005-2006,nhl,Eric Staal,C,FW
Ilya Kovalchuk (LW),Atlanta Thrashers,78,52,46,98,1.26,68,-6,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2005-2006,nhl,Ilya Kovalchuk,LW,FW
Marc Savard (C),Atlanta Thrashers,82,28,69,97,1.18,100,7,https://www.eliteprospects.com/player/8574/marc-savard,2005-2006,nhl,Marc Savard,C,FW
Jonathan Cheechoo (RW),San Jose Sharks,82,56,37,93,1.13,58,23,https://www.eliteprospects.com/player/5529/jonathan-cheechoo,2005-2006,nhl,Jonathan Cheechoo,RW,FW
Marián Hossa (RW),Atlanta Thrashers,80,39,53,92,1.15,67,17,https://www.eliteprospects.com/player/4720/marian-hossa,2005-2006,nhl,Marián Hossa,RW,FW
Brad Richards (C),Tampa Bay Lightning,82,23,68,91,1.11,32,0,https://www.eliteprospects.com/player/4723/brad-richards,2005-2006,nhl,Brad Richards,C,FW
Teemu Selänne (RW),Mighty Ducks of Anaheim,80,40,50,90,1.13,44,28,https://www.eliteprospects.com/player/2683/teemu-selanne,2005-2006,nhl,Teemu Selänne,RW,FW
Jason Spezza (C),Ottawa Senators,68,19,71,90,1.32,33,23,https://www.eliteprospects.com/player/3661/jason-spezza,2005-2006,nhl,Jason Spezza,C,FW
Brian Gionta (RW),New Jersey Devils,82,48,41,89,1.09,46,18,https://www.eliteprospects.com/player/9048/brian-gionta,2005-2006,nhl,Brian Gionta,RW,FW
Olli Jokinen (C),Florida Panthers,82,38,51,89,1.09,88,14,https://www.eliteprospects.com/player/2679/olli-jokinen,2005-2006,nhl,Olli Jokinen,C,FW
Joe Sakic (C),Colorado Avalanche,82,32,55,87,1.06,60,10,https://www.eliteprospects.com/player/8862/joe-sakic,2005-2006,nhl,Joe Sakic,C,FW
Pavel Datsyuk (C),Detroit Red Wings,75,28,59,87,1.16,22,26,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2005-2006,nhl,Pavel Datsyuk,C,FW
Patrick Marleau (LW),San Jose Sharks,82,34,52,86,1.05,26,-12,https://www.eliteprospects.com/player/3671/patrick-marleau,2005-2006,nhl,Patrick Marleau,LW,FW
Henrik Zetterberg (C),Detroit Red Wings,77,39,46,85,1.1,30,29,https://www.eliteprospects.com/player/285/henrik-zetterberg,2005-2006,nhl,Henrik Zetterberg,C,FW
Andy McDonald (C),Mighty Ducks of Anaheim,82,34,51,85,1.04,32,24,https://www.eliteprospects.com/player/8527/andy-mcdonald,2005-2006,nhl,Andy McDonald,C,FW
Paul Kariya (LW),Nashville Predators,82,31,54,85,1.04,40,-6,https://www.eliteprospects.com/player/9002/paul-kariya,2005-2006,nhl,Paul Kariya,LW,FW
Scott Gomez (C),New Jersey Devils,82,33,51,84,1.02,42,8,https://www.eliteprospects.com/player/9050/scott-gomez,2005-2006,nhl,Scott Gomez,C,FW
Brendan Shanahan (LW),Detroit Red Wings,82,40,41,81,0.99,105,29,https://www.eliteprospects.com/player/8693/brendan-shanahan,2005-2006,nhl,Brendan Shanahan,LW,FW
Václav Prospal (LW/C),Tampa Bay Lightning,81,25,55,80,0.99,50,-3,https://www.eliteprospects.com/player/8641/vaclav-prospal,2005-2006,nhl,Václav Prospal,LW/C,FW
Nicklas Lidström (D),Detroit Red Wings,80,16,64,80,1,50,21,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2005-2006,nhl,Nicklas Lidström,D,DEF
Simon Gagné (LW),Philadelphia Flyers,72,47,32,79,1.1,38,31,https://www.eliteprospects.com/player/8828/simon-gagne,2005-2006,nhl,Simon Gagné,LW,FW
Brian Rolston (LW),Minnesota Wild,82,34,45,79,0.96,50,14,https://www.eliteprospects.com/player/8927/brian-rolston,2005-2006,nhl,Brian Rolston,LW,FW
Markus Näslund (LW),Vancouver Canucks,81,32,47,79,0.98,66,-19,https://www.eliteprospects.com/player/697/markus-naslund,2005-2006,nhl,Markus Näslund,LW,FW
Michael Nylander (C),New York Rangers,81,23,56,79,0.98,76,31,https://www.eliteprospects.com/player/693/michael-nylander,2005-2006,nhl,Michael Nylander,C,FW
Mats Sundin (C),Toronto Maple Leafs,70,31,47,78,1.11,58,7,https://www.eliteprospects.com/player/467/mats-sundin,2005-2006,nhl,Mats Sundin,C,FW
Alex Tanguay (LW),Colorado Avalanche,71,29,49,78,1.1,46,8,https://www.eliteprospects.com/player/8779/alex-tanguay,2005-2006,nhl,Alex Tanguay,LW,FW
Mike Modano (C),Dallas Stars,78,27,50,77,0.99,58,23,https://www.eliteprospects.com/player/8965/mike-modano,2005-2006,nhl,Mike Modano,C,FW
Ales Hemsky (RW),Edmonton Oilers,81,19,58,77,0.95,64,-5,https://www.eliteprospects.com/player/8600/ales-hemsky,2005-2006,nhl,Ales Hemsky,RW,FW
Jason Arnott (C/RW),Dallas Stars,81,32,44,76,0.94,102,13,https://www.eliteprospects.com/player/9068/jason-arnott,2005-2006,nhl,Jason Arnott,C/RW,FW
Justin Williams (RW),Carolina Hurricanes,82,31,45,76,0.93,60,1,https://www.eliteprospects.com/player/4506/justin-williams,2005-2006,nhl,Justin Williams,RW,FW
Martin Straka (C),New York Rangers,82,22,54,76,0.93,42,17,https://www.eliteprospects.com/player/8689/martin-straka,2005-2006,nhl,Martin Straka,C,FW
Cory Stillman (LW),Carolina Hurricanes,72,21,55,76,1.06,32,-9,https://www.eliteprospects.com/player/8894/cory-stillman,2005-2006,nhl,Cory Stillman,LW,FW
Vincent Lecavalier (C),Tampa Bay Lightning,80,35,40,75,0.94,90,0,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2005-2006,nhl,Vincent Lecavalier,C,FW
Peter Forsberg (C),Philadelphia Flyers,60,19,56,75,1.25,46,21,https://www.eliteprospects.com/player/710/peter-forsberg,2005-2006,nhl,Peter Forsberg,C,FW
Henrik Sedin (C),Vancouver Canucks,82,18,57,75,0.91,56,11,https://www.eliteprospects.com/player/738/henrik-sedin,2005-2006,nhl,Henrik Sedin,C,FW
Patrice Bergeron (C),Boston Bruins,81,31,42,73,0.9,22,3,https://www.eliteprospects.com/player/9079/patrice-bergeron,2005-2006,nhl,Patrice Bergeron,C,FW
Maxim Afinogenov (RW/LW),Buffalo Sabres,77,22,51,73,0.95,84,6,https://www.eliteprospects.com/player/8672/maxim-afinogenov,2005-2006,nhl,Maxim Afinogenov,RW/LW,FW
Shawn Horcoff (C),Edmonton Oilers,79,22,51,73,0.92,85,0,https://www.eliteprospects.com/player/4375/shawn-horcoff,2005-2006,nhl,Shawn Horcoff,C,FW
Vyacheslav Kozlov (LW),Atlanta Thrashers,82,25,46,71,0.87,33,14,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2005-2006,nhl,Vyacheslav Kozlov,LW,FW
Todd Bertuzzi (RW/LW),Vancouver Canucks,82,25,46,71,0.87,120,-17,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2005-2006,nhl,Todd Bertuzzi,RW/LW,FW
Daniel Sedin (LW),Vancouver Canucks,82,22,49,71,0.87,34,7,https://www.eliteprospects.com/player/737/daniel-sedin,2005-2006,nhl,Daniel Sedin,LW,FW
Sergei Zubov (D),Dallas Stars,78,13,58,71,0.91,46,20,https://www.eliteprospects.com/player/8508/sergei-zubov,2005-2006,nhl,Sergei Zubov,D,DEF
Rod Brind'Amour (C),Carolina Hurricanes,78,31,39,70,0.9,68,8,https://www.eliteprospects.com/player/8784/rod-brind-amour,2005-2006,nhl,Rod Brind'Amour,C,FW
Brad Boyes (RW),Boston Bruins,82,26,43,69,0.84,30,11,https://www.eliteprospects.com/player/9092/brad-boyes,2005-2006,nhl,Brad Boyes,RW,FW
Steve Sullivan (LW),Nashville Predators,69,31,37,68,0.99,50,2,https://www.eliteprospects.com/player/8896/steve-sullivan,2005-2006,nhl,Steve Sullivan,LW,FW
Jarret Stoll (C),Edmonton Oilers,82,22,46,68,0.83,74,4,https://www.eliteprospects.com/player/8895/jarret-stoll,2005-2006,nhl,Jarret Stoll,C,FW
Bryan McCabe (D),Toronto Maple Leafs,73,19,49,68,0.93,116,-1,https://www.eliteprospects.com/player/4727/bryan-mccabe,2005-2006,nhl,Bryan McCabe,D,DEF
Jarome Iginla (RW),Calgary Flames,82,35,32,67,0.82,86,5,https://www.eliteprospects.com/player/9036/jarome-iginla,2005-2006,nhl,Jarome Iginla,RW,FW
Chris Drury (C),Buffalo Sabres,81,30,37,67,0.83,32,-11,https://www.eliteprospects.com/player/8804/chris-drury,2005-2006,nhl,Chris Drury,C,FW
Lubomir Visnovsky (D),Los Angeles Kings,80,17,50,67,0.84,50,7,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2005-2006,nhl,Lubomir Visnovsky,D,DEF
Tomas Kaberle (D),Toronto Maple Leafs,82,9,58,67,0.82,46,-1,https://www.eliteprospects.com/player/8542/tomas-kaberle,2005-2006,nhl,Tomas Kaberle,D,DEF
Marián Gáborík (RW),Minnesota Wild,65,38,28,66,1.02,64,6,https://www.eliteprospects.com/player/3665/marian-gaborik,2005-2006,nhl,Marián Gáborík,RW,FW
Ryan Smyth (LW),Edmonton Oilers,75,36,30,66,0.88,58,-5,https://www.eliteprospects.com/player/8888/ryan-smyth,2005-2006,nhl,Ryan Smyth,LW,FW
Miroslav Satan (RW),New York Islanders,82,35,31,66,0.8,54,-8,https://www.eliteprospects.com/player/666/miroslav-satan,2005-2006,nhl,Miroslav Satan,RW,FW
Shane Doan (RW),Phoenix Coyotes,82,30,36,66,0.8,123,-9,https://www.eliteprospects.com/player/9137/shane-doan,2005-2006,nhl,Shane Doan,RW,FW
Alexei Yashin (C/W),New York Islanders,82,28,38,66,0.8,68,-14,https://www.eliteprospects.com/player/8695/alexei-yashin,2005-2006,nhl,Alexei Yashin,C/W,FW
Craig Conroy (C),Los Angeles Kings,78,22,44,66,0.85,78,13,https://www.eliteprospects.com/player/9121/craig-conroy,2005-2006,nhl,Craig Conroy,C,FW
Mike Knuble (RW),Philadelphia Flyers,82,34,31,65,0.79,80,25,https://www.eliteprospects.com/player/4322/mike-knuble,2005-2006,nhl,Mike Knuble,RW,FW
Alexei Kovalev (RW),Montréal Canadiens,69,23,42,65,0.94,76,-1,https://www.eliteprospects.com/player/8670/alexei-kovalev,2005-2006,nhl,Alexei Kovalev,RW,FW
Brenden Morrow (LW),Dallas Stars,81,23,42,65,0.8,183,30,https://www.eliteprospects.com/player/8960/brenden-morrow,2005-2006,nhl,Brenden Morrow,LW,FW
David Výborný (C),Columbus Blue Jackets,80,22,43,65,0.81,50,-9,https://www.eliteprospects.com/player/1920/david-vyborny,2005-2006,nhl,David Výborný,C,FW
Mark Recchi (RW),totals,83,28,36,64,0.77,68,-36,https://www.eliteprospects.com/player/8869/mark-recchi,2005-2006,nhl,Mark Recchi,RW,FW
Mike Sillinger (C),totals,79,32,31,63,0.8,63,-17,https://www.eliteprospects.com/player/8881/mike-sillinger,2005-2006,nhl,Mike Sillinger,C,FW
Andrew Brunette (LW),Colorado Avalanche,82,24,39,63,0.77,48,9,https://www.eliteprospects.com/player/9101/andrew-brunette,2005-2006,nhl,Andrew Brunette,LW,FW
Scott Niedermayer (D),Mighty Ducks of Anaheim,82,13,50,63,0.77,96,8,https://www.eliteprospects.com/player/8521/scott-niedermayer,2005-2006,nhl,Scott Niedermayer,D,DEF
Pavol Demitra (C),Los Angeles Kings,58,25,37,62,1.07,42,21,https://www.eliteprospects.com/player/8596/pavol-demitra,2005-2006,nhl,Pavol Demitra,C,FW
Ales Kotalik (RW/LW),Buffalo Sabres,82,25,37,62,0.76,62,-3,https://www.eliteprospects.com/player/8676/ales-kotalik,2005-2006,nhl,Ales Kotalik,RW/LW,FW
Robert Lang (C),Detroit Red Wings,72,20,42,62,0.86,72,17,https://www.eliteprospects.com/player/8617/robert-lang,2005-2006,nhl,Robert Lang,C,FW
Saku Koivu (C),Montréal Canadiens,72,17,45,62,0.86,70,1,https://www.eliteprospects.com/player/2669/saku-koivu,2005-2006,nhl,Saku Koivu,C,FW
Martin St-Louis (RW),Tampa Bay Lightning,80,31,30,61,0.76,38,-3,https://www.eliteprospects.com/player/8772/martin-st-louis,2005-2006,nhl,Martin St-Louis,RW,FW
Darcy Tucker (LW),Toronto Maple Leafs,74,28,33,61,0.82,100,-12,https://www.eliteprospects.com/player/8859/darcy-tucker,2005-2006,nhl,Darcy Tucker,LW,FW
Mike Comrie (C),Phoenix Coyotes,80,30,30,60,0.75,55,2,https://www.eliteprospects.com/player/4701/mike-comrie,2005-2006,nhl,Mike Comrie,C,FW
Jason Allison (C/RW),Toronto Maple Leafs,66,17,43,60,0.91,76,-18,https://www.eliteprospects.com/player/9064/jason-allison,2005-2006,nhl,Jason Allison,C/RW,FW
Erik Cole (LW),Carolina Hurricanes,60,30,29,59,0.98,54,19,https://www.eliteprospects.com/player/8732/erik-cole,2005-2006,nhl,Erik Cole,LW,FW
Marco Sturm (LW),totals,74,29,30,59,0.8,48,6,https://www.eliteprospects.com/player/8573/marco-sturm,2005-2006,nhl,Marco Sturm,LW,FW
Tomas Holmström (RW),Detroit Red Wings,81,29,30,59,0.73,66,14,https://www.eliteprospects.com/player/712/tomas-holmstrom,2005-2006,nhl,Tomas Holmström,RW,FW
Kyle Calder (LW),Chicago Blackhawks,79,26,33,59,0.75,52,-4,https://www.eliteprospects.com/player/5671/kyle-calder,2005-2006,nhl,Kyle Calder,LW,FW
Daymond Langkow (C),Calgary Flames,82,25,34,59,0.72,46,2,https://www.eliteprospects.com/player/8986/daymond-langkow,2005-2006,nhl,Daymond Langkow,C,FW
Mathieu Schneider (D),Detroit Red Wings,72,21,38,59,0.82,86,33,https://www.eliteprospects.com/player/8875/mathieu-schneider,2005-2006,nhl,Mathieu Schneider,D,DEF
Pierre-Marc Bouchard (C),Minnesota Wild,80,17,42,59,0.74,28,3,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2005-2006,nhl,Pierre-Marc Bouchard,C,FW
Daniel Brière (C),Buffalo Sabres,48,25,33,58,1.21,48,3,https://www.eliteprospects.com/player/8770/daniel-briere,2005-2006,nhl,Daniel Brière,C,FW
Milan Hejduk (RW),Colorado Avalanche,74,24,34,58,0.78,24,13,https://www.eliteprospects.com/player/8603/milan-hejduk,2005-2006,nhl,Milan Hejduk,RW,FW
Jason Williams (RW/C),Detroit Red Wings,80,21,37,58,0.73,26,4,https://www.eliteprospects.com/player/8713/jason-williams,2005-2006,nhl,Jason Williams,RW/C,FW
Sergei Gonchar (D),Pittsburgh Penguins,75,12,46,58,0.77,100,-13,https://www.eliteprospects.com/player/8678/sergei-gonchar,2005-2006,nhl,Sergei Gonchar,D,DEF
