player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Connor McDavid (C/LW),Edmonton Oilers,80,44,79,123,1.54,45,28,https://www.eliteprospects.com/player/183442/connor-mcdavid,2021-2022,nhl,Connor McDavid,C/LW,FW
Johnny Gaudreau (LW),Calgary Flames,82,40,75,115,1.40,26,64,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2021-2022,nhl,Johnny Gaudreau,LW,FW
Jonathan Huberdeau (LW/RW),Florida Panthers,80,30,85,115,1.44,54,35,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2021-2022,nhl,Jonathan Huberdeau,LW/RW,FW
Leon Draisaitl (C/W),Edmonton Oilers,80,55,55,110,1.38,40,17,https://www.eliteprospects.com/player/71913/leon-draisaitl,2021-2022,nhl,Leon Draisaitl,C/W,FW
Kirill Kaprizov (LW),Minnesota Wild,81,47,61,108,1.33,34,27,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2021-2022,nhl,Kirill Kaprizov,LW,FW
Auston Matthews (C/LW),Toronto Maple Leafs,73,60,46,106,1.45,18,20,https://www.eliteprospects.com/player/199898/auston-matthews,2021-2022,nhl,Auston Matthews,C/LW,FW
Steven Stamkos (C/W),Tampa Bay Lightning,81,42,64,106,1.31,36,24,https://www.eliteprospects.com/player/11113/steven-stamkos,2021-2022,nhl,Steven Stamkos,C/W,FW
Matthew Tkachuk (LW/RW),Calgary Flames,82,42,62,104,1.27,68,57,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2021-2022,nhl,Matthew Tkachuk,LW/RW,FW
J.T. Miller (C/W),Vancouver Canucks,80,32,67,99,1.24,47,15,https://www.eliteprospects.com/player/38624/j.t.-miller,2021-2022,nhl,J.T. Miller,C/W,FW
Mitchell Marner (RW/C),Toronto Maple Leafs,72,35,62,97,1.35,16,23,https://www.eliteprospects.com/player/223194/mitchell-marner,2021-2022,nhl,Mitchell Marner,RW/C,FW
Roman Josi (D),Nashville Predators,80,23,73,96,1.20,46,13,https://www.eliteprospects.com/player/12668/roman-josi,2021-2022,nhl,Roman Josi,D,DEF
Artemi Panarin (LW),New York Rangers,75,22,74,96,1.28,18,21,https://www.eliteprospects.com/player/24664/artemi-panarin,2021-2022,nhl,Artemi Panarin,LW,FW
Kyle Connor (LW),Winnipeg Jets,79,47,46,93,1.18,4,-3,https://www.eliteprospects.com/player/177671/kyle-connor,2021-2022,nhl,Kyle Connor,LW,FW
Mikko Rantanen (W/C),Colorado Avalanche,75,36,56,92,1.23,56,35,https://www.eliteprospects.com/player/91186/mikko-rantanen,2021-2022,nhl,Mikko Rantanen,W/C,FW
Patrick Kane (RW/LW),Chicago Blackhawks,78,26,66,92,1.18,18,-19,https://www.eliteprospects.com/player/9326/patrick-kane,2021-2022,nhl,Patrick Kane,RW/LW,FW
Alexander Ovechkin (LW),Washington Capitals,77,50,40,90,1.17,18,8,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2021-2022,nhl,Alexander Ovechkin,LW,FW
Aleksander Barkov (C),Florida Panthers,67,39,49,88,1.31,18,36,https://www.eliteprospects.com/player/50044/aleksander-barkov,2021-2022,nhl,Aleksander Barkov,C,FW
Nathan MacKinnon (C/RW),Colorado Avalanche,65,32,56,88,1.35,42,22,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2021-2022,nhl,Nathan MacKinnon,C/RW,FW
Nazem Kadri (C/LW),Colorado Avalanche,71,28,59,87,1.23,71,13,https://www.eliteprospects.com/player/14728/nazem-kadri,2021-2022,nhl,Nazem Kadri,C/LW,FW
Matt Duchene (C/LW),Nashville Predators,78,43,43,86,1.10,38,6,https://www.eliteprospects.com/player/12571/matt-duchene,2021-2022,nhl,Matt Duchene,C/LW,FW
Cale Makar (D),Colorado Avalanche,77,28,58,86,1.12,26,48,https://www.eliteprospects.com/player/199655/cale-makar,2021-2022,nhl,Cale Makar,D,DEF
Kevin Fiala (W/C),Minnesota Wild,82,33,52,85,1.04,52,23,https://www.eliteprospects.com/player/87971/kevin-fiala,2021-2022,nhl,Kevin Fiala,W/C,FW
Victor Hedman (D),Tampa Bay Lightning,82,20,65,85,1.04,36,26,https://www.eliteprospects.com/player/6007/victor-hedman,2021-2022,nhl,Victor Hedman,D,DEF
Filip Forsberg (W/C),Nashville Predators,69,42,42,84,1.22,22,12,https://www.eliteprospects.com/player/29626/filip-forsberg,2021-2022,nhl,Filip Forsberg,W/C,FW
Jake Guentzel (LW),Pittsburgh Penguins,76,40,44,84,1.11,44,13,https://www.eliteprospects.com/player/199870/jake-guentzel,2021-2022,nhl,Jake Guentzel,LW,FW
Sidney Crosby (C),Pittsburgh Penguins,69,31,53,84,1.22,32,19,https://www.eliteprospects.com/player/6146/sidney-crosby,2021-2022,nhl,Sidney Crosby,C,FW
Elias Lindholm (C/RW),Calgary Flames,82,42,40,82,1.00,22,61,https://www.eliteprospects.com/player/33387/elias-lindholm,2021-2022,nhl,Elias Lindholm,C/RW,FW
Vladimir Tarasenko (RW/LW),St. Louis Blues,75,34,48,82,1.09,32,7,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2021-2022,nhl,Vladimir Tarasenko,RW/LW,FW
Sam Reinhart (C/RW),Florida Panthers,78,33,49,82,1.05,13,25,https://www.eliteprospects.com/player/95032/sam-reinhart,2021-2022,nhl,Sam Reinhart,C/RW,FW
Sebastian Aho (C/W),Carolina Hurricanes,79,37,44,81,1.03,38,18,https://www.eliteprospects.com/player/152111/sebastian-aho,2021-2022,nhl,Sebastian Aho,C/W,FW
Mika Zibanejad (C/RW),New York Rangers,81,29,52,81,1.00,12,30,https://www.eliteprospects.com/player/23856/mika-zibanejad,2021-2022,nhl,Mika Zibanejad,C/RW,FW
Joe Pavelski (C/RW),Dallas Stars,82,27,54,81,0.99,14,11,https://www.eliteprospects.com/player/10372/joe-pavelski,2021-2022,nhl,Joe Pavelski,C/RW,FW
William Nylander (W/C),Toronto Maple Leafs,81,34,46,80,0.99,16,-9,https://www.eliteprospects.com/player/38703/william-nylander,2021-2022,nhl,William Nylander,W/C,FW
Brad Marchand (W/C),Boston Bruins,70,32,48,80,1.14,97,16,https://www.eliteprospects.com/player/10439/brad-marchand,2021-2022,nhl,Brad Marchand,W/C,FW
Jason Robertson (LW/RW),Dallas Stars,74,41,38,79,1.07,22,16,https://www.eliteprospects.com/player/201455/jason-robertson,2021-2022,nhl,Jason Robertson,LW/RW,FW
Mats Zuccarello (RW/LW),Minnesota Wild,70,24,55,79,1.13,24,21,https://www.eliteprospects.com/player/10881/mats-zuccarello,2021-2022,nhl,Mats Zuccarello,RW/LW,FW
Alex DeBrincat (LW/RW),Chicago Blackhawks,82,41,37,78,0.95,19,-13,https://www.eliteprospects.com/player/231275/alex-debrincat,2021-2022,nhl,Alex DeBrincat,LW/RW,FW
Yevgeni Kuznetsov (C/RW),Washington Capitals,79,24,54,78,0.99,44,7,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2021-2022,nhl,Yevgeni Kuznetsov,C/RW,FW
Chris Kreider (LW/RW),New York Rangers,81,52,25,77,0.95,24,19,https://www.eliteprospects.com/player/37998/chris-kreider,2021-2022,nhl,Chris Kreider,LW/RW,FW
David Pastrnak (RW/LW),Boston Bruins,72,40,37,77,1.07,20,13,https://www.eliteprospects.com/player/130383/david-pastrnak,2021-2022,nhl,David Pastrnak,RW/LW,FW
Robert Thomas (C/RW),St. Louis Blues,72,20,57,77,1.07,16,17,https://www.eliteprospects.com/player/201681/robert-thomas,2021-2022,nhl,Robert Thomas,C/RW,FW
Timo Meier (RW/LW),San Jose Sharks,77,35,41,76,0.99,54,-3,https://www.eliteprospects.com/player/95921/timo-meier,2021-2022,nhl,Timo Meier,RW/LW,FW
Pavel Buchnevich (W/C),St. Louis Blues,73,30,46,76,1.04,34,29,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2021-2022,nhl,Pavel Buchnevich,W/C,FW
John Tavares (C/LW),Toronto Maple Leafs,79,27,49,76,0.96,32,-8,https://www.eliteprospects.com/player/9223/john-tavares,2021-2022,nhl,John Tavares,C/LW,FW
Jordan Kyrou (C/RW),St. Louis Blues,74,27,48,75,1.01,20,10,https://www.eliteprospects.com/player/269034/jordan-kyrou,2021-2022,nhl,Jordan Kyrou,C/RW,FW
Adam Fox (D),New York Rangers,78,11,63,74,0.95,26,18,https://www.eliteprospects.com/player/248380/adam-fox,2021-2022,nhl,Adam Fox,D,DEF
Jesper Bratt (LW/RW),New Jersey Devils,76,26,47,73,0.96,16,0,https://www.eliteprospects.com/player/117698/jesper-bratt,2021-2022,nhl,Jesper Bratt,LW/RW,FW
Roope Hintz (C/LW),Dallas Stars,80,37,35,72,0.90,28,15,https://www.eliteprospects.com/player/92117/roope-hintz,2021-2022,nhl,Roope Hintz,C/LW,FW
John Carlson (D),Washington Capitals,78,17,54,71,0.91,20,13,https://www.eliteprospects.com/player/18590/john-carlson,2021-2022,nhl,John Carlson,D,DEF
Mark Scheifele (C),Winnipeg Jets,67,29,41,70,1.04,23,-17,https://www.eliteprospects.com/player/75379/mark-scheifele,2021-2022,nhl,Mark Scheifele,C,FW
Dylan Larkin (C),Detroit Red Wings,71,31,38,69,0.97,47,-18,https://www.eliteprospects.com/player/177693/dylan-larkin,2021-2022,nhl,Dylan Larkin,C,FW
Andrei Svechnikov (RW/LW),Carolina Hurricanes,78,30,39,69,0.88,79,19,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2021-2022,nhl,Andrei Svechnikov,RW/LW,FW
Nikita Kucherov (RW),Tampa Bay Lightning,47,25,44,69,1.47,22,1,https://www.eliteprospects.com/player/77237/nikita-kucherov,2021-2022,nhl,Nikita Kucherov,RW,FW
Tage Thompson (C/W),Buffalo Sabres,78,38,30,68,0.87,37,-17,https://www.eliteprospects.com/player/301349/tage-thompson,2021-2022,nhl,Tage Thompson,C/W,FW
