player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Jamie Benn (LW/C),Dallas Stars,82,35,52,87,1.06,64,1,https://www.eliteprospects.com/player/15399/jamie-benn,2014-2015,nhl,Jamie Benn,LW/C,FW
John Tavares (C/LW),New York Islanders,82,38,48,86,1.05,46,5,https://www.eliteprospects.com/player/9223/john-tavares,2014-2015,nhl,John Tavares,C/LW,FW
Sidney Crosby (C),Pittsburgh Penguins,77,28,56,84,1.09,47,5,https://www.eliteprospects.com/player/6146/sidney-crosby,2014-2015,nhl,Sidney Crosby,C,FW
Alexander Ovechkin (LW),Washington Capitals,81,53,28,81,1.00,58,10,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2014-2015,nhl,Alexander Ovechkin,LW,FW
Jakub Voráček (RW),Philadelphia Flyers,82,22,59,81,0.99,78,1,https://www.eliteprospects.com/player/9285/jakub-voracek,2014-2015,nhl,Jakub Voráček,RW,FW
Nicklas Bäckström (C),Washington Capitals,82,18,60,78,0.95,40,5,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2014-2015,nhl,Nicklas Bäckström,C,FW
Tyler Seguin (C/RW),Dallas Stars,71,37,40,77,1.08,20,-1,https://www.eliteprospects.com/player/23807/tyler-seguin,2014-2015,nhl,Tyler Seguin,C/RW,FW
Jiri Hudler (W/C),Calgary Flames,78,31,45,76,0.97,14,17,https://www.eliteprospects.com/player/6665/jiri-hudler,2014-2015,nhl,Jiri Hudler,W/C,FW
Daniel Sedin (LW),Vancouver Canucks,82,20,56,76,0.93,18,5,https://www.eliteprospects.com/player/737/daniel-sedin,2014-2015,nhl,Daniel Sedin,LW,FW
Vladimir Tarasenko (RW/LW),St. Louis Blues,77,37,36,73,0.95,31,27,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2014-2015,nhl,Vladimir Tarasenko,RW/LW,FW
Nick Foligno (LW/RW),Columbus Blue Jackets,79,31,42,73,0.92,50,16,https://www.eliteprospects.com/player/10675/nick-foligno,2014-2015,nhl,Nick Foligno,LW/RW,FW
