player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Jaromír Jágr (RW),Pittsburgh Penguins,81,52,69,121,1.49,42,19,https://www.eliteprospects.com/player/8627/jaromir-jagr,2000-2001,nhl,Jaromír Jágr,RW,FW
Joe Sakic (C),Colorado Avalanche,82,54,64,118,1.44,30,45,https://www.eliteprospects.com/player/8862/joe-sakic,2000-2001,nhl,Joe Sakic,C,FW
Patrik Elias (LW),New Jersey Devils,82,40,56,96,1.17,51,45,https://www.eliteprospects.com/player/8698/patrik-elias,2000-2001,nhl,Patrik Elias,LW,FW
Alexei Kovalev (RW),Pittsburgh Penguins,79,44,51,95,1.20,96,12,https://www.eliteprospects.com/player/8670/alexei-kovalev,2000-2001,nhl,Alexei Kovalev,RW,FW
Jason Allison (C/RW),Boston Bruins,82,36,59,95,1.16,85,-8,https://www.eliteprospects.com/player/9064/jason-allison,2000-2001,nhl,Jason Allison,C/RW,FW
Martin Straka (C),Pittsburgh Penguins,82,27,68,95,1.16,38,19,https://www.eliteprospects.com/player/8689/martin-straka,2000-2001,nhl,Martin Straka,C,FW
Pavel Bure (RW),Florida Panthers,82,59,33,92,1.12,58,-2,https://www.eliteprospects.com/player/16140/pavel-bure,2000-2001,nhl,Pavel Bure,RW,FW
Doug Weight (C),Edmonton Oilers,82,25,65,90,1.10,91,12,https://www.eliteprospects.com/player/8733/doug-weight,2000-2001,nhl,Doug Weight,C,FW
Zigmund Pálffy (RW),Los Angeles Kings,73,38,51,89,1.22,20,22,https://www.eliteprospects.com/player/12627/zigmund-palffy,2000-2001,nhl,Zigmund Pálffy,RW,FW
Peter Forsberg (C),Colorado Avalanche,73,27,62,89,1.22,54,23,https://www.eliteprospects.com/player/710/peter-forsberg,2000-2001,nhl,Peter Forsberg,C,FW
Alexei Yashin (C/W),Ottawa Senators,82,40,48,88,1.07,30,10,https://www.eliteprospects.com/player/8695/alexei-yashin,2000-2001,nhl,Alexei Yashin,C/W,FW
Luc Robitaille (LW),Los Angeles Kings,82,37,51,88,1.07,66,10,https://www.eliteprospects.com/player/21334/luc-robitaille,2000-2001,nhl,Luc Robitaille,LW,FW
Bill Guerin (RW),totals,85,40,45,85,1.00,140,7,https://www.eliteprospects.com/player/9053/bill-guerin,2000-2001,nhl,Bill Guerin,RW,FW
Mike Modano (C),Dallas Stars,81,33,51,84,1.04,52,26,https://www.eliteprospects.com/player/8965/mike-modano,2000-2001,nhl,Mike Modano,C,FW
Alexander Mogilny (RW),New Jersey Devils,75,43,40,83,1.11,43,10,https://www.eliteprospects.com/player/21327/alexander-mogilny,2000-2001,nhl,Alexander Mogilny,RW,FW
Pierre Turgeon (C),St. Louis Blues,79,30,52,82,1.04,37,14,https://www.eliteprospects.com/player/8860/pierre-turgeon,2000-2001,nhl,Pierre Turgeon,C,FW
Adam Oates (C),Washington Capitals,81,13,69,82,1.01,28,9,https://www.eliteprospects.com/player/21367/adam-oates,2000-2001,nhl,Adam Oates,C,FW
