player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Patrick Kane (RW/LW),Chicago Blackhawks,82,46,60,106,1.29,30,17,https://www.eliteprospects.com/player/9326/patrick-kane,2015-2016,nhl,Patrick Kane,RW/LW,FW
Jamie Benn (LW/C),Dallas Stars,82,41,48,89,1.09,64,7,https://www.eliteprospects.com/player/15399/jamie-benn,2015-2016,nhl,Jamie Benn,LW/C,FW
Sidney Crosby (C),Pittsburgh Penguins,80,36,49,85,1.06,42,19,https://www.eliteprospects.com/player/6146/sidney-crosby,2015-2016,nhl,Sidney Crosby,C,FW
Joe Thornton (C),San Jose Sharks,82,19,63,82,1.00,54,25,https://www.eliteprospects.com/player/3670/joe-thornton,2015-2016,nhl,Joe Thornton,C,FW
Erik Karlsson (D),Ottawa Senators,82,16,66,82,1.00,50,-2,https://www.eliteprospects.com/player/9878/erik-karlsson,2015-2016,nhl,Erik Karlsson,D,DEF
Joe Pavelski (C/RW),San Jose Sharks,82,38,40,78,0.95,30,25,https://www.eliteprospects.com/player/10372/joe-pavelski,2015-2016,nhl,Joe Pavelski,C/RW,FW
Johnny Gaudreau (LW),Calgary Flames,79,30,48,78,0.99,20,4,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2015-2016,nhl,Johnny Gaudreau,LW,FW
Blake Wheeler (RW/C),Winnipeg Jets,82,26,52,78,0.95,49,8,https://www.eliteprospects.com/player/9215/blake-wheeler,2015-2016,nhl,Blake Wheeler,RW/C,FW
Artemi Panarin (LW),Chicago Blackhawks,80,30,47,77,0.96,32,8,https://www.eliteprospects.com/player/24664/artemi-panarin,2015-2016,nhl,Artemi Panarin,LW,FW
Yevgeni Kuznetsov (C/RW),Washington Capitals,82,20,57,77,0.94,32,27,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2015-2016,nhl,Yevgeni Kuznetsov,C/RW,FW
Brent Burns (D),San Jose Sharks,82,27,48,75,0.91,53,-5,https://www.eliteprospects.com/player/9103/brent-burns,2015-2016,nhl,Brent Burns,D,DEF
Vladimir Tarasenko (RW/LW),St. Louis Blues,80,40,34,74,0.93,37,7,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2015-2016,nhl,Vladimir Tarasenko,RW/LW,FW
Anze Kopitar (C),Los Angeles Kings,81,25,49,74,0.91,16,34,https://www.eliteprospects.com/player/4233/anze-kopitar,2015-2016,nhl,Anze Kopitar,C,FW
Tyler Seguin (C/RW),Dallas Stars,72,33,40,73,1.01,16,2,https://www.eliteprospects.com/player/23807/tyler-seguin,2015-2016,nhl,Tyler Seguin,C/RW,FW
Alexander Ovechkin (LW),Washington Capitals,79,50,21,71,0.90,53,21,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2015-2016,nhl,Alexander Ovechkin,LW,FW
John Tavares (C/LW),New York Islanders,78,33,37,70,0.90,38,6,https://www.eliteprospects.com/player/9223/john-tavares,2015-2016,nhl,John Tavares,C/LW,FW
Nicklas Bäckström (C),Washington Capitals,75,20,50,70,0.93,36,17,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2015-2016,nhl,Nicklas Bäckström,C,FW
Patrice Bergeron (C),Boston Bruins,80,32,36,68,0.85,49,12,https://www.eliteprospects.com/player/9079/patrice-bergeron,2015-2016,nhl,Patrice Bergeron,C,FW
Claude Giroux (W/C),Philadelphia Flyers,78,22,45,67,0.86,53,-8,https://www.eliteprospects.com/player/10437/claude-giroux,2015-2016,nhl,Claude Giroux,W/C,FW
Kris Letang (D),Pittsburgh Penguins,71,16,51,67,0.94,66,9,https://www.eliteprospects.com/player/9189/kris-letang,2015-2016,nhl,Kris Letang,D,DEF
Nikita Kucherov (RW),Tampa Bay Lightning,77,30,36,66,0.86,30,9,https://www.eliteprospects.com/player/77237/nikita-kucherov,2015-2016,nhl,Nikita Kucherov,RW,FW
Jaromír Jágr (RW),Florida Panthers,79,27,39,66,0.84,48,23,https://www.eliteprospects.com/player/8627/jaromir-jagr,2015-2016,nhl,Jaromír Jágr,RW,FW
Taylor Hall (LW/C),Edmonton Oilers,82,26,39,65,0.79,54,-4,https://www.eliteprospects.com/player/14360/taylor-hall,2015-2016,nhl,Taylor Hall,LW/C,FW
Steven Stamkos (C/W),Tampa Bay Lightning,77,36,28,64,0.83,38,3,https://www.eliteprospects.com/player/11113/steven-stamkos,2015-2016,nhl,Steven Stamkos,C/W,FW
Filip Forsberg (W/C),Nashville Predators,82,33,31,64,0.78,47,1,https://www.eliteprospects.com/player/29626/filip-forsberg,2015-2016,nhl,Filip Forsberg,W/C,FW
Max Pacioretty (LW),Montréal Canadiens,82,30,34,64,0.78,34,-10,https://www.eliteprospects.com/player/12461/max-pacioretty,2015-2016,nhl,Max Pacioretty,LW,FW
Kyle Okposo (RW/C),New York Islanders,79,22,42,64,0.81,51,-4,https://www.eliteprospects.com/player/10458/kyle-okposo,2015-2016,nhl,Kyle Okposo,RW/C,FW
Jason Spezza (C),Dallas Stars,75,33,30,63,0.84,22,4,https://www.eliteprospects.com/player/3661/jason-spezza,2015-2016,nhl,Jason Spezza,C,FW
Loui Eriksson (LW),Boston Bruins,82,30,33,63,0.77,12,13,https://www.eliteprospects.com/player/683/loui-eriksson,2015-2016,nhl,Loui Eriksson,LW,FW
Sean Monahan (C),Calgary Flames,81,27,36,63,0.78,18,-6,https://www.eliteprospects.com/player/85013/sean-monahan,2015-2016,nhl,Sean Monahan,C,FW
David Krejčí (C),Boston Bruins,72,17,46,63,0.88,32,4,https://www.eliteprospects.com/player/9226/david-krejci,2015-2016,nhl,David Krejčí,C,FW
Ryan Getzlaf (C),Anaheim Ducks,77,13,50,63,0.82,55,14,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2015-2016,nhl,Ryan Getzlaf,C,FW
Corey Perry (RW/LW),Anaheim Ducks,82,34,28,62,0.76,68,2,https://www.eliteprospects.com/player/8541/corey-perry,2015-2016,nhl,Corey Perry,RW/LW,FW
Jeff Carter (C),Los Angeles Kings,77,24,38,62,0.81,20,18,https://www.eliteprospects.com/player/8813/jeff-carter,2015-2016,nhl,Jeff Carter,C,FW
Brad Marchand (W/C),Boston Bruins,77,37,24,61,0.79,90,21,https://www.eliteprospects.com/player/10439/brad-marchand,2015-2016,nhl,Brad Marchand,W/C,FW
Mark Scheifele (C),Winnipeg Jets,71,29,32,61,0.86,48,16,https://www.eliteprospects.com/player/75379/mark-scheifele,2015-2016,nhl,Mark Scheifele,C,FW
Daniel Sedin (LW),Vancouver Canucks,82,28,33,61,0.74,36,7,https://www.eliteprospects.com/player/737/daniel-sedin,2015-2016,nhl,Daniel Sedin,LW,FW
Mats Zuccarello (RW/LW),New York Rangers,81,26,35,61,0.75,34,2,https://www.eliteprospects.com/player/10881/mats-zuccarello,2015-2016,nhl,Mats Zuccarello,RW/LW,FW
Mark Stone (RW),Ottawa Senators,75,23,38,61,0.81,38,-4,https://www.eliteprospects.com/player/32806/mark-stone,2015-2016,nhl,Mark Stone,RW,FW
Roman Josi (D),Nashville Predators,81,14,47,61,0.75,43,-3,https://www.eliteprospects.com/player/12668/roman-josi,2015-2016,nhl,Roman Josi,D,DEF
Wayne Simmonds (RW),Philadelphia Flyers,81,32,28,60,0.74,147,-7,https://www.eliteprospects.com/player/12517/wayne-simmonds,2015-2016,nhl,Wayne Simmonds,RW,FW
Ryan O'Reilly (C),Buffalo Sabres,71,21,39,60,0.85,8,-16,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2015-2016,nhl,Ryan O'Reilly,C,FW
Jussi Jokinen (W/C),Florida Panthers,81,18,42,60,0.74,42,25,https://www.eliteprospects.com/player/2716/jussi-jokinen,2015-2016,nhl,Jussi Jokinen,W/C,FW
Ryan Johansen (C),totals,80,14,46,60,0.75,61,6,https://www.eliteprospects.com/player/45512/ryan-johansen,2015-2016,nhl,Ryan Johansen,C,FW
Matt Duchene (C/LW),Colorado Avalanche,76,30,29,59,0.78,24,-8,https://www.eliteprospects.com/player/12571/matt-duchene,2015-2016,nhl,Matt Duchene,C/LW,FW
Mike Hoffman (LW/C),Ottawa Senators,78,29,30,59,0.76,18,1,https://www.eliteprospects.com/player/18800/mike-hoffman,2015-2016,nhl,Mike Hoffman,LW/C,FW
Aleksander Barkov (C),Florida Panthers,66,28,31,59,0.89,8,18,https://www.eliteprospects.com/player/50044/aleksander-barkov,2015-2016,nhl,Aleksander Barkov,C,FW
Brayden Schenn (C/W),Philadelphia Flyers,80,26,33,59,0.74,33,3,https://www.eliteprospects.com/player/14739/brayden-schenn,2015-2016,nhl,Brayden Schenn,C/W,FW
Phil Kessel (RW),Pittsburgh Penguins,82,26,33,59,0.72,18,9,https://www.eliteprospects.com/player/8793/phil-kessel,2015-2016,nhl,Phil Kessel,RW,FW
Jonathan Huberdeau (LW/RW),Florida Panthers,76,20,39,59,0.78,43,17,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2015-2016,nhl,Jonathan Huberdeau,LW/RW,FW
Tyler Toffoli (C/W),Los Angeles Kings,82,31,27,58,0.71,20,35,https://www.eliteprospects.com/player/23813/tyler-toffoli,2015-2016,nhl,Tyler Toffoli,C/W,FW
James Neal (LW/RW),Nashville Predators,82,31,27,58,0.71,65,27,https://www.eliteprospects.com/player/9362/james-neal,2015-2016,nhl,James Neal,LW/RW,FW
Jonathan Toews (C),Chicago Blackhawks,80,28,30,58,0.73,62,16,https://www.eliteprospects.com/player/8792/jonathan-toews,2015-2016,nhl,Jonathan Toews,C,FW
Yevgeni Malkin (C),Pittsburgh Penguins,57,27,31,58,1.02,65,1,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2015-2016,nhl,Yevgeni Malkin,C,FW
Derick Brassard (C/LW),New York Rangers,80,27,31,58,0.73,30,12,https://www.eliteprospects.com/player/9366/derick-brassard,2015-2016,nhl,Derick Brassard,C/LW,FW
John Klingberg (D),Dallas Stars,76,10,48,58,0.76,30,22,https://www.eliteprospects.com/player/21717/john-klingberg,2015-2016,nhl,John Klingberg,D,DEF
Kyle Palmieri (RW),New Jersey Devils,82,30,27,57,0.70,39,3,https://www.eliteprospects.com/player/17508/kyle-palmieri,2015-2016,nhl,Kyle Palmieri,RW,FW
Alexander Galchenyuk (C/RW),Montréal Canadiens,82,30,26,56,0.68,20,-8,https://www.eliteprospects.com/player/74611/alexander-galchenyuk,2015-2016,nhl,Alexander Galchenyuk,C/RW,FW
Jack Eichel (C),Buffalo Sabres,81,24,32,56,0.69,22,-16,https://www.eliteprospects.com/player/191959/jack-eichel,2015-2016,nhl,Jack Eichel,C,FW
Bobby Ryan (RW/LW),Ottawa Senators,81,22,34,56,0.69,28,-9,https://www.eliteprospects.com/player/9210/bobby-ryan,2015-2016,nhl,Bobby Ryan,RW/LW,FW
Mark Giordano (D),Calgary Flames,82,21,35,56,0.68,54,-5,https://www.eliteprospects.com/player/9161/mark-giordano,2015-2016,nhl,Mark Giordano,D,DEF
Mikko Koivu (C),Minnesota Wild,82,17,39,56,0.68,40,6,https://www.eliteprospects.com/player/2696/mikko-koivu,2015-2016,nhl,Mikko Koivu,C,FW
Oliver Ekman Larsson (D),Arizona Coyotes,75,21,34,55,0.73,96,-6,https://www.eliteprospects.com/player/7693/oliver-ekman-larsson,2015-2016,nhl,Oliver Ekman Larsson,D,DEF
Patrick Sharp (LW/RW),Dallas Stars,76,20,35,55,0.72,27,-3,https://www.eliteprospects.com/player/8880/patrick-sharp,2015-2016,nhl,Patrick Sharp,LW/RW,FW
Milan Lucic (LW),Los Angeles Kings,81,20,35,55,0.68,79,26,https://www.eliteprospects.com/player/11104/milan-lucic,2015-2016,nhl,Milan Lucic,LW,FW
Jakub Voráček (RW),Philadelphia Flyers,73,11,44,55,0.75,38,-5,https://www.eliteprospects.com/player/9285/jakub-voracek,2015-2016,nhl,Jakub Voráček,RW,FW
Henrik Sedin (C),Vancouver Canucks,74,11,44,55,0.74,24,0,https://www.eliteprospects.com/player/738/henrik-sedin,2015-2016,nhl,Henrik Sedin,C,FW
Tomas Plekanec (C),Montréal Canadiens,82,14,40,54,0.66,36,4,https://www.eliteprospects.com/player/8668/tomas-plekanec,2015-2016,nhl,Tomas Plekanec,C,FW
Brandon Saad (LW/RW),Columbus Blue Jackets,78,31,22,53,0.68,14,1,https://www.eliteprospects.com/player/31264/brandon-saad,2015-2016,nhl,Brandon Saad,LW/RW,FW
Cam Atkinson (RW/LW),Columbus Blue Jackets,81,27,26,53,0.65,22,-8,https://www.eliteprospects.com/player/19166/cam-atkinson,2015-2016,nhl,Cam Atkinson,RW/LW,FW
Zach Parise (LW/RW),Minnesota Wild,70,25,28,53,0.76,36,-3,https://www.eliteprospects.com/player/8903/zach-parise,2015-2016,nhl,Zach Parise,LW/RW,FW
Vincent Trocheck (C),Florida Panthers,76,25,28,53,0.70,44,15,https://www.eliteprospects.com/player/45560/vincent-trocheck,2015-2016,nhl,Vincent Trocheck,C,FW
Derek Stepan (C),New York Rangers,72,22,31,53,0.74,20,5,https://www.eliteprospects.com/player/19040/derek-stepan,2015-2016,nhl,Derek Stepan,C,FW
Ryan Kesler (C),Anaheim Ducks,79,21,32,53,0.67,78,5,https://www.eliteprospects.com/player/9014/ryan-kesler,2015-2016,nhl,Ryan Kesler,C,FW
Gabriel Landeskog (LW/RW),Colorado Avalanche,75,20,33,53,0.71,69,-5,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2015-2016,nhl,Gabriel Landeskog,LW/RW,FW
Dustin Byfuglien (D),Winnipeg Jets,81,19,34,53,0.65,119,4,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2015-2016,nhl,Dustin Byfuglien,D,DEF
Justin Williams (RW),Washington Capitals,82,22,30,52,0.63,36,15,https://www.eliteprospects.com/player/4506/justin-williams,2015-2016,nhl,Justin Williams,RW,FW
Nathan MacKinnon (C/RW),Colorado Avalanche,72,21,31,52,0.72,20,-4,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2015-2016,nhl,Nathan MacKinnon,C/RW,FW
Frans Nielsen (C),New York Islanders,81,20,32,52,0.64,12,1,https://www.eliteprospects.com/player/210/frans-nielsen,2015-2016,nhl,Frans Nielsen,C,FW
Max Domi (C/W),Arizona Coyotes,81,18,34,52,0.64,72,3,https://www.eliteprospects.com/player/95484/max-domi,2015-2016,nhl,Max Domi,C/W,FW
Alexander Steen (C),St. Louis Blues,67,17,35,52,0.78,48,3,https://www.eliteprospects.com/player/460/alexander-steen,2015-2016,nhl,Alexander Steen,C,FW
Jeff Skinner (C/LW),Carolina Hurricanes,82,28,23,51,0.62,38,-2,https://www.eliteprospects.com/player/23668/jeff-skinner,2015-2016,nhl,Jeff Skinner,C/LW,FW
T.J. Oshie (RW),Washington Capitals,80,26,25,51,0.64,34,16,https://www.eliteprospects.com/player/9209/t.j.-oshie,2015-2016,nhl,T.J. Oshie,RW,FW
Patric Hörnqvist (RW),Pittsburgh Penguins,82,22,29,51,0.62,36,15,https://www.eliteprospects.com/player/3683/patric-hornqvist,2015-2016,nhl,Patric Hörnqvist,RW,FW
Mika Zibanejad (C/RW),Ottawa Senators,81,21,30,51,0.63,18,-2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2015-2016,nhl,Mika Zibanejad,C/RW,FW
Shea Weber (D),Nashville Predators,78,20,31,51,0.65,27,-7,https://www.eliteprospects.com/player/9505/shea-weber,2015-2016,nhl,Shea Weber,D,DEF
Leon Draisaitl (C/W),Edmonton Oilers,72,19,32,51,0.71,20,-2,https://www.eliteprospects.com/player/71913/leon-draisaitl,2015-2016,nhl,Leon Draisaitl,C/W,FW
Lee Stempniak (RW),totals,82,19,32,51,0.62,38,4,https://www.eliteprospects.com/player/10199/lee-stempniak,2015-2016,nhl,Lee Stempniak,RW,FW
