player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Yevgeni Malkin (C),Pittsburgh Penguins,75,50,59,109,1.45,70,18,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2011-2012,nhl,Yevgeni Malkin,C,FW
Steven Stamkos (C/W),Tampa Bay Lightning,82,60,37,97,1.18,66,7,https://www.eliteprospects.com/player/11113/steven-stamkos,2011-2012,nhl,Steven Stamkos,C/W,FW
Claude Giroux (W/C),Philadelphia Flyers,77,28,65,93,1.21,29,6,https://www.eliteprospects.com/player/10437/claude-giroux,2011-2012,nhl,Claude Giroux,W/C,FW
Jason Spezza (C),Ottawa Senators,80,34,50,84,1.05,36,11,https://www.eliteprospects.com/player/3661/jason-spezza,2011-2012,nhl,Jason Spezza,C,FW
Ilya Kovalchuk (LW),New Jersey Devils,77,37,46,83,1.08,33,-9,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2011-2012,nhl,Ilya Kovalchuk,LW,FW
Phil Kessel (RW),Toronto Maple Leafs,82,37,45,82,1,20,-10,https://www.eliteprospects.com/player/8793/phil-kessel,2011-2012,nhl,Phil Kessel,RW,FW
James Neal (LW/RW),Pittsburgh Penguins,80,40,41,81,1.01,87,6,https://www.eliteprospects.com/player/9362/james-neal,2011-2012,nhl,James Neal,LW/RW,FW
John Tavares (C/LW),New York Islanders,82,31,50,81,0.99,26,-6,https://www.eliteprospects.com/player/9223/john-tavares,2011-2012,nhl,John Tavares,C/LW,FW
Henrik Sedin (C),Vancouver Canucks,82,14,67,81,0.99,52,23,https://www.eliteprospects.com/player/738/henrik-sedin,2011-2012,nhl,Henrik Sedin,C,FW
Patrik Elias (LW),New Jersey Devils,81,26,52,78,0.96,16,-8,https://www.eliteprospects.com/player/8698/patrik-elias,2011-2012,nhl,Patrik Elias,LW,FW
Erik Karlsson (D),Ottawa Senators,81,19,59,78,0.96,42,16,https://www.eliteprospects.com/player/9878/erik-karlsson,2011-2012,nhl,Erik Karlsson,D,DEF
Marián Hossa (RW),Chicago Blackhawks,81,29,48,77,0.95,20,18,https://www.eliteprospects.com/player/4720/marian-hossa,2011-2012,nhl,Marián Hossa,RW,FW
Ray Whitney (LW/RW),Phoenix Coyotes,82,24,53,77,0.94,28,26,https://www.eliteprospects.com/player/8824/ray-whitney,2011-2012,nhl,Ray Whitney,LW/RW,FW
Joe Thornton (C),San Jose Sharks,82,18,59,77,0.94,31,17,https://www.eliteprospects.com/player/3670/joe-thornton,2011-2012,nhl,Joe Thornton,C,FW
Marián Gáborík (RW),New York Rangers,82,41,35,76,0.93,34,15,https://www.eliteprospects.com/player/3665/marian-gaborik,2011-2012,nhl,Marián Gáborík,RW,FW
Jordan Eberle (RW/C),Edmonton Oilers,78,34,42,76,0.97,10,4,https://www.eliteprospects.com/player/11098/jordan-eberle,2011-2012,nhl,Jordan Eberle,RW/C,FW
Anze Kopitar (C),Los Angeles Kings,82,25,51,76,0.93,20,12,https://www.eliteprospects.com/player/4233/anze-kopitar,2011-2012,nhl,Anze Kopitar,C,FW
Martin St-Louis (RW),Tampa Bay Lightning,77,25,49,74,0.96,16,-3,https://www.eliteprospects.com/player/8772/martin-st-louis,2011-2012,nhl,Martin St-Louis,RW,FW
Jason Pominville (RW),Buffalo Sabres,82,30,43,73,0.89,12,-7,https://www.eliteprospects.com/player/8809/jason-pominville,2011-2012,nhl,Jason Pominville,RW,FW
Loui Eriksson (LW),Dallas Stars,82,26,45,71,0.87,12,18,https://www.eliteprospects.com/player/683/loui-eriksson,2011-2012,nhl,Loui Eriksson,LW,FW
Eric Staal (C),Carolina Hurricanes,82,24,46,70,0.85,48,-20,https://www.eliteprospects.com/player/3656/eric-staal,2011-2012,nhl,Eric Staal,C,FW
Matt Moulson (LW/RW),New York Islanders,82,36,33,69,0.84,6,1,https://www.eliteprospects.com/player/9744/matt-moulson,2011-2012,nhl,Matt Moulson,LW/RW,FW
Patrick Sharp (LW/RW),Chicago Blackhawks,74,33,36,69,0.93,38,28,https://www.eliteprospects.com/player/8880/patrick-sharp,2011-2012,nhl,Patrick Sharp,LW/RW,FW
Zach Parise (LW/RW),New Jersey Devils,82,31,38,69,0.84,32,-5,https://www.eliteprospects.com/player/8903/zach-parise,2011-2012,nhl,Zach Parise,LW/RW,FW
Henrik Zetterberg (C),Detroit Red Wings,82,22,47,69,0.84,47,14,https://www.eliteprospects.com/player/285/henrik-zetterberg,2011-2012,nhl,Henrik Zetterberg,C,FW
Scott Hartnell (LW),Philadelphia Flyers,82,37,30,67,0.82,136,19,https://www.eliteprospects.com/player/8764/scott-hartnell,2011-2012,nhl,Scott Hartnell,LW,FW
Jarome Iginla (RW),Calgary Flames,82,32,35,67,0.82,43,-10,https://www.eliteprospects.com/player/9036/jarome-iginla,2011-2012,nhl,Jarome Iginla,RW,FW
Daniel Sedin (LW),Vancouver Canucks,72,30,37,67,0.93,40,14,https://www.eliteprospects.com/player/737/daniel-sedin,2011-2012,nhl,Daniel Sedin,LW,FW
Tyler Seguin (C/RW),Boston Bruins,81,29,38,67,0.83,30,34,https://www.eliteprospects.com/player/23807/tyler-seguin,2011-2012,nhl,Tyler Seguin,C/RW,FW
Joffrey Lupul (RW),Toronto Maple Leafs,66,25,42,67,1.02,48,1,https://www.eliteprospects.com/player/9001/joffrey-lupul,2011-2012,nhl,Joffrey Lupul,RW,FW
Pavel Datsyuk (C),Detroit Red Wings,70,19,48,67,0.96,14,21,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2011-2012,nhl,Pavel Datsyuk,C,FW
Pierre-Alexandre Parenteau (RW),New York Islanders,80,18,49,67,0.84,89,-8,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2011-2012,nhl,Pierre-Alexandre Parenteau,RW,FW
Teemu Selänne (RW),Anaheim Ducks,82,26,40,66,0.8,50,-1,https://www.eliteprospects.com/player/2683/teemu-selanne,2011-2012,nhl,Teemu Selänne,RW,FW
Brad Richards (C),New York Rangers,82,25,41,66,0.8,22,-1,https://www.eliteprospects.com/player/4723/brad-richards,2011-2012,nhl,Brad Richards,C,FW
