player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Jarome Iginla (RW),Calgary Flames,82,52,44,96,1.17,77,27,https://www.eliteprospects.com/player/9036/jarome-iginla,2001-2002,nhl,Jarome Iginla,RW,FW
Markus Näslund (LW),Vancouver Canucks,81,40,50,90,1.11,50,22,https://www.eliteprospects.com/player/697/markus-naslund,2001-2002,nhl,Markus Näslund,LW,FW
Todd Bertuzzi (RW/LW),Vancouver Canucks,72,36,49,85,1.18,110,21,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2001-2002,nhl,Todd Bertuzzi,RW/LW,FW
Mats Sundin (C),Toronto Maple Leafs,82,41,39,80,0.98,94,6,https://www.eliteprospects.com/player/467/mats-sundin,2001-2002,nhl,Mats Sundin,C,FW
Jaromír Jágr (RW),Washington Capitals,69,31,48,79,1.14,30,0,https://www.eliteprospects.com/player/8627/jaromir-jagr,2001-2002,nhl,Jaromír Jágr,RW,FW
Joe Sakic (C),Colorado Avalanche,82,26,53,79,0.96,18,12,https://www.eliteprospects.com/player/8862/joe-sakic,2001-2002,nhl,Joe Sakic,C,FW
Pavol Demitra (C),St. Louis Blues,82,35,43,78,0.95,46,13,https://www.eliteprospects.com/player/8596/pavol-demitra,2001-2002,nhl,Pavol Demitra,C,FW
Adam Oates (C),totals,80,14,64,78,0.98,28,-4,https://www.eliteprospects.com/player/21367/adam-oates,2001-2002,nhl,Adam Oates,C,FW
Mike Modano (C),Dallas Stars,78,34,43,77,0.99,38,14,https://www.eliteprospects.com/player/8965/mike-modano,2001-2002,nhl,Mike Modano,C,FW
Ron Francis (C),Carolina Hurricanes,80,27,50,77,0.96,18,4,https://www.eliteprospects.com/player/21347/ron-francis,2001-2002,nhl,Ron Francis,C,FW
Alexei Kovalev (RW),Pittsburgh Penguins,67,32,44,76,1.13,80,2,https://www.eliteprospects.com/player/8670/alexei-kovalev,2001-2002,nhl,Alexei Kovalev,RW,FW
Keith Tkachuk (LW),St. Louis Blues,73,38,37,75,1.03,117,21,https://www.eliteprospects.com/player/8856/keith-tkachuk,2001-2002,nhl,Keith Tkachuk,LW,FW
Brendan Shanahan (LW),Detroit Red Wings,80,37,38,75,0.94,118,23,https://www.eliteprospects.com/player/8693/brendan-shanahan,2001-2002,nhl,Brendan Shanahan,LW,FW
Alexei Yashin (C/W),New York Islanders,78,32,43,75,0.96,25,-3,https://www.eliteprospects.com/player/8695/alexei-yashin,2001-2002,nhl,Alexei Yashin,C/W,FW
Craig Conroy (C),Calgary Flames,81,27,48,75,0.93,32,24,https://www.eliteprospects.com/player/9121/craig-conroy,2001-2002,nhl,Craig Conroy,C,FW
Jason Allison (C/RW),Los Angeles Kings,73,19,55,74,1.01,68,2,https://www.eliteprospects.com/player/9064/jason-allison,2001-2002,nhl,Jason Allison,C/RW,FW
Eric Lindros (C),New York Rangers,72,37,36,73,1.01,138,19,https://www.eliteprospects.com/player/8998/eric-lindros,2001-2002,nhl,Eric Lindros,C,FW
Miroslav Satan (RW),Buffalo Sabres,82,37,36,73,0.89,33,14,https://www.eliteprospects.com/player/666/miroslav-satan,2001-2002,nhl,Miroslav Satan,RW,FW
Glen Murray (RW),totals,82,41,30,71,0.87,40,31,https://www.eliteprospects.com/player/8576/glen-murray,2001-2002,nhl,Glen Murray,RW,FW
Daniel Alfredsson (RW),Ottawa Senators,78,37,34,71,0.91,45,3,https://www.eliteprospects.com/player/702/daniel-alfredsson,2001-2002,nhl,Daniel Alfredsson,RW,FW
Peter Bondra (RW),Washington Capitals,77,39,31,70,0.91,80,-2,https://www.eliteprospects.com/player/8553/peter-bondra,2001-2002,nhl,Peter Bondra,RW,FW
Éric Dazé (LW),Chicago Blackhawks,82,38,32,70,0.85,36,17,https://www.eliteprospects.com/player/9131/eric-daze,2001-2002,nhl,Éric Dazé,LW,FW
Sergei Samsonov (LW),Boston Bruins,74,29,41,70,0.95,27,21,https://www.eliteprospects.com/player/8667/sergei-samsonov,2001-2002,nhl,Sergei Samsonov,LW,FW
Radek Bonk (C),Ottawa Senators,82,25,45,70,0.85,52,3,https://www.eliteprospects.com/player/8671/radek-bonk,2001-2002,nhl,Radek Bonk,C,FW
Pavel Bure (RW),totals,68,34,35,69,1.01,62,-5,https://www.eliteprospects.com/player/16140/pavel-bure,2001-2002,nhl,Pavel Bure,RW,FW
Sami Kapanen (LW),Carolina Hurricanes,77,27,42,69,0.9,23,9,https://www.eliteprospects.com/player/2657/sami-kapanen,2001-2002,nhl,Sami Kapanen,LW,FW
Andrew Brunette (LW),Minnesota Wild,81,21,48,69,0.85,18,-4,https://www.eliteprospects.com/player/9101/andrew-brunette,2001-2002,nhl,Andrew Brunette,LW,FW
