player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Martin St-Louis (RW),Tampa Bay Lightning,82,38,56,94,1.15,24,35,https://www.eliteprospects.com/player/8772/martin-st-louis,2003-2004,nhl,Martin St-Louis,RW,FW
Ilya Kovalchuk (LW),Atlanta Thrashers,81,41,46,87,1.07,63,-10,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2003-2004,nhl,Ilya Kovalchuk,LW,FW
Joe Sakic (C),Colorado Avalanche,81,33,54,87,1.07,42,11,https://www.eliteprospects.com/player/8862/joe-sakic,2003-2004,nhl,Joe Sakic,C,FW
Markus Näslund (LW),Vancouver Canucks,78,35,49,84,1.08,58,24,https://www.eliteprospects.com/player/697/markus-naslund,2003-2004,nhl,Markus Näslund,LW,FW
Marián Hossa (RW),Ottawa Senators,81,36,46,82,1.01,46,4,https://www.eliteprospects.com/player/4720/marian-hossa,2003-2004,nhl,Marián Hossa,RW,FW
Patrik Elias (LW),New Jersey Devils,82,38,43,81,0.99,44,26,https://www.eliteprospects.com/player/8698/patrik-elias,2003-2004,nhl,Patrik Elias,LW,FW
Daniel Alfredsson (RW),Ottawa Senators,77,32,48,80,1.04,24,12,https://www.eliteprospects.com/player/702/daniel-alfredsson,2003-2004,nhl,Daniel Alfredsson,RW,FW
Cory Stillman (LW),Tampa Bay Lightning,81,25,55,80,0.99,36,18,https://www.eliteprospects.com/player/8894/cory-stillman,2003-2004,nhl,Cory Stillman,LW,FW
Robert Lang (C),totals,69,30,49,79,1.14,26,4,https://www.eliteprospects.com/player/8617/robert-lang,2003-2004,nhl,Robert Lang,C,FW
Brad Richards (C),Tampa Bay Lightning,82,26,53,79,0.96,12,14,https://www.eliteprospects.com/player/4723/brad-richards,2003-2004,nhl,Brad Richards,C,FW
Alex Tanguay (LW),Colorado Avalanche,69,25,54,79,1.14,42,30,https://www.eliteprospects.com/player/8779/alex-tanguay,2003-2004,nhl,Alex Tanguay,LW,FW
Milan Hejduk (RW),Colorado Avalanche,82,35,40,75,0.91,20,19,https://www.eliteprospects.com/player/8603/milan-hejduk,2003-2004,nhl,Milan Hejduk,RW,FW
Mats Sundin (C),Toronto Maple Leafs,81,31,44,75,0.93,52,11,https://www.eliteprospects.com/player/467/mats-sundin,2003-2004,nhl,Mats Sundin,C,FW
Mark Recchi (RW),Philadelphia Flyers,82,26,49,75,0.91,47,18,https://www.eliteprospects.com/player/8869/mark-recchi,2003-2004,nhl,Mark Recchi,RW,FW
Jaromír Jágr (RW),totals,77,31,43,74,0.96,38,-5,https://www.eliteprospects.com/player/8627/jaromir-jagr,2003-2004,nhl,Jaromír Jágr,RW,FW
