player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Leon Draisaitl (C/W),Edmonton Oilers,71,43,67,110,1.55,18,-7,https://www.eliteprospects.com/player/71913/leon-draisaitl,2019-2020,nhl,Leon Draisaitl,C/W,FW
Connor McDavid (C/LW),Edmonton Oilers,64,34,63,97,1.52,28,-6,https://www.eliteprospects.com/player/183442/connor-mcdavid,2019-2020,nhl,Connor McDavid,C/LW,FW
David Pastrnak (RW/LW),Boston Bruins,70,48,47,95,1.36,40,21,https://www.eliteprospects.com/player/130383/david-pastrnak,2019-2020,nhl,David Pastrnak,RW/LW,FW
Artemi Panarin (LW),New York Rangers,69,32,63,95,1.38,20,36,https://www.eliteprospects.com/player/24664/artemi-panarin,2019-2020,nhl,Artemi Panarin,LW,FW
Nathan MacKinnon (C/RW),Colorado Avalanche,69,35,58,93,1.35,12,13,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2019-2020,nhl,Nathan MacKinnon,C/RW,FW
Brad Marchand (W/C),Boston Bruins,70,28,59,87,1.24,82,25,https://www.eliteprospects.com/player/10439/brad-marchand,2019-2020,nhl,Brad Marchand,W/C,FW
Nikita Kucherov (RW),Tampa Bay Lightning,68,33,52,85,1.25,38,26,https://www.eliteprospects.com/player/77237/nikita-kucherov,2019-2020,nhl,Nikita Kucherov,RW,FW
Patrick Kane (RW/LW),Chicago Blackhawks,70,33,51,84,1.20,40,8,https://www.eliteprospects.com/player/9326/patrick-kane,2019-2020,nhl,Patrick Kane,RW/LW,FW
Auston Matthews (C/LW),Toronto Maple Leafs,70,47,33,80,1.14,8,19,https://www.eliteprospects.com/player/199898/auston-matthews,2019-2020,nhl,Auston Matthews,C/LW,FW
Jack Eichel (C),Buffalo Sabres,68,36,42,78,1.15,34,5,https://www.eliteprospects.com/player/191959/jack-eichel,2019-2020,nhl,Jack Eichel,C,FW
Jonathan Huberdeau (LW/RW),Florida Panthers,69,23,55,78,1.13,30,5,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2019-2020,nhl,Jonathan Huberdeau,LW/RW,FW
Mika Zibanejad (C/RW),New York Rangers,57,41,34,75,1.32,14,9,https://www.eliteprospects.com/player/23856/mika-zibanejad,2019-2020,nhl,Mika Zibanejad,C/RW,FW
John Carlson (D),Washington Capitals,69,15,60,75,1.09,26,12,https://www.eliteprospects.com/player/18590/john-carlson,2019-2020,nhl,John Carlson,D,DEF
Yevgeni Malkin (C),Pittsburgh Penguins,55,25,49,74,1.35,58,7,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2019-2020,nhl,Yevgeni Malkin,C,FW
Kyle Connor (LW),Winnipeg Jets,71,38,35,73,1.03,34,4,https://www.eliteprospects.com/player/177671/kyle-connor,2019-2020,nhl,Kyle Connor,LW,FW
Mark Scheifele (C),Winnipeg Jets,71,29,44,73,1.03,45,2,https://www.eliteprospects.com/player/75379/mark-scheifele,2019-2020,nhl,Mark Scheifele,C,FW
