player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Nikita Kucherov (RW),Tampa Bay Lightning,81,44,100,144,1.78,22,8,https://www.eliteprospects.com/player/77237/nikita-kucherov,2023-2024,nhl,Nikita Kucherov,RW,FW
Nathan MacKinnon (C/RW),Colorado Avalanche,82,51,89,140,1.71,42,35,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2023-2024,nhl,Nathan MacKinnon,C/RW,FW
Connor McDavid (C/LW),Edmonton Oilers,76,32,100,132,1.74,30,35,https://www.eliteprospects.com/player/183442/connor-mcdavid,2023-2024,nhl,Connor McDavid,C/LW,FW
Artemi Panarin (LW),New York Rangers,82,49,71,120,1.46,24,18,https://www.eliteprospects.com/player/24664/artemi-panarin,2023-2024,nhl,Artemi Panarin,LW,FW
David Pastrnak (RW/LW),Boston Bruins,82,47,63,110,1.34,47,21,https://www.eliteprospects.com/player/130383/david-pastrnak,2023-2024,nhl,David Pastrnak,RW/LW,FW
Auston Matthews (C/LW),Toronto Maple Leafs,81,69,38,107,1.32,20,31,https://www.eliteprospects.com/player/199898/auston-matthews,2023-2024,nhl,Auston Matthews,C/LW,FW
Leon Draisaitl (C/W),Edmonton Oilers,81,41,65,106,1.31,76,26,https://www.eliteprospects.com/player/71913/leon-draisaitl,2023-2024,nhl,Leon Draisaitl,C/W,FW
Mikko Rantanen (W/C),Colorado Avalanche,80,42,62,104,1.30,50,19,https://www.eliteprospects.com/player/91186/mikko-rantanen,2023-2024,nhl,Mikko Rantanen,W/C,FW
J.T. Miller (C/W),Vancouver Canucks,81,37,66,103,1.27,58,32,https://www.eliteprospects.com/player/38624/j.t.-miller,2023-2024,nhl,J.T. Miller,C/W,FW
William Nylander (W/C),Toronto Maple Leafs,82,40,58,98,1.20,24,1,https://www.eliteprospects.com/player/38703/william-nylander,2023-2024,nhl,William Nylander,W/C,FW
Kirill Kaprizov (LW),Minnesota Wild,75,46,50,96,1.28,36,11,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2023-2024,nhl,Kirill Kaprizov,LW,FW
Sam Reinhart (C/RW),Florida Panthers,82,57,37,94,1.15,31,29,https://www.eliteprospects.com/player/95032/sam-reinhart,2023-2024,nhl,Sam Reinhart,C/RW,FW
Filip Forsberg (W/C),Nashville Predators,82,48,46,94,1.15,43,16,https://www.eliteprospects.com/player/29626/filip-forsberg,2023-2024,nhl,Filip Forsberg,W/C,FW
Sidney Crosby (C),Pittsburgh Penguins,82,42,52,94,1.15,40,7,https://www.eliteprospects.com/player/6146/sidney-crosby,2023-2024,nhl,Sidney Crosby,C,FW
Quinn Hughes (D),Vancouver Canucks,82,17,75,92,1.12,38,38,https://www.eliteprospects.com/player/201671/quinn-hughes,2023-2024,nhl,Quinn Hughes,D,DEF
Brayden Point (C),Tampa Bay Lightning,81,46,44,90,1.11,14,-16,https://www.eliteprospects.com/player/62204/brayden-point,2023-2024,nhl,Brayden Point,C,FW
Cale Makar (D),Colorado Avalanche,77,21,69,90,1.17,16,15,https://www.eliteprospects.com/player/199655/cale-makar,2023-2024,nhl,Cale Makar,D,DEF
Sebastian Aho (C/W),Carolina Hurricanes,78,36,53,89,1.14,36,34,https://www.eliteprospects.com/player/152111/sebastian-aho,2023-2024,nhl,Sebastian Aho,C/W,FW
Elias Pettersson (C/W),Vancouver Canucks,82,34,55,89,1.09,12,20,https://www.eliteprospects.com/player/266336/elias-pettersson,2023-2024,nhl,Elias Pettersson,C/W,FW
Matthew Tkachuk (LW/RW),Florida Panthers,80,26,62,88,1.10,88,19,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2023-2024,nhl,Matthew Tkachuk,LW/RW,FW
Robert Thomas (C/RW),St. Louis Blues,82,26,60,86,1.05,48,9,https://www.eliteprospects.com/player/201681/robert-thomas,2023-2024,nhl,Robert Thomas,C/RW,FW
Mitchell Marner (RW/C),Toronto Maple Leafs,69,26,59,85,1.23,18,21,https://www.eliteprospects.com/player/223194/mitchell-marner,2023-2024,nhl,Mitchell Marner,RW/C,FW
Roman Josi (D),Nashville Predators,82,23,62,85,1.04,45,12,https://www.eliteprospects.com/player/12668/roman-josi,2023-2024,nhl,Roman Josi,D,DEF
Jesper Bratt (LW/RW),New Jersey Devils,82,27,56,83,1.01,12,-6,https://www.eliteprospects.com/player/117698/jesper-bratt,2023-2024,nhl,Jesper Bratt,LW/RW,FW
Evan Bouchard (D),Edmonton Oilers,81,18,64,82,1.01,32,34,https://www.eliteprospects.com/player/300591/evan-bouchard,2023-2024,nhl,Evan Bouchard,D,DEF
Steven Stamkos (C/W),Tampa Bay Lightning,79,40,41,81,1.03,34,-21,https://www.eliteprospects.com/player/11113/steven-stamkos,2023-2024,nhl,Steven Stamkos,C/W,FW
Jason Robertson (LW/RW),Dallas Stars,82,29,51,80,0.98,22,19,https://www.eliteprospects.com/player/201455/jason-robertson,2023-2024,nhl,Jason Robertson,LW/RW,FW
