player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Connor McDavid (C/LW),Edmonton Oilers,82,64,89,153,1.87,36,22,https://www.eliteprospects.com/player/183442/connor-mcdavid,2022-2023,nhl,Connor McDavid,C/LW,FW
Leon Draisaitl (C/W),Edmonton Oilers,80,52,76,128,1.6,24,7,https://www.eliteprospects.com/player/71913/leon-draisaitl,2022-2023,nhl,Leon Draisaitl,C/W,FW
David Pastrnak (RW/LW),Boston Bruins,82,61,52,113,1.38,38,34,https://www.eliteprospects.com/player/130383/david-pastrnak,2022-2023,nhl,David Pastrnak,RW/LW,FW
Nikita Kucherov (RW),Tampa Bay Lightning,82,30,83,113,1.38,36,-2,https://www.eliteprospects.com/player/77237/nikita-kucherov,2022-2023,nhl,Nikita Kucherov,RW,FW
Nathan MacKinnon (C/RW),Colorado Avalanche,71,42,69,111,1.56,30,29,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2022-2023,nhl,Nathan MacKinnon,C/RW,FW
Jason Robertson (LW/RW),Dallas Stars,82,46,63,109,1.33,20,37,https://www.eliteprospects.com/player/201455/jason-robertson,2022-2023,nhl,Jason Robertson,LW/RW,FW
Matthew Tkachuk (LW/RW),Florida Panthers,79,40,69,109,1.38,123,29,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2022-2023,nhl,Matthew Tkachuk,LW/RW,FW
Mikko Rantanen (W/C),Colorado Avalanche,82,55,50,105,1.28,82,15,https://www.eliteprospects.com/player/91186/mikko-rantanen,2022-2023,nhl,Mikko Rantanen,W/C,FW
Ryan Nugent-Hopkins (C/W),Edmonton Oilers,82,37,67,104,1.27,35,12,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2022-2023,nhl,Ryan Nugent-Hopkins,C/W,FW
Elias Pettersson (C/W),Vancouver Canucks,80,39,63,102,1.28,14,16,https://www.eliteprospects.com/player/266336/elias-pettersson,2022-2023,nhl,Elias Pettersson,C/W,FW
Erik Karlsson (D),San Jose Sharks,82,25,76,101,1.23,36,-26,https://www.eliteprospects.com/player/9878/erik-karlsson,2022-2023,nhl,Erik Karlsson,D,DEF
Jack Hughes (C/LW),New Jersey Devils,78,43,56,99,1.27,6,10,https://www.eliteprospects.com/player/305432/jack-hughes,2022-2023,nhl,Jack Hughes,C/LW,FW
Mitchell Marner (RW/C),Toronto Maple Leafs,80,30,69,99,1.24,28,18,https://www.eliteprospects.com/player/223194/mitchell-marner,2022-2023,nhl,Mitchell Marner,RW/C,FW
Brayden Point (C),Tampa Bay Lightning,82,51,44,95,1.16,7,2,https://www.eliteprospects.com/player/62204/brayden-point,2022-2023,nhl,Brayden Point,C,FW
Tage Thompson (C/W),Buffalo Sabres,78,47,47,94,1.21,39,4,https://www.eliteprospects.com/player/301349/tage-thompson,2022-2023,nhl,Tage Thompson,C/W,FW
Sidney Crosby (C),Pittsburgh Penguins,82,33,60,93,1.13,52,8,https://www.eliteprospects.com/player/6146/sidney-crosby,2022-2023,nhl,Sidney Crosby,C,FW
Artemi Panarin (LW),New York Rangers,82,29,63,92,1.12,36,4,https://www.eliteprospects.com/player/24664/artemi-panarin,2022-2023,nhl,Artemi Panarin,LW,FW
