player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Alexander Ovechkin (LW),Washington Capitals,82,65,47,112,1.37,40,28,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2007-2008,nhl,Alexander Ovechkin,LW,FW
Yevgeni Malkin (C),Pittsburgh Penguins,82,47,59,106,1.29,78,16,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2007-2008,nhl,Yevgeni Malkin,C,FW
Jarome Iginla (RW),Calgary Flames,82,50,48,98,1.20,83,27,https://www.eliteprospects.com/player/9036/jarome-iginla,2007-2008,nhl,Jarome Iginla,RW,FW
Pavel Datsyuk (C),Detroit Red Wings,82,31,66,97,1.18,20,41,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2007-2008,nhl,Pavel Datsyuk,C,FW
Joe Thornton (C),San Jose Sharks,82,29,67,96,1.17,59,18,https://www.eliteprospects.com/player/3670/joe-thornton,2007-2008,nhl,Joe Thornton,C,FW
Henrik Zetterberg (C),Detroit Red Wings,75,43,49,92,1.23,34,30,https://www.eliteprospects.com/player/285/henrik-zetterberg,2007-2008,nhl,Henrik Zetterberg,C,FW
Vincent Lecavalier (C),Tampa Bay Lightning,81,40,52,92,1.14,89,-17,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2007-2008,nhl,Vincent Lecavalier,C,FW
Jason Spezza (C),Ottawa Senators,76,34,58,92,1.21,66,26,https://www.eliteprospects.com/player/3661/jason-spezza,2007-2008,nhl,Jason Spezza,C,FW
Daniel Alfredsson (RW),Ottawa Senators,70,40,49,89,1.27,34,15,https://www.eliteprospects.com/player/702/daniel-alfredsson,2007-2008,nhl,Daniel Alfredsson,RW,FW
Ilya Kovalchuk (LW),Atlanta Thrashers,79,52,35,87,1.10,52,-12,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2007-2008,nhl,Ilya Kovalchuk,LW,FW
Alexei Kovalev (RW),Montréal Canadiens,82,35,49,84,1.02,70,18,https://www.eliteprospects.com/player/8670/alexei-kovalev,2007-2008,nhl,Alexei Kovalev,RW,FW
