player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
Marián Gáborík (RW),Minnesota Wild,77,42,41,83,1.08,63,17,https://www.eliteprospects.com/player/3665/marian-gaborik,2007-2008,nhl,Marián Gáborík,RW,FW
Mike Ribeiro (C),Dallas Stars,76,27,56,83,1.09,46,21,https://www.eliteprospects.com/player/8715/mike-ribeiro,2007-2008,nhl,Mike Ribeiro,C,FW
Martin St-Louis (RW),Tampa Bay Lightning,82,25,58,83,1.01,26,-23,https://www.eliteprospects.com/player/8772/martin-st-louis,2007-2008,nhl,Martin St-Louis,RW,FW
Dany Heatley (LW/RW),Ottawa Senators,71,41,41,82,1.15,76,33,https://www.eliteprospects.com/player/3664/dany-heatley,2007-2008,nhl,Dany Heatley,LW/RW,FW
Eric Staal (C),Carolina Hurricanes,82,38,44,82,1.00,50,-2,https://www.eliteprospects.com/player/3656/eric-staal,2007-2008,nhl,Eric Staal,C,FW
Ryan Getzlaf (C),Anaheim Ducks,77,24,58,82,1.06,94,32,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2007-2008,nhl,Ryan Getzlaf,C,FW
Derek Roy (C),Buffalo Sabres,78,32,49,81,1.04,46,13,https://www.eliteprospects.com/player/8810/derek-roy,2007-2008,nhl,Derek Roy,C,FW
Jason Pominville (RW),Buffalo Sabres,82,27,53,80,0.98,20,16,https://www.eliteprospects.com/player/8809/jason-pominville,2007-2008,nhl,Jason Pominville,RW,FW
Mats Sundin (C),Toronto Maple Leafs,74,32,46,78,1.05,76,17,https://www.eliteprospects.com/player/467/mats-sundin,2007-2008,nhl,Mats Sundin,C,FW
Shane Doan (RW),Phoenix Coyotes,80,28,50,78,0.98,59,4,https://www.eliteprospects.com/player/9137/shane-doan,2007-2008,nhl,Shane Doan,RW,FW
Marc Savard (C),Boston Bruins,74,15,63,78,1.05,66,3,https://www.eliteprospects.com/player/8574/marc-savard,2007-2008,nhl,Marc Savard,C,FW
Anze Kopitar (C),Los Angeles Kings,82,32,45,77,0.94,22,-15,https://www.eliteprospects.com/player/4233/anze-kopitar,2007-2008,nhl,Anze Kopitar,C,FW
Henrik Sedin (C),Vancouver Canucks,82,15,61,76,0.93,56,6,https://www.eliteprospects.com/player/738/henrik-sedin,2007-2008,nhl,Henrik Sedin,C,FW
Mike Richards (C),Philadelphia Flyers,73,28,47,75,1.03,76,14,https://www.eliteprospects.com/player/8816/mike-richards,2007-2008,nhl,Mike Richards,C,FW
Brenden Morrow (LW),Dallas Stars,82,32,42,74,0.90,105,23,https://www.eliteprospects.com/player/8960/brenden-morrow,2007-2008,nhl,Brenden Morrow,LW,FW
Daniel Sedin (LW),Vancouver Canucks,82,29,45,74,0.90,50,6,https://www.eliteprospects.com/player/737/daniel-sedin,2007-2008,nhl,Daniel Sedin,LW,FW
Daniel Brière (C),Philadelphia Flyers,79,31,41,72,0.91,68,-22,https://www.eliteprospects.com/player/8770/daniel-briere,2007-2008,nhl,Daniel Brière,C,FW
Jean-Pierre Dumont (RW),Nashville Predators,80,29,43,72,0.90,34,5,https://www.eliteprospects.com/player/8783/jean-pierre-dumont,2007-2008,nhl,Jean-Pierre Dumont,RW,FW
Jason Arnott (C/RW),Nashville Predators,79,28,44,72,0.91,54,19,https://www.eliteprospects.com/player/9068/jason-arnott,2007-2008,nhl,Jason Arnott,C/RW,FW
Sidney Crosby (C),Pittsburgh Penguins,53,24,48,72,1.36,39,18,https://www.eliteprospects.com/player/6146/sidney-crosby,2007-2008,nhl,Sidney Crosby,C,FW
Patrick Kane (RW/LW),Chicago Blackhawks,82,21,51,72,0.88,52,-5,https://www.eliteprospects.com/player/9326/patrick-kane,2007-2008,nhl,Patrick Kane,RW/LW,FW
Olli Jokinen (C),Florida Panthers,82,34,37,71,0.87,67,-19,https://www.eliteprospects.com/player/2679/olli-jokinen,2007-2008,nhl,Olli Jokinen,C,FW
Václav Prospal (LW/C),totals,80,33,38,71,0.89,45,0,https://www.eliteprospects.com/player/8641/vaclav-prospal,2007-2008,nhl,Václav Prospal,LW/C,FW
Jaromír Jágr (RW),New York Rangers,82,25,46,71,0.87,58,8,https://www.eliteprospects.com/player/8627/jaromir-jagr,2007-2008,nhl,Jaromír Jágr,RW,FW
Paul Stastny (C),Colorado Avalanche,66,24,47,71,1.08,24,22,https://www.eliteprospects.com/player/10212/paul-stastny,2007-2008,nhl,Paul Stastny,C,FW
Ales Hemsky (RW),Edmonton Oilers,74,20,51,71,0.96,34,-9,https://www.eliteprospects.com/player/8600/ales-hemsky,2007-2008,nhl,Ales Hemsky,RW,FW
Scott Gomez (C),New York Rangers,81,16,54,70,0.86,36,3,https://www.eliteprospects.com/player/9050/scott-gomez,2007-2008,nhl,Scott Gomez,C,FW
Nicklas Lidström (D),Detroit Red Wings,76,10,60,70,0.92,40,40,https://www.eliteprospects.com/player/722/nicklas-lidstrom,2007-2008,nhl,Nicklas Lidström,D,DEF
Rick Nash (LW/RW),Columbus Blue Jackets,80,38,31,69,0.86,95,2,https://www.eliteprospects.com/player/3658/rick-nash,2007-2008,nhl,Rick Nash,LW/RW,FW
Tomas Plekanec (C),Montréal Canadiens,81,29,40,69,0.85,42,15,https://www.eliteprospects.com/player/8668/tomas-plekanec,2007-2008,nhl,Tomas Plekanec,C,FW
Nicklas Bäckström (C),Washington Capitals,82,14,55,69,0.84,24,13,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2007-2008,nhl,Nicklas Bäckström,C,FW
Alexander Frolov (LW),Los Angeles Kings,71,23,44,67,0.94,22,1,https://www.eliteprospects.com/player/8591/alexander-frolov,2007-2008,nhl,Alexander Frolov,LW,FW
Marián Hossa (RW),totals,72,29,37,66,0.92,36,-14,https://www.eliteprospects.com/player/4720/marian-hossa,2007-2008,nhl,Marián Hossa,RW,FW
Kristian Huselius (LW),Calgary Flames,81,25,41,66,0.81,40,10,https://www.eliteprospects.com/player/691/kristian-huselius,2007-2008,nhl,Kristian Huselius,LW,FW
Brad Boyes (RW),St. Louis Blues,82,43,22,65,0.79,20,1,https://www.eliteprospects.com/player/9092/brad-boyes,2007-2008,nhl,Brad Boyes,RW,FW
Zach Parise (LW/RW),New Jersey Devils,81,32,33,65,0.80,25,13,https://www.eliteprospects.com/player/8903/zach-parise,2007-2008,nhl,Zach Parise,LW/RW,FW
Daymond Langkow (C),Calgary Flames,80,30,35,65,0.81,19,16,https://www.eliteprospects.com/player/8986/daymond-langkow,2007-2008,nhl,Daymond Langkow,C,FW
Cory Stillman (LW),totals,79,24,41,65,0.82,24,-15,https://www.eliteprospects.com/player/8894/cory-stillman,2007-2008,nhl,Cory Stillman,LW,FW
Paul Kariya (LW),St. Louis Blues,82,16,49,65,0.79,50,-10,https://www.eliteprospects.com/player/9002/paul-kariya,2007-2008,nhl,Paul Kariya,LW,FW
Sergei Gonchar (D),Pittsburgh Penguins,78,12,53,65,0.83,66,13,https://www.eliteprospects.com/player/8678/sergei-gonchar,2007-2008,nhl,Sergei Gonchar,D,DEF
Thomas Vanek (LW/RW),Buffalo Sabres,82,36,28,64,0.78,64,-5,https://www.eliteprospects.com/player/8493/thomas-vanek,2007-2008,nhl,Thomas Vanek,LW/RW,FW
Petr Sýkora (RW),Pittsburgh Penguins,81,28,35,63,0.78,41,1,https://www.eliteprospects.com/player/8692/petr-sykora,2007-2008,nhl,Petr Sýkora,RW,FW
Pierre-Marc Bouchard (C),Minnesota Wild,81,13,50,63,0.78,34,11,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2007-2008,nhl,Pierre-Marc Bouchard,C,FW
Patrick Sharp (LW/RW),Chicago Blackhawks,80,36,26,62,0.78,55,23,https://www.eliteprospects.com/player/8880/patrick-sharp,2007-2008,nhl,Patrick Sharp,LW/RW,FW
Nathan Horton (RW),Florida Panthers,82,27,35,62,0.76,85,15,https://www.eliteprospects.com/player/3657/nathan-horton,2007-2008,nhl,Nathan Horton,RW,FW
Brad Richards (C),totals,74,20,42,62,0.84,15,-27,https://www.eliteprospects.com/player/4723/brad-richards,2007-2008,nhl,Brad Richards,C,FW
Mark Streit (D),Montréal Canadiens,81,13,49,62,0.77,28,-6,https://www.eliteprospects.com/player/4092/mark-streit,2007-2008,nhl,Mark Streit,D,DEF
Brian Campbell (D),totals,83,8,54,62,0.75,20,8,https://www.eliteprospects.com/player/8565/brian-campbell,2007-2008,nhl,Brian Campbell,D,DEF
Nikolai Zherdev (LW/RW),Columbus Blue Jackets,82,26,35,61,0.74,34,-9,https://www.eliteprospects.com/player/8620/nikolai-zherdev,2007-2008,nhl,Nikolai Zherdev,LW/RW,FW
Ray Whitney (LW/RW),Carolina Hurricanes,66,25,36,61,0.92,30,-6,https://www.eliteprospects.com/player/8824/ray-whitney,2007-2008,nhl,Ray Whitney,LW/RW,FW
Dustin Brown (RW/LW),Los Angeles Kings,78,33,27,60,0.77,55,-13,https://www.eliteprospects.com/player/9099/dustin-brown,2007-2008,nhl,Dustin Brown,RW/LW,FW
Dion Phaneuf (D),Calgary Flames,82,17,43,60,0.73,182,12,https://www.eliteprospects.com/player/8564/dion-phaneuf,2007-2008,nhl,Dion Phaneuf,D,DEF
Brian Rolston (LW),Minnesota Wild,81,31,28,59,0.73,53,-1,https://www.eliteprospects.com/player/8927/brian-rolston,2007-2008,nhl,Brian Rolston,LW,FW
Andrew Brunette (LW),Colorado Avalanche,81,19,40,59,0.73,14,5,https://www.eliteprospects.com/player/9101/andrew-brunette,2007-2008,nhl,Andrew Brunette,LW,FW
Keith Tkachuk (LW),St. Louis Blues,79,27,31,58,0.73,69,-2,https://www.eliteprospects.com/player/8856/keith-tkachuk,2007-2008,nhl,Keith Tkachuk,LW,FW
Alexander Radulov (RW),Nashville Predators,81,26,32,58,0.72,44,7,https://www.eliteprospects.com/player/8794/alexander-radulov,2007-2008,nhl,Alexander Radulov,RW,FW
Chris Drury (C),New York Rangers,82,25,33,58,0.71,45,-3,https://www.eliteprospects.com/player/8804/chris-drury,2007-2008,nhl,Chris Drury,C,FW
Alex Tanguay (LW),Calgary Flames,78,18,40,58,0.74,48,11,https://www.eliteprospects.com/player/8779/alex-tanguay,2007-2008,nhl,Alex Tanguay,LW,FW
Andrei Markov (D),Montréal Canadiens,82,16,42,58,0.71,63,1,https://www.eliteprospects.com/player/8579/andrei-markov,2007-2008,nhl,Andrei Markov,D,DEF
Martin Erat (RW/LW),Nashville Predators,76,23,34,57,0.75,40,-3,https://www.eliteprospects.com/player/8611/martin-erat,2007-2008,nhl,Martin Erat,RW/LW,FW
Mike Modano (C),Dallas Stars,82,21,36,57,0.70,48,-11,https://www.eliteprospects.com/player/8965/mike-modano,2007-2008,nhl,Mike Modano,C,FW
Radim Vrbata (RW/LW),Phoenix Coyotes,76,27,29,56,0.74,14,6,https://www.eliteprospects.com/player/8626/radim-vrbata,2007-2008,nhl,Radim Vrbata,RW/LW,FW
Marco Sturm (LW),Boston Bruins,80,27,29,56,0.70,40,11,https://www.eliteprospects.com/player/8573/marco-sturm,2007-2008,nhl,Marco Sturm,LW,FW
Nikolai Antropov (C/W),Toronto Maple Leafs,72,26,30,56,0.78,92,10,https://www.eliteprospects.com/player/8657/nikolai-antropov,2007-2008,nhl,Nikolai Antropov,C/W,FW
Mike Green (D),Washington Capitals,82,18,38,56,0.68,62,6,https://www.eliteprospects.com/player/9476/mike-green,2007-2008,nhl,Mike Green,D,DEF
Saku Koivu (C),Montréal Canadiens,77,16,40,56,0.73,93,-4,https://www.eliteprospects.com/player/2669/saku-koivu,2007-2008,nhl,Saku Koivu,C,FW
Mike Knuble (RW),Philadelphia Flyers,82,29,26,55,0.67,72,-3,https://www.eliteprospects.com/player/4322/mike-knuble,2007-2008,nhl,Mike Knuble,RW,FW
Markus Näslund (LW),Vancouver Canucks,82,25,30,55,0.67,46,-7,https://www.eliteprospects.com/player/697/markus-naslund,2007-2008,nhl,Markus Näslund,LW,FW
Milan Michálek (LW/RW),San Jose Sharks,79,24,31,55,0.70,47,19,https://www.eliteprospects.com/player/8586/milan-michalek,2007-2008,nhl,Milan Michálek,LW/RW,FW
Patrik Elias (LW),New Jersey Devils,74,20,35,55,0.74,38,10,https://www.eliteprospects.com/player/8698/patrik-elias,2007-2008,nhl,Patrik Elias,LW,FW
Brian Rafalski (D),Detroit Red Wings,73,13,42,55,0.75,34,27,https://www.eliteprospects.com/player/1635/brian-rafalski,2007-2008,nhl,Brian Rafalski,D,DEF
Corey Perry (RW/LW),Anaheim Ducks,70,29,25,54,0.77,108,12,https://www.eliteprospects.com/player/8541/corey-perry,2007-2008,nhl,Corey Perry,RW/LW,FW
Milan Hejduk (RW),Colorado Avalanche,77,29,25,54,0.70,36,8,https://www.eliteprospects.com/player/8603/milan-hejduk,2007-2008,nhl,Milan Hejduk,RW,FW
Jonathan Toews (C),Chicago Blackhawks,64,24,30,54,0.84,44,11,https://www.eliteprospects.com/player/8792/jonathan-toews,2007-2008,nhl,Jonathan Toews,C,FW
Peter Mueller (RW/C),Phoenix Coyotes,81,22,32,54,0.67,32,-13,https://www.eliteprospects.com/player/9220/peter-mueller,2007-2008,nhl,Peter Mueller,RW/C,FW
Robert Lang (C),Chicago Blackhawks,76,21,33,54,0.71,50,9,https://www.eliteprospects.com/player/8617/robert-lang,2007-2008,nhl,Robert Lang,C,FW
Viktor Kozlov (C/RW),Washington Capitals,81,16,38,54,0.67,18,28,https://www.eliteprospects.com/player/8699/viktor-kozlov,2007-2008,nhl,Viktor Kozlov,C/RW,FW
Pavol Demitra (C),Minnesota Wild,68,15,39,54,0.79,24,9,https://www.eliteprospects.com/player/8596/pavol-demitra,2007-2008,nhl,Pavol Demitra,C,FW
Jeff Carter (C),Philadelphia Flyers,82,29,24,53,0.65,55,6,https://www.eliteprospects.com/player/8813/jeff-carter,2007-2008,nhl,Jeff Carter,C,FW
Andrei Kostitsyn (LW/RW),Montréal Canadiens,78,26,27,53,0.68,29,15,https://www.eliteprospects.com/player/6666/andrei-kostitsyn,2007-2008,nhl,Andrei Kostitsyn,LW/RW,FW
Antoine Vermette (C),Ottawa Senators,81,24,29,53,0.65,51,3,https://www.eliteprospects.com/player/8840/antoine-vermette,2007-2008,nhl,Antoine Vermette,C,FW
Patrick O'Sullivan (C),Los Angeles Kings,82,22,31,53,0.65,36,-8,https://www.eliteprospects.com/player/7914/patrick-o-sullivan,2007-2008,nhl,Patrick O'Sullivan,C,FW
Brian Gionta (RW),New Jersey Devils,82,22,31,53,0.65,46,1,https://www.eliteprospects.com/player/9048/brian-gionta,2007-2008,nhl,Brian Gionta,RW,FW
Tomas Kaberle (D),Toronto Maple Leafs,82,8,45,53,0.65,22,-8,https://www.eliteprospects.com/player/8542/tomas-kaberle,2007-2008,nhl,Tomas Kaberle,D,DEF
Chris Higgins (LW),Montréal Canadiens,82,27,25,52,0.63,22,0,https://www.eliteprospects.com/player/9051/chris-higgins,2007-2008,nhl,Chris Higgins,LW,FW
Andy McDonald (C),totals,82,18,34,52,0.63,62,-21,https://www.eliteprospects.com/player/8527/andy-mcdonald,2007-2008,nhl,Andy McDonald,C,FW
Jason Blake (LW/C),Toronto Maple Leafs,82,15,37,52,0.63,28,-4,https://www.eliteprospects.com/player/8782/jason-blake,2007-2008,nhl,Jason Blake,LW/C,FW
Ryan Malone (LW),Pittsburgh Penguins,77,27,24,51,0.66,103,14,https://www.eliteprospects.com/player/8721/ryan-malone,2007-2008,nhl,Ryan Malone,LW,FW
Erik Cole (LW),Carolina Hurricanes,73,22,29,51,0.70,76,5,https://www.eliteprospects.com/player/8732/erik-cole,2007-2008,nhl,Erik Cole,LW,FW
Rod Brind'Amour (C),Carolina Hurricanes,59,19,32,51,0.86,38,0,https://www.eliteprospects.com/player/8784/rod-brind-amour,2007-2008,nhl,Rod Brind'Amour,C,FW
Zdeno Chára (D),Boston Bruins,77,17,34,51,0.66,114,14,https://www.eliteprospects.com/player/4530/zdeno-chara,2007-2008,nhl,Zdeno Chára,D,DEF
Ed Jovanovski (D),Phoenix Coyotes,80,12,39,51,0.64,73,-13,https://www.eliteprospects.com/player/9035/ed-jovanovski,2007-2008,nhl,Ed Jovanovski,D,DEF
Shawn Horcoff (C),Edmonton Oilers,53,21,29,50,0.94,30,1,https://www.eliteprospects.com/player/4375/shawn-horcoff,2007-2008,nhl,Shawn Horcoff,C,FW
Chris Kunitz (LW),Anaheim Ducks,82,21,29,50,0.61,80,8,https://www.eliteprospects.com/player/8523/chris-kunitz,2007-2008,nhl,Chris Kunitz,LW,FW
R.J. Umberger (C/W),Philadelphia Flyers,74,13,37,50,0.68,19,0,https://www.eliteprospects.com/player/8820/r.j.-umberger,2007-2008,nhl,R.J. Umberger,C/W,FW
Jochen Hecht (C/LW),Buffalo Sabres,75,22,27,49,0.65,38,1,https://www.eliteprospects.com/player/8674/jochen-hecht,2007-2008,nhl,Jochen Hecht,C/LW,FW
Mike Comrie (C),New York Islanders,76,21,28,49,0.64,87,-21,https://www.eliteprospects.com/player/4701/mike-comrie,2007-2008,nhl,Mike Comrie,C,FW
Matt Cullen (C),Carolina Hurricanes,59,13,36,49,0.83,32,2,https://www.eliteprospects.com/player/8754/matt-cullen,2007-2008,nhl,Matt Cullen,C,FW
Sam Gagner (C/RW),Edmonton Oilers,79,13,36,49,0.62,23,-21,https://www.eliteprospects.com/player/10425/sam-gagner,2007-2008,nhl,Sam Gagner,C/RW,FW
Patrick Marleau (LW),San Jose Sharks,78,19,29,48,0.62,33,-19,https://www.eliteprospects.com/player/3671/patrick-marleau,2007-2008,nhl,Patrick Marleau,LW,FW
Wojtek Wolski (LW/RW),Colorado Avalanche,77,18,30,48,0.62,14,10,https://www.eliteprospects.com/player/8832/wojtek-wolski,2007-2008,nhl,Wojtek Wolski,LW/RW,FW
Mark Recchi (RW),totals,72,14,34,48,0.67,32,-18,https://www.eliteprospects.com/player/8869/mark-recchi,2007-2008,nhl,Mark Recchi,RW,FW
Joe Corvo (D),totals,74,13,35,48,0.65,26,17,https://www.eliteprospects.com/player/9122/joe-corvo,2007-2008,nhl,Joe Corvo,D,DEF
Mike Fisher (C),Ottawa Senators,79,23,24,47,0.59,82,-10,https://www.eliteprospects.com/player/8771/mike-fisher,2007-2008,nhl,Mike Fisher,C,FW
Dustin Penner (LW),Edmonton Oilers,82,23,24,47,0.57,45,-12,https://www.eliteprospects.com/player/8540/dustin-penner,2007-2008,nhl,Dustin Penner,LW,FW
Michael Cammalleri (LW),Los Angeles Kings,63,19,28,47,0.75,30,-16,https://www.eliteprospects.com/player/9104/michael-cammalleri,2007-2008,nhl,Michael Cammalleri,LW,FW
Brendan Shanahan (LW),New York Rangers,73,23,23,46,0.63,35,-2,https://www.eliteprospects.com/player/8693/brendan-shanahan,2007-2008,nhl,Brendan Shanahan,LW,FW
Joffrey Lupul (RW),Philadelphia Flyers,56,20,26,46,0.82,35,2,https://www.eliteprospects.com/player/9001/joffrey-lupul,2007-2008,nhl,Joffrey Lupul,RW,FW
Steven Reinprecht (C),Phoenix Coyotes,81,16,30,46,0.57,26,-3,https://www.eliteprospects.com/player/8725/steven-reinprecht,2007-2008,nhl,Steven Reinprecht,C,FW
Andrew Cogliano (C/LW),Edmonton Oilers,82,18,27,45,0.55,20,1,https://www.eliteprospects.com/player/9187/andrew-cogliano,2007-2008,nhl,Andrew Cogliano,C/LW,FW
Éric Perrin (C),Atlanta Thrashers,81,12,33,45,0.56,26,-5,https://www.eliteprospects.com/player/10222/eric-perrin,2007-2008,nhl,Éric Perrin,C,FW
Bill Guerin (RW),New York Islanders,81,23,21,44,0.54,65,-15,https://www.eliteprospects.com/player/9053/bill-guerin,2007-2008,nhl,Bill Guerin,RW,FW
David Legwand (C),Nashville Predators,65,15,29,44,0.68,38,-4,https://www.eliteprospects.com/player/3668/david-legwand,2007-2008,nhl,David Legwand,C,FW
Kimmo Timonen (D),Philadelphia Flyers,80,8,36,44,0.55,50,0,https://www.eliteprospects.com/player/2664/kimmo-timonen,2007-2008,nhl,Kimmo Timonen,D,DEF
Scott Hartnell (LW),Philadelphia Flyers,80,24,19,43,0.54,159,2,https://www.eliteprospects.com/player/8764/scott-hartnell,2007-2008,nhl,Scott Hartnell,LW,FW
Ales Kotalik (RW/LW),Buffalo Sabres,79,23,20,43,0.54,58,-5,https://www.eliteprospects.com/player/8676/ales-kotalik,2007-2008,nhl,Ales Kotalik,RW/LW,FW
John Madden (C),New Jersey Devils,80,20,23,43,0.54,26,1,https://www.eliteprospects.com/player/8723/john-madden,2007-2008,nhl,John Madden,C,FW
Brent Burns (D),Minnesota Wild,82,15,28,43,0.52,80,12,https://www.eliteprospects.com/player/9103/brent-burns,2007-2008,nhl,Brent Burns,D,DEF
Chris Pronger (D),Anaheim Ducks,72,12,31,43,0.60,128,-1,https://www.eliteprospects.com/player/8538/chris-pronger,2007-2008,nhl,Chris Pronger,D,DEF
Marek Zidlicky (D),Nashville Predators,79,5,38,43,0.54,63,-5,https://www.eliteprospects.com/player/3633/marek-zidlicky,2007-2008,nhl,Marek Zidlicky,D,DEF
Alexander Syomin (LW),Washington Capitals,63,26,16,42,0.67,54,-18,https://www.eliteprospects.com/player/8633/alexander-syomin,2007-2008,nhl,Alexander Syomin,LW,FW
Daniel Cleary (LW/RW),Detroit Red Wings,63,20,22,42,0.67,33,21,https://www.eliteprospects.com/player/4376/daniel-cleary,2007-2008,nhl,Daniel Cleary,LW/RW,FW
Jeff Halpern (C),totals,83,20,22,42,0.51,54,0,https://www.eliteprospects.com/player/8776/jeff-halpern,2007-2008,nhl,Jeff Halpern,C,FW
Jussi Jokinen (W/C),totals,72,16,26,42,0.58,18,-14,https://www.eliteprospects.com/player/2716/jussi-jokinen,2007-2008,nhl,Jussi Jokinen,W/C,FW
Alexander Steen (C),Toronto Maple Leafs,76,15,27,42,0.55,32,0,https://www.eliteprospects.com/player/460/alexander-steen,2007-2008,nhl,Alexander Steen,C,FW
Stephen Weiss (C),Florida Panthers,74,13,29,42,0.57,40,14,https://www.eliteprospects.com/player/8817/stephen-weiss,2007-2008,nhl,Stephen Weiss,C,FW
Jiri Hudler (W/C),Detroit Red Wings,81,13,29,42,0.52,26,11,https://www.eliteprospects.com/player/6665/jiri-hudler,2007-2008,nhl,Jiri Hudler,W/C,FW
Mikko Koivu (C),Minnesota Wild,57,11,31,42,0.74,42,13,https://www.eliteprospects.com/player/2696/mikko-koivu,2007-2008,nhl,Mikko Koivu,C,FW
Niklas Hagman (LW),Dallas Stars,82,27,14,41,0.50,51,4,https://www.eliteprospects.com/player/2680/niklas-hagman,2007-2008,nhl,Niklas Hagman,LW,FW
Vyacheslav Kozlov (LW),Atlanta Thrashers,82,17,24,41,0.50,26,-10,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2007-2008,nhl,Vyacheslav Kozlov,LW,FW
Miroslav Satan (RW),New York Islanders,80,16,25,41,0.51,39,-11,https://www.eliteprospects.com/player/666/miroslav-satan,2007-2008,nhl,Miroslav Satan,RW,FW
Martin Straka (C),New York Rangers,65,14,27,41,0.63,22,5,https://www.eliteprospects.com/player/8689/martin-straka,2007-2008,nhl,Martin Straka,C,FW
Jamie Langenbrunner (RW),New Jersey Devils,64,13,28,41,0.64,30,-1,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2007-2008,nhl,Jamie Langenbrunner,RW,FW
Trent Hunter (RW),New York Islanders,82,12,29,41,0.50,43,-17,https://www.eliteprospects.com/player/5215/trent-hunter,2007-2008,nhl,Trent Hunter,RW,FW
Sergei Fedorov (C),totals,68,11,30,41,0.60,38,-5,https://www.eliteprospects.com/player/8619/sergei-fedorov,2007-2008,nhl,Sergei Fedorov,C,FW
Robert Nilsson (W/C),Edmonton Oilers,71,10,31,41,0.58,22,8,https://www.eliteprospects.com/player/352/robert-nilsson,2007-2008,nhl,Robert Nilsson,W/C,FW
Lubomir Visnovsky (D),Los Angeles Kings,82,8,33,41,0.50,34,-18,https://www.eliteprospects.com/player/8592/lubomir-visnovsky,2007-2008,nhl,Lubomir Visnovsky,D,DEF
David Booth (LW/RW),Florida Panthers,73,22,18,40,0.55,26,13,https://www.eliteprospects.com/player/9402/david-booth,2007-2008,nhl,David Booth,LW/RW,FW
Tomas Holmström (RW),Detroit Red Wings,59,20,20,40,0.68,58,9,https://www.eliteprospects.com/player/712/tomas-holmstrom,2007-2008,nhl,Tomas Holmström,RW,FW
Joe Pavelski (C/RW),San Jose Sharks,82,19,21,40,0.49,28,1,https://www.eliteprospects.com/player/10372/joe-pavelski,2007-2008,nhl,Joe Pavelski,C/RW,FW
Todd Bertuzzi (RW/LW),Anaheim Ducks,68,14,26,40,0.59,97,8,https://www.eliteprospects.com/player/9081/todd-bertuzzi,2007-2008,nhl,Todd Bertuzzi,RW/LW,FW
Brandon Dubinsky (C/LW),New York Rangers,82,14,26,40,0.49,79,8,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2007-2008,nhl,Brandon Dubinsky,C/LW,FW
Joe Sakic (C),Colorado Avalanche,44,13,27,40,0.91,20,-4,https://www.eliteprospects.com/player/8862/joe-sakic,2007-2008,nhl,Joe Sakic,C,FW
Ryan Whitney (D),Pittsburgh Penguins,76,12,28,40,0.53,45,-2,https://www.eliteprospects.com/player/9399/ryan-whitney,2007-2008,nhl,Ryan Whitney,D,DEF
Pavel Kubina (D),Toronto Maple Leafs,72,11,29,40,0.56,116,5,https://www.eliteprospects.com/player/5519/pavel-kubina,2007-2008,nhl,Pavel Kubina,D,DEF
Mikael Samuelsson (RW),Detroit Red Wings,73,11,29,40,0.55,26,21,https://www.eliteprospects.com/player/736/mikael-samuelsson,2007-2008,nhl,Mikael Samuelsson,RW,FW
