player_id,player_name_official,seasons_played,seasons_with_gp_over_6,gp_regular_total,gp_regular_min_per_season,gp_regular_max_per_season,g_regular_sum,a_regular_sum,p_regular_sum,plus_minus_regular_sum,pim_regular_sum,ppg_regular_sum,ppp_regular_sum,shg_regular_sum,shp_regular_sum,gwg_regular_sum,otg_regular_sum,sog_regular_sum,shooting_pct_regular_mean,fo_pct_regular_mean,toi_per_game_regular_mean,g_regular_per_game,a_regular_per_game,p_regular_per_game,sog_regular_per_game,pim_regular_per_game,gp_regular_per_season,g_regular_per_season,a_regular_per_season,p_regular_per_season,gp_playoffs_sum,g_playoffs_sum,a_playoffs_sum,p_playoffs_sum,plus_minus_playoffs_sum,pim_playoffs_sum,ppg_playoffs_sum,ppp_playoffs_sum,shg_playoffs_sum,shp_playoffs_sum,gwg_playoffs_sum,otg_playoffs_sum,sog_playoffs_sum,shooting_pct_playoffs_mean,fo_pct_playoffs_mean,toi_per_game_playoffs_mean,g_playoffs_per_game,a_playoffs_per_game,p_playoffs_per_game,sog_playoffs_per_game,pim_playoffs_per_game,player_name_ep,player_pos_official,player_pos_ep,player_link_official,player_link_ep,player_image_official,date_of_birth,nation,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description,age_by_2025
3363.0,Jonathan Gruden,2,1,16.0,3.0,13.0,1.0,0.0,1.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.55,34.5,7.0,0.0625,0.0,0.0625,0.5625,0.3125,8.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jonathan Gruden,C,LW/RW,https://www.nhl.com/player/8480836,https://www.eliteprospects.com/player/276187/jonathan-gruden,https://assets.nhle.com/mugs/nhl/latest/8480836.png,5/4/2000,USA,182,78,L,,New Jersey Devils / Signed,"('4', '95', '2018')",['1-time U18 WJC Silver Medal'],Father: John Gruden Uncle: Luke Gruden,25
3371.0,Ville Koivunen,1,1,8.0,8.0,8.0,0.0,7.0,7.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,100.0,18.116666666666667,0.0,0.875,0.875,1.875,0.5,8.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ville Koivunen,RW,W/C,https://www.nhl.com/player/8482758,https://www.eliteprospects.com/player/525660/ville-koivunen,https://assets.nhle.com/mugs/nhl/latest/8482758.png,6/13/2003,Finland,183,78,L,,Pittsburgh Penguins / Signed,"('2', '51', '2021')","['1-time U20 WJC Silver Medal', '1-time AHL All-Rookie Team']","His game is one of pure, unrelenting skill, and an attacking mindset to match. Koivunen wants the puck on his stick, wants to be a game-breaker, wants to make something happen every shift. Koivunen keeps his top hand pushed out, handles the puck at his hip, and doesn’t mind engaging numbers.",22
3372.0,Rutger McGroarty,1,1,8.0,8.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.1,0.0,14.616666666666667,0.125,0.25,0.375,1.375,0.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rutger McGroarty,RW,C/W,https://www.nhl.com/player/8483487,https://www.eliteprospects.com/player/526095/rutger-mcgroarty,https://assets.nhle.com/mugs/nhl/latest/8483487.png,3/30/2004,USA / Canada,185,93,L,"['Cerebral Tactician', 'Physical Forward', 'Two-Way Center']",Pittsburgh Penguins / Signed,"('1', '14', '2022')","['1-time U20 WJC Gold Medal', '1-time U18 WJC Silver Medal', '1-time U20 WJC Bronze Medal', '1-time NCAA (B1G) Champion', '1-time NCAA (West) Second All-American Team']","Where most players outrace, he delays with a cutback or simply entering a glide and angling away from backpressure. Those delays house his playmaking, where he’s deceptive, precise, and identifying the best play. Uses give-and-gos instead of deking, and consistently occupies the space that maximizes his odds of getting the puck back. He’s a bull, too. Relentlessly attacks the inside, combining skill and physicality.",21
3423.0,David Farrance,1,0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.133333333333333,0.0,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Farrance,D,D,https://www.nhl.com/player/8480063,https://www.eliteprospects.com/player/269310/david-farrance,https://assets.nhle.com/mugs/nhl/latest/8480063.png,6/23/1999,USA,180,86,L,,,"('3', '92', '2017')","['1-time U18 WJC Gold Medal', '2-time NCAA (East) First All-American Team', '1-time NCAA (Hockey East) Champion']",,26
3428.0,Egor Afanasyev,2,1,19.0,2.0,17.0,1.0,0.0,1.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.4,0.0,11.925,0.0526315789473684,0.0,0.0526315789473684,1.368421052631579,0.1052631578947368,9.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Egor Afanasyev,LW,LW/C,https://www.nhl.com/player/8481585,https://www.eliteprospects.com/player/450909/yegor-afanasyev,https://assets.nhle.com/mugs/nhl/latest/8481585.png,1/23/2001,Russia,191,92,L,,San Jose Sharks / Signed,"('2', '45', '2019')",['1-time USHL Third All-Star Team'],,24
3429.0,Jake Livingstone,1,0,5.0,5.0,5.0,0.0,1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.45,0.0,0.2,0.2,0.6,0.4,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jake Livingstone,D,D,https://www.nhl.com/player/8484256,https://www.eliteprospects.com/player/358393/jake-livingstone,https://assets.nhle.com/mugs/nhl/latest/8484256.png,4/16/1999,Canada,191,93,R,,,,"['2-time NCAA (CCHA) Champion', '1-time NCAA (West) Second All-American Team']",,26
3434.0,Adam Wilsby,1,1,23.0,23.0,23.0,1.0,4.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,18.1,0.0434782608695652,0.1739130434782608,0.217391304347826,1.434782608695652,0.2608695652173913,23.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Wilsby,D,D,https://www.nhl.com/player/8482482,https://www.eliteprospects.com/player/295070/adam-wilsby,https://assets.nhle.com/mugs/nhl/latest/8482482.png,8/7/2000,Sweden,185,87,L,,Nashville Predators / Signed,"('4', '101', '2020')",['1-time TV-Pucken Silver Medal'],,25
3435.0,Ozzy Wiesblatt,1,0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.1,0.0,0.2,0.2,0.8,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ozzy Wiesblatt,C,W/C,https://www.nhl.com/player/8482103,https://www.eliteprospects.com/player/201810/ozzy-wiesblatt,https://assets.nhle.com/mugs/nhl/latest/8482103.png,3/9/2002,Canada,178,83,R,,Nashville Predators / Signed,"('1', '31', '2020')","['1-time Hlinka Gretzky Cup Silver Medal', '1-time WHL Champion']","Wiesblatt is a human cheat code in transition. His decision-making is so refined, and he’s not afraid to attack layers. Everything starts for Wiesblatt with a crossover-heavy skating stride, one which affords him three-step separation from defenders in space. He works from a constant base of activity and never lets his foot off the gas.",23
3436.0,Matthew Wood,1,0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,33.3,11.583333333333334,0.0,0.1666666666666666,0.1666666666666666,1.3333333333333333,0.3333333333333333,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matthew Wood,RW,LW/C,https://www.nhl.com/player/8484241,https://www.eliteprospects.com/player/603587/matthew-wood,https://assets.nhle.com/mugs/nhl/latest/8484241.png,2/6/2005,Canada,193,93,R,,Nashville Predators / Signed,"('1', '15', '2023')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time U18 WJC Bronze Medal', '1-time BCHL Most Goals', '1-time BCHL Rookie of the Year (Bruce Allison Memorial Trophy)', '1-time BCHL Top Scorer (Brett Hull Trophy)']","His wrist shot looks much better than at the start of the season. He keeps distance between his feet and his hands in front, really pulling that top arm back and moving it across his body to shoot through opponents. Can shoot off either foot and even in motion (off the inside leg). In moments, he shows chaining ability, whether that was receiving a pass, fighting off pressure, and passing for an assist or toe-dragging around a stick inside the pass reception before cutting inside for the shot.",20
3437.0,Ryan Ufko,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.616666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ryan Ufko,D,D,https://www.nhl.com/player/8482715,https://www.eliteprospects.com/player/511993/ryan-ufko,https://assets.nhle.com/mugs/nhl/latest/8482715.png,5/7/2003,USA,179,82,R,,Nashville Predators / Signed,"('4', '115', '2021')","['1-time U20 WJC Bronze Medal', '1-time NCAA (East) First All-American Team', '1-time NCAA (Hockey East) Champion', '1-time USHL Clark Cup Champion', '1-time USHL First All-Star Team']","He anticipates puck movements, limits the dangerousness of opposing plays, shoulder checks and positions his stick in passing lanes, and even if he stands at 5-foot-10, he is surprisingly sturdy, winning his share of battles on the walls. He laces deception in his feeds and occasionally manipulates high opposing defenders with feints.",22
