player_id,player_name_official,rookie_age,age_by_2025,first_season,seasons_played,seasons_with_gp_over_6,gp_regular_total,gp_regular_min_per_season,gp_regular_max_per_season,g_regular_sum,a_regular_sum,p_regular_sum,plus_minus_regular_sum,toi_per_game_regular,pim_regular_sum,ppg_regular_sum,ppp_regular_sum,shg_regular_sum,shp_regular_sum,gwg_regular_sum,otg_regular_sum,sog_regular_sum,shooting_pct_regular_mean,fo_pct_regular_mean,g_regular_per_game,a_regular_per_game,p_regular_per_game,sog_regular_per_game,pim_regular_per_game,gp_regular_per_season,g_regular_per_season,a_regular_per_season,p_regular_per_season,gp_playoffs_sum,g_playoffs_sum,a_playoffs_sum,p_playoffs_sum,plus_minus_playoffs_sum,toi_per_game_playoffs,pim_playoffs_sum,ppg_playoffs_sum,ppp_playoffs_sum,shg_playoffs_sum,shp_playoffs_sum,gwg_playoffs_sum,otg_playoffs_sum,sog_playoffs_sum,shooting_pct_playoffs_mean,fo_pct_playoffs_mean,g_playoffs_per_game,a_playoffs_per_game,p_playoffs_per_game,sog_playoffs_per_game,pim_playoffs_per_game,player_name_ep,player_pos_official,player_pos_ep,player_link_official,player_link_ep,player_image_official,date_of_birth,nation,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
163.0,Michael Sgarbossa,19,33,2012-13,9,3,93.0,1.0,29.0,9.0,16.0,25.0,-1.0,10.56200716845878,27.0,1.0,3.0,0.0,0.0,1.0,0.0,85.0,14.07,45.0,0.0967741935483871,0.1720430107526881,0.2688172043010752,0.913978494623656,0.2903225806451613,10.333333333333334,1.0,1.7777777777777777,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Sgarbossa,C,C,https://www.nhl.com/player/8475958,https://www.eliteprospects.com/player/23663/mike-sgarbossa,https://assets.nhle.com/mugs/nhl/latest/8475958.png,7/25/1992,Canada,183,84,L,,,,"['1-time AHL Calder Cup Champion', '1-time OHL First All-Star Team', '1-time OHL Most Points (Eddie Powers Trophy)']",Brother: Rob Sgarbossa
171.0,Karl Stollery,25,37,2013-14,3,2,23.0,2.0,11.0,0.0,3.0,3.0,-5.0,15.059420289855073,21.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.1304347826086956,0.1304347826086956,0.9130434782608696,0.9130434782608696,7.666666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl Stollery,D,D,https://www.nhl.com/player/8476798,https://www.eliteprospects.com/player/19292/karl-stollery,https://assets.nhle.com/mugs/nhl/latest/8476798.png,11/21/1987,Canada,180,82,L,,,,"['1-time Olympic Bronze Medal', '3-time AJHL Champion', '1-time Champions Hockey League Champion']",Brother: Daniel Stollery
178.0,Borna Rendulic,21,33,2014-15,3,1,15.0,1.0,11.0,1.0,1.0,2.0,-1.0,8.723333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.566666666666666,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.5333333333333333,0.4,5.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Borna Rendulic,RW,RW/LW,https://www.nhl.com/player/8477916,https://www.eliteprospects.com/player/30359/borna-rendulic,https://assets.nhle.com/mugs/nhl/latest/8477916.png,3/25/1992,Croatia,188,90,R,,,,[],"A stingy winger with a large frame, Rendulic combines size and scoring ability seamlessly into a coherent whole. He possesses predatory offensive instincts and consistently exhibits both the strength and skill to power through to the net and create offensive chances. Rendulic has good net-drive technique and his shot is a constant, but underused, threat. Needs to learn how to create time and space for linemates, and to use his underrated speed to create separation quicker. Transition game under construction."
179.0,Joey Hishon,22,33,2014-15,1,1,13.0,13.0,13.0,1.0,1.0,2.0,-1.0,10.116666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,5.3,44.9,0.0769230769230769,0.0769230769230769,0.1538461538461538,1.4615384615384617,0.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joey Hishon,C,C,https://www.nhl.com/player/8475767,https://www.eliteprospects.com/player/15388/joey-hishon,https://assets.nhle.com/mugs/nhl/latest/8475767.png,10/20/1991,Canada,178,77,L,,,"('1', '17', '2010')","['1-time U17 WHC Gold Medal', '1-time OHL Champion', '1-time OHL First All-Star Team']","Hishon was a center with natural offensive vision and creativity. Had fine passing ability and a good shot. A speedy skater, but not overly big and could be pushed around at times.
- Erik K."
180.0,Freddie Hamilton,21,33,2013-14,5,4,75.0,1.0,26.0,4.0,2.0,6.0,-9.0,9.316888888888888,12.0,0.0,0.0,1.0,2.0,2.0,0.0,73.0,4.3,43.98571428571428,0.0533333333333333,0.0266666666666666,0.08,0.9733333333333334,0.16,15.0,0.8,0.4,1.2,1.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Freddie Hamilton,C,C/W,https://www.nhl.com/player/8475878,https://www.eliteprospects.com/player/31570/freddie-hamilton,https://assets.nhle.com/mugs/nhl/latest/8475878.png,1/1/1992,Canada,185,88,R,,,"('5', '129', '2010')","['1-time U17 WHC Gold Medal', '1-time U20 WJC Bronze Medal']","Brother: Dougie Hamilton
Mother: Lynn Hamilton (Polson) (external source) - 1984 Canada Olympic team Basketball team
Father: Doug Hamilton (external source) - 1984 Bronze medalist 1984 Olympics / 1988 Olympic team (Rowing - Quad)"
181.0,Andrew Agozzino,23,34,2014-15,7,3,51.0,1.0,17.0,3.0,9.0,12.0,4.0,8.697712418300654,4.0,0.0,1.0,1.0,1.0,0.0,0.0,38.0,8.775,47.4375,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.7450980392156863,0.0784313725490196,7.285714285714286,0.4285714285714285,1.2857142857142858,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Agozzino,LW,LW/C,https://www.nhl.com/player/8475461,https://www.eliteprospects.com/player/23816/andrew-agozzino,https://assets.nhle.com/mugs/nhl/latest/8475461.png,1/3/1991,Canada,178,85,L,,Utah Mammoth / Signed,,"['1-time U17 WHC Gold Medal', '1-time OHL Third All-Star Team']","Agozzino is an offensive winger with good speed, hands and vision. Is a hard worker who doesn't shy away from the hard areas of the ice, despite being smallish. Also plays with grit.
- Erik K."
182.0,Duncan Siemens,20,32,2014-15,3,1,20.0,1.0,16.0,1.0,1.0,2.0,-7.0,12.400833333333331,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.3666666666666667,0.0,0.05,0.05,0.1,0.8,1.25,6.666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.0,0.0,0.0,0.0,-4.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Duncan Siemens,D,D,https://www.nhl.com/player/8476464,https://www.eliteprospects.com/player/37238/duncan-siemens,https://assets.nhle.com/mugs/nhl/latest/8476464.png,9/7/1993,Canada,191,95,L,,,"('1', '11', '2011')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time WHL (East) Second All-Star Team']",A large defenseman with good skating. Plays very physical. Blocks shots and passes well. Offensively decent. Has an ok shot and has a good first pass.
183.0,Colin Smith,20,32,2014-15,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colin Smith,C,C/RW,https://www.nhl.com/player/8476536,https://www.eliteprospects.com/player/26388/colin-smith,https://assets.nhle.com/mugs/nhl/latest/8476536.png,6/20/1993,Canada / Germany,178,84,R,,,"('7', '192', '2012')","['1-time AEHL U15 Most Valuable Player', '1-time WHL (West) First All-Star Team']","Smith is a speedy center with good playmaking ability and decent two-way instincts. Smallish in stature, which can be a problem against large defenders.
- Erik K."
184.0,Ben Street,24,38,2012-13,7,3,59.0,3.0,21.0,3.0,6.0,9.0,-6.0,10.729661016949152,10.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0,2.257142857142857,40.6,0.0508474576271186,0.1016949152542373,0.1525423728813559,1.2372881355932204,0.1694915254237288,8.428571428571429,0.4285714285714285,0.8571428571428571,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ben Street,C,C/LW,https://www.nhl.com/player/8476043,https://www.eliteprospects.com/player/12378/ben-street,https://assets.nhle.com/mugs/nhl/latest/8476043.png,2/13/1987,Canada,183,89,L,,,,"['1-time U17 WHC Silver Medal', '1-time AHL Calder Cup Champion', '1-time DEL Champion', '1-time ECHL All-Rookie Team', '1-time ECHL Rookie of the Year (John A Daley Trophy)', '1-time NCAA (Championship) Winner']","Street is a center who relies on his fine hockey smarts to play a two-way game. Owns both scoring and playmaking ability. A hard worker, he is also a capable skater.
- Erik K."
196.0,Andrew Bodnarchuk,20,37,2009-10,2,1,42.0,5.0,21.0,0.0,4.0,4.0,-9.0,11.740873015873015,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0952380952380952,0.0952380952380952,0.2142857142857142,0.3809523809523809,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Bodnarchuk,D,D,https://www.nhl.com/player/8473550,https://www.eliteprospects.com/player/12279/andrew-bodnarchuk,https://assets.nhle.com/mugs/nhl/latest/8473550.png,7/11/1988,Canada / Germany,180,88,L,,,"('5', '128', '2006')","['1-time U17 WHC Bronze Medal', '1-time AHL Calder Cup Champion', '1-time QMJHL All-Rookie Team']","Bodnarchuk is known as a defenseman with a solid all-around game. Moves the puck well and has a hard shot. A hard worker and quality teammate, he plays bigger than his size would indicate. Also has fine skating ability and agility.
- Erik K."
