player_id,player_name_official,gp_regular,g_regular,a_regular,p_regular,plus_minus_regular,toi_per_game_regular,pim_regular,ppg_regular,ppp_regular,shg_regular,shp_regular,gwg_regular,otg_regular,sog_regular,shooting_pct_regular,fo_pct_regular,gp_playoffs,g_playoffs,a_playoffs,p_playoffs,plus_minus_playoffs,toi_per_game_playoffs,pim_playoffs,ppg_playoffs,ppp_playoffs,shg_playoffs,shp_playoffs,gwg_playoffs,otg_playoffs,sog_playoffs,shooting_pct_playoffs,fo_pct_playoffs,g_regular_per_game,a_regular_per_game,p_regular_per_game,sog_regular_per_game,pim_regular_per_game,g_playoffs_per_game,a_playoffs_per_game,p_playoffs_per_game,sog_playoffs_per_game,pim_playoffs_per_game
1875.0,Conor Sheary,184.0,48.0,45.0,93.0,25.0,13.603170289855074,40.0,4.0,8.0,0.0,0.0,10.0,2.0,347.0,13.766666666666666,16.3,57.0,6.0,13.0,19.0,-8.0,13.58187134502924,14.0,0.0,2.0,0.0,0.0,1.0,1.0,101.0,5.033333333333333,16.666666666666668,0.2608695652173913,0.24456521739130435,0.5054347826086957,1.8858695652173914,0.21739130434782608,0.10526315789473684,0.22807017543859648,0.3333333333333333,1.7719298245614035,0.24561403508771928
1876.0,Daniel Sprong,42.0,4.0,5.0,9.0,-6.0,9.66984126984127,0.0,0.0,1.0,0.0,0.0,1.0,0.0,61.0,5.933333333333333,33.333333333333336,0.0,0.0,0.0,0.0,0.0,9.126190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.11904761904761904,0.21428571428571427,1.4523809523809523,0.0,,,,,
1877.0,Anthony Mantha,150.0,43.0,44.0,87.0,3.0,16.366666666666667,107.0,12.0,17.0,0.0,0.0,6.0,2.0,341.0,12.166666666666666,26.066666666666666,0.0,0.0,0.0,0.0,0.0,16.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866666666666667,0.29333333333333333,0.58,2.2733333333333334,0.7133333333333334,,,,,
1878.0,Michael Raffl,217.0,43.0,38.0,81.0,17.0,13.85652841781874,92.0,3.0,4.0,1.0,1.0,9.0,0.0,367.0,11.5,47.166666666666664,13.0,1.0,1.0,2.0,-1.0,12.583333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.166666666666667,30.233333333333334,0.19815668202764977,0.17511520737327188,0.37327188940092165,1.6912442396313363,0.423963133640553,0.07692307692307693,0.07692307692307693,0.15384615384615385,1.0769230769230769,0.15384615384615385
1880.0,Connor McMichael,75.0,9.0,9.0,18.0,-3.0,10.331111111111111,17.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2.8666666666666667,69.86666666666666,4.0,0.0,1.0,1.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.666666666666668,0.12,0.12,0.24,1.44,0.22666666666666666,0.0,0.25,0.25,0.25,0.0
1883.0,Aliaksei Protas,169.0,13.0,40.0,53.0,-7.0,12.609270216962525,20.0,0.0,1.0,0.0,1.0,1.0,0.0,230.0,6.3,39.333333333333336,4.0,0.0,2.0,2.0,1.0,14.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,33.333333333333336,0.07692307692307693,0.23668639053254437,0.3136094674556213,1.3609467455621302,0.11834319526627218,0.0,0.5,0.5,2.0,0.0
1885.0,Brett Leason,158.0,20.0,17.0,37.0,-27.0,11.366666666666667,32.0,0.0,0.0,2.0,2.0,1.0,0.0,187.0,10.200000000000001,37.43333333333333,1.0,0.0,0.0,0.0,-1.0,8.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.10759493670886076,0.23417721518987342,1.1835443037974684,0.20253164556962025,0.0,0.0,0.0,0.0,0.0
1886.0,Johan Larsson,68.0,6.0,14.0,20.0,0.0,14.070343137254902,31.0,1.0,4.0,0.0,0.0,0.0,0.0,73.0,4.0,30.46666666666667,0.0,0.0,0.0,0.0,0.0,10.366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.20588235294117646,0.29411764705882354,1.0735294117647058,0.45588235294117646,,,,,
1887.0,Axel Jonsson-Fjallby,99.0,10.0,13.0,23.0,5.0,10.007575757575758,12.0,0.0,0.0,0.0,1.0,3.0,0.0,106.0,8.9,31.666666666666668,2.0,0.0,0.0,0.0,-1.0,6.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101010101010101,0.13131313131313133,0.23232323232323232,1.0707070707070707,0.12121212121212122,0.0,0.0,0.0,0.0,0.0
1890.0,Dennis Cholowski,104.0,10.0,17.0,27.0,-47.0,18.223076923076924,26.0,5.0,14.0,0.0,0.0,2.0,1.0,132.0,7.933333333333334,33.333333333333336,0.0,0.0,0.0,0.0,0.0,8.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.16346153846153846,0.25961538461538464,1.2692307692307692,0.25,,,,,
