player_name,player_pos,player_link_official,player_link_ep,player_image
Nick DeSimone,D,https://www.nhl.com/player/8480084,https://www.eliteprospects.com/player/226606/nick-desimone,https://assets.nhle.com/mugs/nhl/20232024/NJD/8480084.png
Santeri Hatakka,D,https://www.nhl.com/player/8481701,https://www.eliteprospects.com/player/397011/santeri-hatakka,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481701.png
Cal Foote,D,https://www.nhl.com/player/8479984,https://www.eliteprospects.com/player/247895/cal-foote,https://assets.nhle.com/mugs/nhl/20232024/NJD/8479984.png
Samuel Laberge,LW,https://www.nhl.com/player/8478956,https://www.eliteprospects.com/player/231410/samuel-laberge,https://assets.nhle.com/mugs/nhl/20232024/NJD/8478956.png
Brian Halonen,LW,https://www.nhl.com/player/8483531,https://www.eliteprospects.com/player/419044/brian-halonen,https://assets.nhle.com/mugs/nhl/20232024/NJD/8483531.png
Graeme Clarke,RW,https://www.nhl.com/player/8481578,https://www.eliteprospects.com/player/286955/graeme-clarke,https://assets.nhle.com/mugs/nhl/20232024/NJD/8481578.png
Paul Cotter,C,https://www.nhl.com/player/8481032,https://www.eliteprospects.com/player/284097/paul-cotter,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481032.png
Cody Glass,C,https://www.nhl.com/player/8479996,https://www.eliteprospects.com/player/201704/cody-glass,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479996.png
Brett Pesce,D,https://www.nhl.com/player/8477488,https://www.eliteprospects.com/player/121869/brett-pesce,https://assets.nhle.com/mugs/nhl/20242025/NJD/8477488.png
Seamus Casey,D,https://www.nhl.com/player/8483429,https://www.eliteprospects.com/player/526229/seamus-casey,https://assets.nhle.com/mugs/nhl/20242025/NJD/8483429.png
Nathan Légaré,RW,https://www.nhl.com/player/8481594,https://www.eliteprospects.com/player/296698/nathan-legare,https://assets.nhle.com/mugs/nhl/20242025/NJD/8481594.png
Matt Cullen,C,https://www.nhl.com/player/8464989,https://www.eliteprospects.com/player/8754/matt-cullen,https://assets.nhle.com/mugs/nhl/20002001/ANA/8464989.png
Tony Hrkac,C,https://www.nhl.com/player/8448017,https://www.eliteprospects.com/player/33755/tony-hrkac,https://assets.nhle.com/mugs/nhl/20002001/ANA/8448017.png
Mike Leclerc,LW,https://www.nhl.com/player/8462084,https://www.eliteprospects.com/player/8993/mike-leclerc,https://assets.nhle.com/mugs/nhl/20002001/ANA/8462084.png
German Titov,C,https://www.nhl.com/player/8459672,https://www.eliteprospects.com/player/32587/german-titov,https://assets.nhle.com/mugs/nhl/20002001/ANA/8459672.png
Mike Crowley,D,https://www.nhl.com/player/8459563,https://www.eliteprospects.com/player/39747/mike-crowley,https://assets.nhle.com/mugs/nhl/20002001/ANA/8459563.png
Dan Bylsma,LW,https://www.nhl.com/player/8455763,https://www.eliteprospects.com/player/32585/dan-bylsma,https://assets.nhle.com/mugs/nhl/20002001/ANA/8455763.png
Steve Rucchin,C,https://www.nhl.com/player/8459284,https://www.eliteprospects.com/player/8555/steve-rucchin,https://assets.nhle.com/mugs/nhl/20002001/ANA/8459284.png
Pavel Trnka,D,https://www.nhl.com/player/8460594,https://www.eliteprospects.com/player/7303/pavel-trnka,https://assets.nhle.com/mugs/nhl/20002001/ANA/8460594.png
Ladislav Kohn,RW,https://www.nhl.com/player/8460663,https://www.eliteprospects.com/player/3573/ladislav-kohn,https://assets.nhle.com/mugs/nhl/20002001/ANA/8460663.png
Jonas Ronnqvist,RW,https://www.nhl.com/player/8468578,https://www.eliteprospects.com/player/510/jonas-ronnqvist,https://assets.nhle.com/mugs/nhl/20002001/ANA/8468578.png
Antti Aalto,C,https://www.nhl.com/player/8459557,https://www.eliteprospects.com/player/2703/antti-aalto,https://assets.nhle.com/mugs/nhl/20002001/ANA/8459557.png
Antti Jussi Niemi,D,https://www.nhl.com/player/8465034,https://www.eliteprospects.com/player/2569/antti-jussi-niemi,https://assets.nhle.com/mugs/nhl/20002001/ANA/8465034.png
Kevin Sawyer,LW,https://www.nhl.com/player/8460836,https://www.eliteprospects.com/player/67107/kevin-sawyer,https://assets.nhle.com/mugs/nhl/20002001/ANA/8460836.png
Bob Wren,LW,https://www.nhl.com/player/8459519,https://www.eliteprospects.com/player/11576/bob-wren,https://assets.nhle.com/mugs/nhl/20002001/ANA/8459519.png
Patric Kjellberg,LW,https://www.nhl.com/player/8456848,https://www.eliteprospects.com/player/720/patric-kjellberg,https://assets.nhle.com/mugs/nhl/20012002/ANA/8456848.png
