playername,fw_def,link
Brendan Morrison,FW,https://www.eliteprospects.com/player/4321/brendan-morrison
Daymond Langkow,FW,https://www.eliteprospects.com/player/8986/daymond-langkow
Al MacInnis,DEF,https://www.eliteprospects.com/player/21307/al-macinnis
Gary Roberts,FW,https://www.eliteprospects.com/player/8936/gary-roberts
Oleg Tverdovsky,DEF,https://www.eliteprospects.com/player/8656/oleg-tverdovsky
Espen Knutsen,FW,https://www.eliteprospects.com/player/721/espen-knutsen
Joe Nieuwendyk,FW,https://www.eliteprospects.com/player/8950/joe-nieuwendyk
Patrick Marleau,FW,https://www.eliteprospects.com/player/3671/patrick-marleau
Yanic Perreault,FW,https://www.eliteprospects.com/player/8912/yanic-perreault
Cory Stillman,FW,https://www.eliteprospects.com/player/8894/cory-stillman
Sergei Brylin,FW,https://www.eliteprospects.com/player/8697/sergei-brylin
Martin Gélinas,FW,https://www.eliteprospects.com/player/8787/martin-gelinas
Steve Yzerman,FW,https://www.eliteprospects.com/player/18904/steve-yzerman
Brian Rafalski,DEF,https://www.eliteprospects.com/player/1635/brian-rafalski
Vincent Lecavalier,FW,https://www.eliteprospects.com/player/3667/vincent-lecavalier
Jean-Pierre Dumont,FW,https://www.eliteprospects.com/player/8783/jean-pierre-dumont
Mathieu Schneider,DEF,https://www.eliteprospects.com/player/8875/mathieu-schneider
Sergei Zubov,DEF,https://www.eliteprospects.com/player/8508/sergei-zubov
Sergei Berezin,FW,https://www.eliteprospects.com/player/31446/sergei-berezin
Bobby Holík,FW,https://www.eliteprospects.com/player/8545/bobby-holik
Owen Nolan,FW,https://www.eliteprospects.com/player/9674/owen-nolan
Jonas Höglund,FW,https://www.eliteprospects.com/player/468/jonas-hoglund
Dan McGillis,DEF,https://www.eliteprospects.com/player/9670/dan-mcgillis
Alexei Zhamnov,FW,https://www.eliteprospects.com/player/8572/alexei-zhamnov
Niklas Sundström,FW,https://www.eliteprospects.com/player/740/niklas-sundstrom
Ulf Dahlén,FW,https://www.eliteprospects.com/player/692/ulf-dahlen
Éric Desjardins,DEF,https://www.eliteprospects.com/player/9133/eric-desjardins
Jeff Friesen,FW,https://www.eliteprospects.com/player/9159/jeff-friesen
Steve Konowalchuk,FW,https://www.eliteprospects.com/player/9020/steve-konowalchuk
Saku Koivu,FW,https://www.eliteprospects.com/player/2669/saku-koivu
Oleg Petrov,FW,https://www.eliteprospects.com/player/10844/oleg-petrov
Ed Jovanovski,DEF,https://www.eliteprospects.com/player/9035/ed-jovanovski
Wade Redden,DEF,https://www.eliteprospects.com/player/8931/wade-redden
Darryl Sydor,DEF,https://www.eliteprospects.com/player/8899/darryl-sydor
Chris Pronger,DEF,https://www.eliteprospects.com/player/8538/chris-pronger
Roman Hamrlík,DEF,https://www.eliteprospects.com/player/8607/roman-hamrlik
Janne Niinimaa,DEF,https://www.eliteprospects.com/player/2658/janne-niinimaa
Vincent Damphousse,FW,https://www.eliteprospects.com/player/21515/vincent-damphousse
Brian Savage,FW,https://www.eliteprospects.com/player/8872/brian-savage
Dave Scatchard,FW,https://www.eliteprospects.com/player/8873/dave-scatchard
Pavol Demitra,FW,https://www.eliteprospects.com/player/8596/pavol-demitra
Jere Lehtinen,FW,https://www.eliteprospects.com/player/2687/jere-lehtinen
Patric Kjellberg,FW,https://www.eliteprospects.com/player/720/patric-kjellberg
Tomas Kaberle,DEF,https://www.eliteprospects.com/player/8542/tomas-kaberle
Mike Ricci,FW,https://www.eliteprospects.com/player/8909/mike-ricci
Shane Willis,FW,https://www.eliteprospects.com/player/7307/shane-willis
Brenden Morrow,FW,https://www.eliteprospects.com/player/8960/brenden-morrow
Jochen Hecht,FW,https://www.eliteprospects.com/player/8674/jochen-hecht
Richard Zedník,FW,https://www.eliteprospects.com/player/8631/richard-zednik
Sandis Ozolins,DEF,https://www.eliteprospects.com/player/8690/sandis-ozolins
Scott Pellerin,FW,https://www.eliteprospects.com/player/39224/scott-pellerin
Randy McKay,FW,https://www.eliteprospects.com/player/31999/randy-mckay
Stu Barnes,FW,https://www.eliteprospects.com/player/9074/stu-barnes
Jan Hrdina,FW,https://www.eliteprospects.com/player/8623/jan-hrdina
Mike Johnson,FW,https://www.eliteprospects.com/player/5687/mike-johnson
Jeff Halpern,FW,https://www.eliteprospects.com/player/8776/jeff-halpern
Marty McInnis,FW,https://www.eliteprospects.com/player/31743/marty-mcinnis
Martin Havlát,FW,https://www.eliteprospects.com/player/8624/martin-havlat
Anson Carter,FW,https://www.eliteprospects.com/player/9111/anson-carter
Mike Sillinger,FW,https://www.eliteprospects.com/player/8881/mike-sillinger
David Legwand,FW,https://www.eliteprospects.com/player/3668/david-legwand
Dallas Drake,FW,https://www.eliteprospects.com/player/9141/dallas-drake
Tim Connolly,FW,https://www.eliteprospects.com/player/8775/tim-connolly
Chris Gratton,FW,https://www.eliteprospects.com/player/9167/chris-gratton
Martin St-Louis,FW,https://www.eliteprospects.com/player/8772/martin-st-louis
Tomas Holmström,FW,https://www.eliteprospects.com/player/712/tomas-holmstrom
Matt Cullen,FW,https://www.eliteprospects.com/player/8754/matt-cullen
Igor Larionov,FW,https://www.eliteprospects.com/player/7142/igor-larionov
Glen Murray,FW,https://www.eliteprospects.com/player/8576/glen-murray
Todd Marchant,FW,https://www.eliteprospects.com/player/8532/todd-marchant
Lubomir Visnovsky,DEF,https://www.eliteprospects.com/player/8592/lubomir-visnovsky
John Madden,FW,https://www.eliteprospects.com/player/8723/john-madden
Vyacheslav Kozlov,FW,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov
Martin Ručinský,FW,https://www.eliteprospects.com/player/8688/martin-rucinsky
Dmitri Khristich,FW,https://www.eliteprospects.com/player/21561/dmitri-khristich
Tony Hrkac,FW,https://www.eliteprospects.com/player/33755/tony-hrkac
Andrei Nikolishin,FW,https://www.eliteprospects.com/player/19685/andrei-nikolishin
Doug Gilmour,FW,https://www.eliteprospects.com/player/20597/doug-gilmour
Rob Zamuner,FW,https://www.eliteprospects.com/player/38173/rob-zamuner
Andrei Kovalenko,FW,https://www.eliteprospects.com/player/19547/andrei-kovalenko
Darcy Tucker,FW,https://www.eliteprospects.com/player/8859/darcy-tucker
Trevor Linden,FW,https://www.eliteprospects.com/player/8551/trevor-linden
Viktor Kozlov,FW,https://www.eliteprospects.com/player/8699/viktor-kozlov
Grant Marshall,FW,https://www.eliteprospects.com/player/8967/grant-marshall
Alexei Zhitnik,DEF,https://www.eliteprospects.com/player/8696/alexei-zhitnik
Mike Grier,FW,https://www.eliteprospects.com/player/9171/mike-grier
Scott Thornton,FW,https://www.eliteprospects.com/player/5638/scott-thornton
Marián Gáborík,FW,https://www.eliteprospects.com/player/3665/marian-gaborik
Ruslan Fedotenko,FW,https://www.eliteprospects.com/player/8638/ruslan-fedotenko
Peter Schaefer,FW,https://www.eliteprospects.com/player/8757/peter-schaefer
Patrice Brisebois,DEF,https://www.eliteprospects.com/player/8781/patrice-brisebois
Steven Reinprecht,FW,https://www.eliteprospects.com/player/8725/steven-reinprecht
Rem Murray,FW,https://www.eliteprospects.com/player/9668/rem-murray
Rick Tocchet,FW,https://www.eliteprospects.com/player/21418/rick-tocchet
Maxim Afinogenov,FW,https://www.eliteprospects.com/player/8672/maxim-afinogenov
Marcus Nilson,FW,https://www.eliteprospects.com/player/728/marcus-nilson
Brian Holzinger,FW,https://www.eliteprospects.com/player/25615/brian-holzinger
Calle Johansson,DEF,https://www.eliteprospects.com/player/714/calle-johansson
Dave Lowry,FW,https://www.eliteprospects.com/player/32207/dave-lowry
Mike Leclerc,FW,https://www.eliteprospects.com/player/8993/mike-leclerc
Daniel Cleary,FW,https://www.eliteprospects.com/player/4376/daniel-cleary
Scott Niedermayer,DEF,https://www.eliteprospects.com/player/8521/scott-niedermayer
Daniel Sedin,FW,https://www.eliteprospects.com/player/737/daniel-sedin
Vitaly Yachmenyov,FW,https://www.eliteprospects.com/player/16742/vitaly-yachmenyov
Valeri Kamensky,FW,https://www.eliteprospects.com/player/21350/valeri-kamensky
Lubomir Sekeras,DEF,https://www.eliteprospects.com/player/3674/lubomir-sekeras
Ray Whitney,FW,https://www.eliteprospects.com/player/8824/ray-whitney
Gary Suter,DEF,https://www.eliteprospects.com/player/21396/gary-suter
Steve Thomas,FW,https://www.eliteprospects.com/player/30687/steve-thomas
Jiri Slegr,DEF,https://www.eliteprospects.com/player/1938/jiri-slegr
Phil Housley,DEF,https://www.eliteprospects.com/player/21377/phil-housley
Dave Andreychuk,FW,https://www.eliteprospects.com/player/21425/dave-andreychuk
Magnus Arvedson,FW,https://www.eliteprospects.com/player/705/magnus-arvedson
Trent Klatt,FW,https://www.eliteprospects.com/player/69566/trent-klatt
Joé Juneau,FW,https://www.eliteprospects.com/player/21390/joe-juneau
Karel Rachunek,DEF,https://www.eliteprospects.com/player/9629/karel-rachunek
Brad Isbister,FW,https://www.eliteprospects.com/player/8705/brad-isbister
Adam Deadmarsh,FW,https://www.eliteprospects.com/player/21314/adam-deadmarsh
Tyler Wright,FW,https://www.eliteprospects.com/player/9669/tyler-wright
Greg Johnson,FW,https://www.eliteprospects.com/player/9032/greg-johnson
Shjon Podein,FW,https://www.eliteprospects.com/player/3644/shjon-podein
Michal Handzus,FW,https://www.eliteprospects.com/player/8683/michal-handzus
Chad Kilger,FW,https://www.eliteprospects.com/player/9015/chad-kilger
Marco Sturm,FW,https://www.eliteprospects.com/player/8573/marco-sturm
Craig Conroy,FW,https://www.eliteprospects.com/player/9121/craig-conroy
David Výborný,FW,https://www.eliteprospects.com/player/1920/david-vyborny
Stéphane Matteau,FW,https://www.eliteprospects.com/player/54466/stephane-matteau
Rob Niedermayer,FW,https://www.eliteprospects.com/player/8536/rob-niedermayer
Tom Poti,DEF,https://www.eliteprospects.com/player/8918/tom-poti
Kevin Stevens,FW,https://www.eliteprospects.com/player/21382/kevin-stevens
Curtis Brown,FW,https://www.eliteprospects.com/player/9098/curtis-brown
Claude Lapointe,FW,https://www.eliteprospects.com/player/27534/claude-lapointe
Landon Wilson,FW,https://www.eliteprospects.com/player/10833/landon-wilson
Mike York,FW,https://www.eliteprospects.com/player/8730/mike-york
Andreas Dackell,FW,https://www.eliteprospects.com/player/709/andreas-dackell
Erik Rasmussen,FW,https://www.eliteprospects.com/player/8868/erik-rasmussen
Patrik Stefan,FW,https://www.eliteprospects.com/player/3666/patrik-stefan
Vaclav Varada,FW,https://www.eliteprospects.com/player/8661/vaclav-varada
Scott Stevens,DEF,https://www.eliteprospects.com/player/21375/scott-stevens
Eric Weinrich,DEF,https://www.eliteprospects.com/player/8706/eric-weinrich
Sergejs Zoltoks,FW,https://www.eliteprospects.com/player/42946/sergejs-zoltoks
Teppo Numminen,DEF,https://www.eliteprospects.com/player/2684/teppo-numminen
