player_id,player_name_official,player_name_ep,player_pos_official,player_pos_ep,player_link_official,player_link_ep,player_image_official,date_of_birth,nation,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
2815,Eric O'Dell,Eric O'Dell,C,C/RW,https://www.nhl.com/player/8474603,https://www.eliteprospects.com/player/17515/eric-o-dell,https://assets.nhle.com/mugs/nhl/latest/8474603.png,6/21/1990,Canada,183,96,R,,,"('2', '39', '2008')","['1-time U18 WJC Gold Medal', '1-time World Championship Silver Medal', '1-time Olympic Bronze Medal']","O'Dell is a two-way center who sees the ice well. Has great stickhandling and playmaking ability. Could use more size and strength.
- Erik K."
2816,Keaton Ellerby,Keaton Ellerby,D,D,https://www.nhl.com/player/8474184,https://www.eliteprospects.com/player/9333/keaton-ellerby,https://assets.nhle.com/mugs/nhl/latest/8474184.png,11/5/1988,Canada,196,98,L,,,"('1', '10', '2007')","['1-time U17 WHC Silver Medal', '1-time Hungarian Champion', '1-time Spengler Cup Winner']","Ellerby is a defenseman with great size, who does his best work in his own zone. Skates and moves very well, despite a large body. Somewhat lacking in hockey sense, and won't contribute much offensively. Could stand to play a more physical game, given his excellent frame, but still delivers a big hit once in a while.
- Erik K."
2817,John Albert,John Albert,C,C/LW,https://www.nhl.com/player/8474012,https://www.eliteprospects.com/player/11462/john-albert,https://assets.nhle.com/mugs/nhl/latest/8474012.png,1/19/1989,USA,180,86,L,,,"('6', '175', '2007')","['1-time U17 WHC Silver Medal', '1-time U18 WJC Silver Medal']","Albert is a two-way forward with good passing ability and vision. Tenacious and industrious, he is a great forechecker when he's playing wing. Also has a fast release on his shot.
- Erik K."
2818,Julian Melchiori,Julian Melchiori,D,D,https://www.nhl.com/player/8475815,https://www.eliteprospects.com/player/73778/julian-melchiori,https://assets.nhle.com/mugs/nhl/latest/8475815.png,12/6/1991,Canada,192,99,L,,,"('3', '87', '2010')",['1-time DEL Champion'],"Uncle: Mike Murphy
Cousins: Patrick Murphy, Ryan J."
2819,Adam Lowry,Adam Lowry,C,C/LW,https://www.nhl.com/player/8476392,https://www.eliteprospects.com/player/45633/adam-lowry,https://assets.nhle.com/mugs/nhl/latest/8476392.png,3/29/1993,Canada / USA,195,95,L,,Winnipeg Jets / Signed,"('3', '67', '2011')","['1-time World Championship Silver Medal', '1-time AEHL U15 Champion', '1-time Alberta Cup Champion', '1-time WHL (East) First All-Star Team', '1-time WHL Player of the Year (Four Broncos Trophy)']","Father: Dave Lowry
Brother: Joel Lowry
Sister: Tessa Lowry"
2820,Andrew Copp,Andrew Copp,C,C/LW,https://www.nhl.com/player/8477429,https://www.eliteprospects.com/player/101962/andrew-copp,https://assets.nhle.com/mugs/nhl/latest/8477429.png,7/8/1994,USA,185,93,L,,Detroit Red Wings / Signed,"('4', '104', '2013')",['1-time U18 WJC Gold Medal'],Father: Andy Copp
2821,Nikolaj Ehlers,Nikolaj Ehlers,LW,LW,https://www.nhl.com/player/8477940,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,https://assets.nhle.com/mugs/nhl/latest/8477940.png,2/14/1996,Denmark,182,78,L,,Carolina Hurricanes / Signed,"('1', '9', '2014')","['1-time CHL Rookie of the Year', '1-time QMJHL All-Rookie Team', '1-time QMJHL First All-Star Team', '1-time QMJHL Offensive Rookie of the Year (Michel Bergeron Trophy)', '1-time QMJHL Rookie of the Year', '1-time QMJHL Second All-Star Team', '1-time WJAC-19 Most Goals', '1-time WJAC-19 Most Points', '1-time WJAC-19 Tournament MVP']","Father: Heinz Ehlers
Brother: Sebastian Ehlers
Cousins: Alexander True & Oliver True Uncles: Søren True, Mads True"
2822,Scott Kosmachuk,Scott Kosmachuk,RW,RW,https://www.nhl.com/player/8476910,https://www.eliteprospects.com/player/91265/scott-kosmachuk,https://assets.nhle.com/mugs/nhl/latest/8476910.png,1/24/1994,Canada,180,84,R,,,"('3', '70', '2012')","['1-time U18 WJC Bronze Medal', '1-time ICEHL Champion', '1-time OHL Champion', '1-time OHL Second All-Star Team']",Brother: Dylan Kosmachuk
2823,JC Lipon,JC Lipon,RW,RW,https://www.nhl.com/player/8477076,https://www.eliteprospects.com/player/45487/jc-lipon,https://assets.nhle.com/mugs/nhl/latest/8477076.png,7/10/1993,Canada,183,86,R,,,"('3', '91', '2013')",[],"Brother: Mitch Lipon
Cousins: Todd Davison and Wade Davison"
2824,Josh Morrissey,Josh Morrissey,D,D,https://www.nhl.com/player/8477504,https://www.eliteprospects.com/player/62293/josh-morrissey,https://assets.nhle.com/mugs/nhl/latest/8477504.png,3/28/1995,Canada,183,88,L,,Winnipeg Jets / Signed,"('1', '13', '2013')","['1-time Hlinka Gretzky Cup Gold Medal', '1-time U18 WJC Gold Medal', '1-time U20 WJC Gold Medal', '1-time World Championship Silver Medal', '1-time U18 WJC Bronze Medal', '1-time NHL 4 Nations Champion', '1-time U20 WJC All-Star Team', '1-time WHL (East) First All-Star Team', '1-time WHL (West) Second All-Star Team', '1-time WHL Champion']",Brother: Jake Morrissey
2825,Brandon Tanev,Brandon Tanev,LW,LW/RW,https://www.nhl.com/player/8479293,https://www.eliteprospects.com/player/96475/brandon-tanev,https://assets.nhle.com/mugs/nhl/latest/8479293.png,12/31/1991,Canada,183,82,L,"['Checking-line Player', 'Energy Forward']",Utah Mammoth / Signed,,['1-time NCAA (Championship) Winner'],"Well-rounded two-way winger that can score as well as be trusted with defensive zone time. Moves the puck out well and has excellent positional recognition around the neutral zone and just inside the blueline. Great along the half wall and battles hard. Cycles well and keeps the puck moving when in-possession. Very good mobility, and his speed might be his most prominent asset. Unquestionable shot and puck skills."
2826,Kyle Connor,Kyle Connor,LW,LW,https://www.nhl.com/player/8478398,https://www.eliteprospects.com/player/177671/kyle-connor,https://assets.nhle.com/mugs/nhl/latest/8478398.png,12/9/1996,USA,185,83,L,,Winnipeg Jets / Signed,"('1', '17', '2015')","['1-time U18 WJC Gold Medal', '1-time WJAC-19 Gold Medal', '1-time NCAA (B1G) Champion', '1-time NCAA (Overall) Most Points', '1-time NCAA (West) First All-American Team', '1-time NHL First All-Star Team', '1-time NHL Gentleman Conduct (Lady Byng Trophy)', '2-time USHL First All-Star Team', '1-time USHL Forward of the Year', '1-time USHL Most Points', '1-time USHL Player of the Year']","A dynamic two-way center with speed and creativity to burn. Consistently displays elite-level skating ability, and an astonishing top speed. Sees the ice very well and is constantly looking to either score or make the right play. The confidence he has in his abilities lets him do things with the puck that other players wouldn't even try. Skillful puckhandling skills paired with a deceptively accurate shot make him a lethal scoring threat in all situations. His will to compete and ultimately win fuels his defensive game; he tracks the puck well and creates turnovers. All-in-all, a highly skilled, proactive forward that has the capacity to dominate in all three zones."
2827,Quinton Howden,Quinton Howden,C,C/LW,https://www.nhl.com/player/8475769,https://www.eliteprospects.com/player/31281/quinton-howden,https://assets.nhle.com/mugs/nhl/latest/8475769.png,1/21/1992,Canada,188,86,L,,,"('1', '25', '2010')","['1-time U20 WJC Silver Medal', '1-time U20 WJC Bronze Medal', '1-time Olympic Bronze Medal', '1-time WHL (East) Second All-Star Team']",A two-way forward capable of playing as a center or in the left flank. Not very physical and needs to gain strength. An excellent skater with very good acceleration. Very reliable defensively.
2828,Nelson Nogier,Nelson Nogier,D,D,https://www.nhl.com/player/8478031,https://www.eliteprospects.com/player/120646/nelson-nogier,https://assets.nhle.com/mugs/nhl/latest/8478031.png,5/27/1996,Canada,191,94,R,,,"('4', '101', '2014')",[],"Father: Pat Nogier
Sister: Danielle Nogier"
2829,Mason Appleton,Mason Appleton,C,C/RW,https://www.nhl.com/player/8478891,https://www.eliteprospects.com/player/266919/mason-appleton,https://assets.nhle.com/mugs/nhl/latest/8478891.png,1/15/1996,USA,188,88,R,,Detroit Red Wings / Signed,"('6', '168', '2015')","['1-time AHL All-Rookie Team', '1-time AHL First All-Star Team', '1-time AHL Rookie of the Year (Red Garrett Memorial Award)']",Brother: Collin Appleton
2830,Kristian Vesalainen,Kristian Vesalainen,LW,LW/RW,https://www.nhl.com/player/8480005,https://www.eliteprospects.com/player/222125/kristian-vesalainen,https://assets.nhle.com/mugs/nhl/latest/8480005.png,6/1/1999,Finland,192,94,L,,Winnipeg Jets / Unsigned,"('1', '24', '2017')","['1-time J18 SM Gold Medal', '1-time U18 WJC Gold Medal', '1-time U18 WJC Silver Medal', '1-time EYOF Bronze Medal', '1-time Champions Hockey League Champion', '1-time Liiga Champion', '1-time SHL Champion', '1-time U18 WJC All-Star Team', '1-time U18 WJC Best Forward', '1-time U18 WJC Most Points', '1-time U18 WJC Most Valuable Player']",Brother: Henrik Vesalainen
