player_id,player_name_official,seasons_played,gp_regular_total,gp_regular_min_per_season,gp_regular_max_per_season,seasons_with_gp_over_6,g_regular_sum,a_regular_sum,p_regular_sum,plus_minus_regular_sum,pim_regular_sum,ppg_regular_sum,ppp_regular_sum,shg_regular_sum,shp_regular_sum,gwg_regular_sum,otg_regular_sum,sog_regular_sum,shooting_pct_regular_mean,fo_pct_regular_mean,toi_per_game_regular_mean,gp_playoffs_sum,g_playoffs_sum,a_playoffs_sum,p_playoffs_sum,plus_minus_playoffs_sum,pim_playoffs_sum,ppg_playoffs_sum,ppp_playoffs_sum,shg_playoffs_sum,shp_playoffs_sum,gwg_playoffs_sum,otg_playoffs_sum,sog_playoffs_sum,shooting_pct_playoffs_mean,fo_pct_playoffs_mean,toi_per_game_playoffs_mean
14.0,Adam Foote,19,1154.0,12.0,81.0,19,66.0,242.0,308.0,99.0,1534.0,19.0,65.0,6.0,19.0,10.0,2.0,1128.0,4.845000000000001,0.0,971.9869047619047,170.0,7.0,35.0,42.0,9.0,298.0,2.0,11.0,0.0,1.0,1.0,0.0,178.0,2.0538461538461537,0.0,1074.237037037037
15.0,Stephane Yelle,14,991.0,11.0,82.0,14,96.0,169.0,265.0,7.0,490.0,8.0,21.0,11.0,21.0,11.0,0.0,1107.0,8.360000000000001,51.50769230769231,14.15128205128205,171.0,11.0,21.0,32.0,-3.0,90.0,0.0,1.0,2.0,2.0,3.0,1.0,201.0,7.507692307692308,52.872727272727275,14.589393939393942
16.0,Aaron Miller,14,677.0,1.0,82.0,12,25.0,94.0,119.0,27.0,422.0,1.0,5.0,1.0,6.0,9.0,1.0,530.0,3.4,18.181818181818183,19.33030303030303,80.0,3.0,9.0,12.0,20.0,40.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,4.516666666666667,0.0,333.62
17.0,Eric Messier,8,406.0,21.0,74.0,8,25.0,50.0,75.0,-1.0,146.0,2.0,8.0,1.0,2.0,6.0,0.0,344.0,6.5,17.514285714285712,13.311904761904762,72.0,3.0,5.0,8.0,-4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.6,24.0,9.873333333333333
18.0,Rob Blake,20,1270.0,4.0,84.0,18,240.0,537.0,777.0,-4.0,1679.0,136.0,379.0,4.0,19.0,41.0,2.0,3896.0,5.8238095238095235,6.407692307692307,1210.1807692307693,146.0,26.0,47.0,73.0,0.0,166.0,9.0,30.0,1.0,1.0,1.0,0.0,436.0,5.484615384615385,0.0,1138.8277777777778
19.0,Dave Reid,18,961.0,3.0,83.0,17,165.0,204.0,369.0,54.0,253.0,17.0,35.0,28.0,45.0,22.0,2.0,1420.0,12.144444444444444,36.375,12.970833333333333,118.0,9.0,26.0,35.0,2.0,34.0,0.0,6.0,1.0,1.0,1.0,0.0,139.0,4.208333333333333,25.95,12.2375
20.0,Steve Reinprecht,11,663.0,1.0,82.0,10,140.0,242.0,382.0,21.0,186.0,35.0,107.0,5.0,12.0,17.0,1.0,981.0,13.084615384615384,48.184615384615384,14.947435897435897,50.0,10.0,10.0,20.0,8.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,16.5,52.36666666666667,14.688888888888888
21.0,Scott Parker,8,308.0,10.0,69.0,8,7.0,14.0,21.0,4.0,699.0,0.0,0.0,0.0,0.0,1.0,0.0,126.0,9.5,4.444444444444445,5.111111111111111,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666666666666668
22.0,Rick Berry,4,197.0,13.0,65.0,4,2.0,13.0,15.0,-6.0,314.0,0.0,0.0,0.0,0.0,1.0,0.0,142.0,1.0,10.0,13.283333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
23.0,Nolan Pratt,11,592.0,9.0,82.0,11,9.0,56.0,65.0,2.0,537.0,0.0,1.0,0.0,2.0,3.0,1.0,322.0,2.372727272727273,0.0,15.746666666666666,38.0,0.0,1.0,1.0,-3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,17.82333333333333
24.0,Chris Dingman,8,385.0,1.0,74.0,7,15.0,19.0,34.0,-58.0,769.0,3.0,5.0,0.0,0.0,1.0,0.0,306.0,3.06,20.5,6.996666666666667,52.0,2.0,5.0,7.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.325,0.0,6.8500000000000005
25.0,Alexei Gusarov,11,607.0,9.0,79.0,11,39.0,128.0,167.0,50.0,313.0,5.0,31.0,4.0,10.0,4.0,0.0,454.0,7.992307692307692,0.0,19.227777777777778,68.0,0.0,14.0,14.0,19.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,20.66111111111111
26.0,Rob Shearer,1,2.0,2.0,2.0,0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
27.0,Joel Prpic,3,18.0,1.0,14.0,1,0.0,3.0,3.0,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,54.03333333333333,6.966666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
28.0,Yuri Babenko,1,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.1,10.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
29.0,Bryan Muir,10,279.0,1.0,72.0,8,16.0,37.0,53.0,-20.0,281.0,4.0,24.0,1.0,2.0,1.0,0.0,361.0,2.723076923076923,16.666666666666668,14.883333333333333,24.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.45
30.0,Brad Larsen,8,294.0,1.0,72.0,6,19.0,29.0,48.0,-23.0,134.0,1.0,1.0,5.0,7.0,1.0,0.0,214.0,5.122222222222223,42.28888888888889,9.501851851851852,25.0,1.0,3.0,4.0,-3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.25,27.65,12.033333333333333
31.0,Radim Vrbata,16,1057.0,10.0,82.0,16,284.0,339.0,623.0,-19.0,294.0,96.0,207.0,5.0,9.0,48.0,4.0,3103.0,9.016666666666667,37.63333333333333,16.041666666666668,42.0,8.0,10.0,18.0,-17.0,12.0,4.0,8.0,0.0,0.0,1.0,0.0,118.0,7.74,15.0,16.44
32.0,Brian Willsie,10,381.0,1.0,82.0,7,52.0,57.0,109.0,-57.0,217.0,13.0,30.0,2.0,2.0,5.0,0.0,603.0,4.930000000000001,30.639999999999997,11.176666666666666,10.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,7.15,50.0,11.350000000000001
33.0,Pascal Trepanier,6,229.0,1.0,74.0,5,12.0,22.0,34.0,-8.0,252.0,5.0,13.0,0.0,0.0,1.0,0.0,265.0,2.6166666666666667,33.333333333333336,12.049999999999999,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.716666666666667
34.0,Mike Keane,16,1161.0,13.0,81.0,16,168.0,302.0,470.0,70.0,881.0,22.0,58.0,12.0,23.0,21.0,2.0,1438.0,11.58421052631579,41.333333333333336,14.864814814814814,220.0,34.0,40.0,74.0,24.0,135.0,2.0,9.0,2.0,3.0,4.0,2.0,260.0,14.44,33.885714285714286,14.926190476190476
35.0,Riku Hahl,3,92.0,22.0,42.0,3,5.0,8.0,13.0,-3.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,118.0,5.566666666666667,37.96666666666667,10.922222222222222,34.0,2.0,4.0,6.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.733333333333333,27.099999999999998,11.155555555555557
36.0,Vaclav Nedorost,3,99.0,25.0,42.0,3,10.0,10.0,20.0,-2.0,34.0,4.0,4.0,0.0,0.0,0.0,0.0,95.0,10.333333333333334,43.93333333333334,10.755555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
37.0,Todd Gill,19,1007.0,5.0,79.0,18,82.0,272.0,354.0,-99.0,1214.0,22.0,98.0,2.0,6.0,16.0,0.0,1310.0,6.704545454545454,22.22222222222222,17.716666666666665,103.0,7.0,30.0,37.0,-7.0,193.0,2.0,15.0,1.0,2.0,1.0,1.0,148.0,3.6916666666666664,0.0,17.125
38.0,Kelly Fairchild,4,34.0,1.0,22.0,2,2.0,3.0,5.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.325,34.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
39.0,Jordan Krestanovich,2,22.0,8.0,14.0,2,0.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,11.9,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
40.0,Jeff Daw,1,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
