playername,fw_def,link
Sheldon Souray,DEF,https://www.eliteprospects.com/player/4505/sheldon-souray
Jeff Nielsen,FW,https://www.eliteprospects.com/player/25837/jeff-nielsen
Todd Gill,DEF,https://www.eliteprospects.com/player/69416/todd-gill
Murray Baron,DEF,https://www.eliteprospects.com/player/70103/murray-baron
Rich Pilon,DEF,https://www.eliteprospects.com/player/31881/rich-pilon
Mark Greig,FW,https://www.eliteprospects.com/player/54582/mark-greig
Dmitry Afanasenkov,FW,https://www.eliteprospects.com/player/8634/dmitry-afanasenkov
Antti Aalto,FW,https://www.eliteprospects.com/player/2703/antti-aalto
Yuri Butsayev,FW,https://www.eliteprospects.com/player/18507/yuri-butsayev
Kaspars Astasenko,DEF,https://www.eliteprospects.com/player/8476/kaspars-astasenko
Mathieu Darche,FW,https://www.eliteprospects.com/player/10621/mathieu-darche
Matt Pettinger,FW,https://www.eliteprospects.com/player/8769/matt-pettinger
Pavel Kolarik,DEF,https://www.eliteprospects.com/player/18317/pavel-kolarik
Francis Bélanger,FW,https://www.eliteprospects.com/player/41631/francis-belanger
Sascha Goc,DEF,https://www.eliteprospects.com/player/10699/sascha-goc
Mike Craig,FW,https://www.eliteprospects.com/player/11579/mike-craig
Ales Pisa,DEF,https://www.eliteprospects.com/player/10860/ales-pisa
Mark Hartigan,FW,https://www.eliteprospects.com/player/10234/mark-hartigan
Micki DuPont,DEF,https://www.eliteprospects.com/player/8062/micki-dupont
Patrick Boileau,DEF,https://www.eliteprospects.com/player/17841/patrick-boileau
Petr Cajanek,FW,https://www.eliteprospects.com/player/8609/petr-cajanek
Alexander Frolov,FW,https://www.eliteprospects.com/player/8591/alexander-frolov
Stanislav Chistov,FW,https://www.eliteprospects.com/player/8520/stanislav-chistov
Ales Hemsky,FW,https://www.eliteprospects.com/player/8600/ales-hemsky
Mattias Weinhandl,FW,https://www.eliteprospects.com/player/236/mattias-weinhandl
Steve Eminger,DEF,https://www.eliteprospects.com/player/9147/steve-eminger
Jerred Smithson,FW,https://www.eliteprospects.com/player/8886/jerred-smithson
Tomas Malec,DEF,https://www.eliteprospects.com/player/10219/tomas-malec
Matt Stajan,FW,https://www.eliteprospects.com/player/8889/matt-stajan
Peter Sejna,FW,https://www.eliteprospects.com/player/9663/peter-sejna
Brooks Orpik,DEF,https://www.eliteprospects.com/player/8939/brooks-orpik
Doug Janik,DEF,https://www.eliteprospects.com/player/9027/doug-janik
Jaroslav Kristek,FW,https://www.eliteprospects.com/player/9631/jaroslav-kristek
Derek Bekar,FW,https://www.eliteprospects.com/player/12781/derek-bekar
Paul Manning,DEF,https://www.eliteprospects.com/player/13516/paul-manning
Mike Pandolfo,FW,https://www.eliteprospects.com/player/14421/mike-pandolfo
Mikhail Kuleshov,FW,https://www.eliteprospects.com/player/39446/mikhail-kuleshov
Benoit Dusablon,FW,https://www.eliteprospects.com/player/60357/benoit-dusablon
Goran Bezina,DEF,https://www.eliteprospects.com/player/12299/goran-bezina
Grant McNeill,DEF,https://www.eliteprospects.com/player/11715/grant-mcneill
Ben Ondrus,FW,https://www.eliteprospects.com/player/10259/ben-ondrus
Steven Goertzen,FW,https://www.eliteprospects.com/player/10320/steven-goertzen
Cam Janssen,FW,https://www.eliteprospects.com/player/9028/cam-janssen
Yevgeni Malkin,FW,https://www.eliteprospects.com/player/4231/yevgeni-malkin
Paul Stastny,FW,https://www.eliteprospects.com/player/10212/paul-stastny
Tanner Glass,FW,https://www.eliteprospects.com/player/14085/tanner-glass
Alex Goligoski,DEF,https://www.eliteprospects.com/player/9435/alex-goligoski
B.J. Crombeen,FW,https://www.eliteprospects.com/player/9149/b.j.-crombeen
Mark Fistric,DEF,https://www.eliteprospects.com/player/8399/mark-fistric
Petteri Wirtanen,FW,https://www.eliteprospects.com/player/4222/petteri-wirtanen
Dane Byers,FW,https://www.eliteprospects.com/player/9489/dane-byers
Ilya Zubov,FW,https://www.eliteprospects.com/player/9256/ilya-zubov
Antti Pihlström,FW,https://www.eliteprospects.com/player/7587/antti-pihlstrom
Niclas Bergfors,FW,https://www.eliteprospects.com/player/2045/niclas-bergfors
Jesse Winchester,FW,https://www.eliteprospects.com/player/15310/jesse-winchester
Yannick Weber,DEF,https://www.eliteprospects.com/player/10615/yannick-weber
John Negrin,DEF,https://www.eliteprospects.com/player/11398/john-negrin
Ty Wishart,DEF,https://www.eliteprospects.com/player/9332/ty-wishart
Ray Macias,DEF,https://www.eliteprospects.com/player/13618/ray-macias
Kevin Quick,DEF,https://www.eliteprospects.com/player/15081/kevin-quick
Chad Kolarik,FW,https://www.eliteprospects.com/player/9432/chad-kolarik
Aaron Gagnon,FW,https://www.eliteprospects.com/player/9498/aaron-gagnon
Brock Trotter,FW,https://www.eliteprospects.com/player/11443/brock-trotter
Evan Oberg,DEF,https://www.eliteprospects.com/player/34924/evan-oberg
Bobby Butler,FW,https://www.eliteprospects.com/player/33224/bobby-butler
playername,fw_def,link
Ryan Reaves,FW,https://www.eliteprospects.com/player/14003/ryan-reaves
Ian Cole,DEF,https://www.eliteprospects.com/player/11456/ian-cole
Jeremy Morin,FW,https://www.eliteprospects.com/player/17507/jeremy-morin
Brett MacLean,FW,https://www.eliteprospects.com/player/11108/brett-maclean
Johan Harju,FW,https://www.eliteprospects.com/player/2349/johan-harju
playername,fw_def,link
Andrei Zubarev,DEF,https://www.eliteprospects.com/player/9257/andrei-zubarev
Greg Nemisz,FW,https://www.eliteprospects.com/player/14359/greg-nemisz
Brian Fahey,DEF,https://www.eliteprospects.com/player/11569/brian-fahey
Justin DiBenedetto,FW,https://www.eliteprospects.com/player/13844/justin-dibenedetto
André Benoît,DEF,https://www.eliteprospects.com/player/9460/andre-benoit
playername,fw_def,link
John Moore,DEF,https://www.eliteprospects.com/player/30901/john-moore
Korbinian Holzer,DEF,https://www.eliteprospects.com/player/12276/korbinian-holzer
Chris Summers,DEF,https://www.eliteprospects.com/player/9317/chris-summers
Drew Bagnall,DEF,https://www.eliteprospects.com/player/12923/drew-bagnall
Ben Holmstrom,FW,https://www.eliteprospects.com/player/38349/ben-holmstrom
playername,fw_def,link
Devante Smith-Pelly,FW,https://www.eliteprospects.com/player/32728/devante-smith-pelly
Marcus Foligno,FW,https://www.eliteprospects.com/player/18601/marcus-foligno
Stefan Elliott,DEF,https://www.eliteprospects.com/player/15735/stefan-elliott
Ryan Ellis,DEF,https://www.eliteprospects.com/player/14012/ryan-ellis
Roman Horák,FW,https://www.eliteprospects.com/player/18089/roman-horak
playername,fw_def,link
